dataset,pair,expert_b,evidence_tier,seed,n_queries,global_mrr,query_soft_mrr,query_soft_delta_vs_global,anchored_mrr,anchored_delta_vs_global
MKG-W,M-Hyper + NativE,NativE,confirmatory,1,8548,0.3656807730096401,0.37238193529980707,0.006701162290166984,0.37171664891357703,0.006035875903936949
MKG-W,M-Hyper + NativE,NativE,confirmatory,2,8548,0.3635419400376624,0.3690503551898284,0.005508415152166046,0.368580087100686,0.005038147063023635
MKG-W,M-Hyper + NativE,NativE,confirmatory,3,8548,0.363691509612551,0.3700848283573592,0.006393318744808196,0.37023217776768413,0.006540668155133156
MKG-W,M-Hyper + AdaMF-MAT,AdaMF-MAT,confirmatory,1,8548,0.36061024143331455,0.35008676532636296,-0.01052347610695159,0.36266772061993535,0.002057479186620803
MKG-W,M-Hyper + AdaMF-MAT,AdaMF-MAT,confirmatory,2,8548,0.35885412183356935,0.3533215721562292,-0.005532549677340126,0.36066291805345485,0.0018087962198855
MKG-W,M-Hyper + AdaMF-MAT,AdaMF-MAT,confirmatory,3,8548,0.35969845516135995,0.3540028153773107,-0.0056956397840492445,0.3617849810972715,0.0020865259359115207
DB15K,M-Hyper + NativE,NativE,secondary replication,1,19804,0.37537340126983987,0.3666371668883541,-0.008736234381485741,0.37674551586699534,0.0013721145971554716
DB15K,M-Hyper + NativE,NativE,secondary replication,2,19804,0.3748110422730197,0.3678585201999938,-0.00695252207302588,0.3756129887517397,0.0008019464787200059
DB15K,M-Hyper + NativE,NativE,secondary replication,3,19804,0.3735155328204577,0.36236716355971793,-0.011148369260739754,0.3751557061682384,0.0016401733477807157
DB15K,M-Hyper + AdaMF-MAT,AdaMF-MAT,secondary replication,1,19804,0.37537340126983987,0.3475245707794291,-0.02784883049041076,0.37623084002585855,0.0008574387560186802
DB15K,M-Hyper + AdaMF-MAT,AdaMF-MAT,secondary replication,2,19804,0.3748110422730197,0.3442574536713917,-0.03055358860162799,0.3754590562191218,0.0006480139461020884
DB15K,M-Hyper + AdaMF-MAT,AdaMF-MAT,secondary replication,3,19804,0.3735155328204577,0.352131976862671,-0.021383555957786682,0.37415231148566613,0.0006367786652084484
