dataset,pair_id,delta_alpha,available,n_rows,positive_prevalence,zero_prevalence,harmful_prevalence,spearman,positive_auprc_lift,harmful_auprc_lift,top_10pct_actual_mean_u,h1_style_pass
mkg_w,mkgw_mhyper_native,-0.3,True,25656,0.435414717804802,0.3559401309635173,0.2086451512316807,0.12525495029778166,0.07944526264910812,-0.018263466122408062,0.009466209385961353,False
mkg_w,mkgw_mhyper_native,-0.2,True,25656,0.4321016526348612,0.38388681010289993,0.18401153726223884,0.12227616782213549,0.073161759338076,-0.015432184821646572,0.007257470554977367,False
mkg_w,mkgw_mhyper_native,-0.1,True,25656,0.4092999688182102,0.43401153726223884,0.15668849391955098,0.06615683671685804,0.03197825303388652,-0.0065651648445537725,0.0027062397078327235,False
mkg_w,mkgw_mhyper_native,-0.05,True,25656,0.3816651075771749,0.48023854069223576,0.13809635173058935,0.027854646023696496,0.006943767478145957,-0.0030221656442064038,0.0004471153396244058,False
mkg_w,mkgw_mhyper_native,0.05,True,25656,0.12574056750857499,0.4849158091674462,0.3893436233239788,0.02610735738934634,-0.007000996874816562,4.862539087174822e-05,-0.0009202040250958714,False
mkg_w,mkgw_mhyper_native,0.1,True,25656,0.13770657935765512,0.44063766760212036,0.4216557530402245,0.07028218151520535,-0.01305161956942745,0.019472534412689035,-0.0009397729373899973,False
mkg_w,mkgw_mhyper_native,0.2,True,25656,0.14394293732460242,0.4020112254443405,0.45404583723105707,0.1451038565523495,-0.021411092079398175,0.06815363711744993,0.004331259062132199,False
mkg_w,mkgw_mhyper_native,0.3,True,25656,0.14433270969753664,0.3800280636108513,0.47563922669161207,0.18419585950421544,-0.022624675985001383,0.08702916131701322,0.009276948304757374,False
mkg_w,mkgw_mhyper_adamf,-0.3,True,25656,0.4446913002806361,0.3438571874025569,0.21145151231680698,0.1996586074141091,0.1472243342220011,-0.003376991969766485,0.0046995574240996695,False
mkg_w,mkgw_mhyper_adamf,-0.2,True,25656,0.43740255690676644,0.38193794823822885,0.18065949485500468,0.1792831989803652,0.13200197228648414,-0.009629271832915426,0.0014023821073421694,False
