dataset,pair_id,bucket,lower_fraction,upper_fraction,n_rows,mean_predicted_u,min_predicted_u,max_predicted_u,mean_actual_u,median_actual_u,positive_rate,zero_rate,harmful_rate
mkg_w,mkgw_mhyper_native,bottom_10pct,0.0,0.1,20525,-0.0047072523903559475,-0.0641830116510391,-0.0028374828398227,-0.01212540319084232,0.0,0.17447015834348356,0.382557856272838,0.44297198538367843
mkg_w,mkgw_mhyper_native,10_to_30pct,0.1,0.3,41049,-0.0017418046523312595,-0.0028374642133712,-0.0009719447698444,-0.0029780199145844235,0.0,0.19374406197471314,0.4331652415405978,0.373090696484689
mkg_w,mkgw_mhyper_native,30_to_50pct,0.3,0.5,41050,-0.0004722557578748152,-0.0009719356894493,-1.601874828338623e-05,-0.0005952526611862957,0.0,0.21936662606577345,0.4456516443361754,0.33498172959805117
mkg_w,mkgw_mhyper_native,50_to_70pct,0.5,0.7,41050,0.0004431766053790591,-1.601502299308777e-05,0.0009302087128162,0.0005776585012791055,0.0,0.311278928136419,0.42146163215590743,0.2672594397076736
mkg_w,mkgw_mhyper_native,70_to_90pct,0.7,0.9,41049,0.0016039786196124694,0.0009302897378802,0.0025203078985214,0.0010830558515648658,0.0,0.3619820214865161,0.41533289483300445,0.22268508368047943
mkg_w,mkgw_mhyper_native,top_10pct,0.9,1.0,20525,0.003804377175574839,0.0025203377008438,0.0363254696130752,0.005182573798215932,0.0,0.41554202192448236,0.3883069427527406,0.1961510353227771
mkg_w,mkgw_mhyper_adamf,bottom_10pct,0.0,0.1,10262,-0.011320451232041047,-0.0486073307693004,-0.0076950816437602,-0.026386310385865676,0.0,0.23377509257454687,0.6030988111479244,0.16312609627752875
mkg_w,mkgw_mhyper_adamf,10_to_30pct,0.1,0.3,20525,-0.005191738009588895,-0.00769486092031,-0.0033930502831935,-0.015324062228247306,0.0,0.3221437271619976,0.5087941534713764,0.16906211936662607
mkg_w,mkgw_mhyper_adamf,30_to_50pct,0.3,0.5,20525,-0.002205014473392185,-0.0033930446952581,-0.0011399779468774,-0.006096860693503101,0.0,0.4014616321559074,0.4393666260657734,0.15917174177831914
mkg_w,mkgw_mhyper_adamf,50_to_70pct,0.5,0.7,20525,-0.00019005040739107176,-0.0011399462819099,0.00078110024333,-0.004754167817845768,0.0,0.4788306942752741,0.3620462850182704,0.15912302070645554
mkg_w,mkgw_mhyper_adamf,70_to_90pct,0.7,0.9,20525,0.00206706134287066,0.0007811076939105,0.0039194393903017,-0.0022918138021094533,7.858649660822119e-07,0.5088915956151036,0.3324725943970767,0.15863580998781973
mkg_w,mkgw_mhyper_adamf,top_10pct,0.9,1.0,10262,0.006971431040820147,0.0039200149476528,0.0395963490009307,0.0008875953316967997,1.892280289377457e-05,0.5546677061001754,0.28902748002338724,0.15630481387643735
mkg_w,mkgw_native_adamf,bottom_10pct,0.0,0.1,12828,-0.007080626624700483,-0.0573339164257049,-0.0048390813171863,-0.017969021712449282,0.0,0.22536638603055814,0.4843311506080449,0.2903024633613969
mkg_w,mkgw_native_adamf,10_to_30pct,0.1,0.3,25656,-0.0033487147960673705,-0.0048390533775091,-0.0022337585687637,-0.008025443572515105,0.0,0.2847287184284378,0.4005300904271905,0.3147411911443717
mkg_w,mkgw_native_adamf,30_to_50pct,0.3,0.5,25656,-0.0014109631594778759,-0.0022337473928928,-0.0006581805646419,-0.004388157914505349,0.0,0.29961802307452445,0.3803009042719052,0.32008107265357033
mkg_w,mkgw_native_adamf,50_to_70pct,0.5,0.7,25656,3.783000533439405e-05,-0.000658132135868,0.0007319077849388,-0.004451767483587195,0.0,0.30690676644839415,0.36806205176177115,0.32503118178983476
mkg_w,mkgw_native_adamf,70_to_90pct,0.7,0.9,25656,0.001596285722167293,0.0007319338619709,0.0027778521180152,-0.0050997577081698525,0.0,0.30601028999064545,0.3700109136264422,0.3239787963829124
mkg_w,mkgw_native_adamf,top_10pct,0.9,1.0,12828,0.004617290585888382,0.002777948975563,0.0269864946603775,-0.0030809641031638918,0.0,0.2846897411911444,0.4458995946367321,0.2694106641721235
db15k,db15k_mhyper_native,bottom_10pct,0.0,0.1,19013,-0.0065607826429181304,-0.0466567166149616,-0.0042054280638694,-0.015897109378769113,0.0,0.23662757060958292,0.5739757008362699,0.18939672855414716
db15k,db15k_mhyper_native,10_to_30pct,0.1,0.3,38025,-0.0027615497684452305,-0.0042050331830978,-0.0017228119540959,-0.006405849904589031,0.0,0.29935568704799476,0.5036160420775806,0.19702827087442473
db15k,db15k_mhyper_native,30_to_50pct,0.3,0.5,38026,-0.0010457311130902805,-0.0017227008938789,-0.0004443190991878,-0.0032688444545379567,0.0,0.3457634250249829,0.4814600536475043,0.17277652132751276
db15k,db15k_mhyper_native,50_to_70pct,0.5,0.7,38026,8.50548635370034e-05,-0.000444317527581,0.0006281435489654,-0.0008843622485125032,0.0,0.35467837795192764,0.45284805133329825,0.1924735707147741
db15k,db15k_mhyper_native,70_to_90pct,0.7,0.9,38025,0.0013125692002268412,0.000628150999546,0.002212505787611,-0.0021437433776334922,0.0,0.3609730440499671,0.42590401051939514,0.21312294543063773
db15k,db15k_mhyper_native,top_10pct,0.9,1.0,19013,0.003535700317018877,0.0022125726100057,0.022753395140171,-0.0008593036545182687,0.0,0.34471151317519594,0.49213695892284226,0.16315152790196183
db15k,db15k_mhyper_adamf,bottom_10pct,0.0,0.1,19013,-0.012969101350288129,-0.2186165452003479,-0.0069329887628555,-0.044143387963288046,0.0,0.19670751591016672,0.5808657234523746,0.2224267606374586
db15k,db15k_mhyper_adamf,10_to_30pct,0.1,0.3,38025,-0.004492472239263566,-0.0069329878315329,-0.0027961190789937,-0.02003631982004085,0.0,0.26224852071005916,0.542853385930309,0.19489809335963182
db15k,db15k_mhyper_adamf,30_to_50pct,0.3,0.5,38026,-0.0017800094605532634,-0.002796035259962,-0.0009401887655258,-0.011775863388859,0.0,0.3499973702203755,0.46302529847998736,0.1869773312996371
db15k,db15k_mhyper_adamf,50_to_70pct,0.5,0.7,38026,-0.0002792710802761526,-0.0009401626884937,0.0003717355430126,-0.007855080362221331,0.0,0.39344132961657813,0.4119023825803398,0.1946562878030821
db15k,db15k_mhyper_adamf,70_to_90pct,0.7,0.9,38025,0.001148564613054969,0.000371765345335,0.0021264515817165,-0.006512332495518095,0.0,0.40823142669296514,0.3561341222879684,0.2356344510190664
db15k,db15k_mhyper_adamf,top_10pct,0.9,1.0,19013,0.0035086093602439664,0.0021265037357807,0.020298758521676,-0.004242652350961134,0.0,0.4439068006101089,0.2921159206858465,0.2639772787040446
db15k,db15k_native_adamf,bottom_10pct,0.0,0.1,19013,-0.007476616340582968,-0.0902706608176231,-0.0046724136918783,-0.027556254714221642,0.0,0.258612528270131,0.5131226003260927,0.22826487140377635
db15k,db15k_native_adamf,10_to_30pct,0.1,0.3,38025,-0.003009055146964598,-0.004672413226217,-0.0018579382449388,-0.009449154139096881,0.0,0.34577251808021037,0.4401051939513478,0.21412228796844182
db15k,db15k_native_adamf,30_to_50pct,0.3,0.5,38026,-0.0010970936827977174,-0.0018577985465526,-0.0004049725830554,-0.0059162807450038645,0.0,0.39070635880713195,0.3910745279545574,0.21821911323831064
