feature,h1_status,n_pairs,mean_abs_spearman,mean_positive_auroc_lift_orientation_free,mean_harmful_auroc_lift_orientation_free
geometry_direction_tail,PASS,3,0.036389134256570206,0.10085008143246281,0.08664161960511237
geometry_direction_tail,FAIL,3,0.04794254838189379,0.09398743855187304,0.09744157497037757
geometry_a_top1,PASS,3,0.16960757524611483,0.19605646593555812,0.10138254167444623
geometry_a_top1,FAIL,3,0.11971604055625094,0.18124569666191345,0.11744011567294126
geometry_a_top5_mean,PASS,3,0.11491932099127171,0.10912499153244164,0.07043588083542236
geometry_a_top5_mean,FAIL,3,0.09436627458457124,0.14173569200530753,0.1170303683858066
geometry_a_top1_top2_margin,PASS,3,0.12728495355496508,0.17212511064668715,0.108120732886764
geometry_a_top1_top2_margin,FAIL,3,0.10520029462988088,0.16767296733906437,0.0951240110346987
geometry_a_score_std,PASS,3,0.05077717444144574,0.07726963646436576,0.06807354639654935
geometry_a_score_std,FAIL,3,0.017910485863645364,0.0650263845664902,0.109818081470665
geometry_b_top1,PASS,3,0.07059054589547735,0.06187793714680904,0.031020173856440774
geometry_b_top1,FAIL,3,0.07750290171988519,0.06014177317208765,0.028702511794802137
geometry_b_top5_mean,PASS,3,0.06534642975108601,0.056710135888831746,0.06009465982022085
geometry_b_top5_mean,FAIL,3,0.04302727042278288,0.02003687108818634,0.08464109153023547
geometry_b_top1_top2_margin,PASS,3,0.09445205506398462,0.15147289051264226,0.10248314588038902
geometry_b_top1_top2_margin,FAIL,3,0.04856398054742417,0.11578395726089415,0.08842632438612352
geometry_b_score_std,PASS,3,0.06669602184331154,0.11151318309863674,0.08123644097385437
geometry_b_score_std,FAIL,3,0.021718512656128983,0.08890593378843199,0.1125532703848372
geometry_top1_delta_a_minus_b,PASS,3,0.1020703957007656,0.15076051324381032,0.09563248553720483
geometry_top1_delta_a_minus_b,FAIL,3,0.0860547750140734,0.13916441808222046,0.10218395035518062
geometry_top5_delta_a_minus_b,PASS,3,0.07535626803872165,0.12171208682843204,0.07610525544283908
geometry_top5_delta_a_minus_b,FAIL,3,0.07539729513558946,0.13342383898265556,0.09859042454200202
geometry_margin_delta_a_minus_b,PASS,3,0.08293747391203334,0.104291660047041,0.06617569079192827
geometry_margin_delta_a_minus_b,FAIL,3,0.07954874295953254,0.08304868501550773,0.02990440108875947
geometry_std_delta_a_minus_b,PASS,3,0.052786445891472404,0.10372511836992908,0.07169029326257477
geometry_std_delta_a_minus_b,FAIL,3,0.016690856165719522,0.05680791521902965,0.08774210924145327
