dataset,pair_id,relation,n_query_instances,n_original_triples,n_nonreference_action_rows,opportunity_prevalence,actual_mean_u,spearman,positive_auprc_lift,harmful_auprc_lift,top_10pct_actual_mean_u,h1_style_pass
mkg_w,mkgw_mhyper_native,0,4974,829,39792,0.850422195416164,0.0006728080714602225,0.3253629084044777,0.16009691313050622,0.15074269813716784,0.0027669146814923344,True
mkg_w,mkgw_mhyper_native,1,804,134,6432,0.3681592039800995,-0.002223212493760455,0.16377065605191962,0.09448882858393964,0.06108364814250944,-0.0015849940693322174,False
mkg_w,mkgw_mhyper_native,2,816,136,6528,0.5833333333333334,-0.0016171563543401263,0.11760900901900054,0.02983778158069139,0.05308232816182473,0.00532119824049627,True
mkg_w,mkgw_mhyper_native,3,852,142,6816,0.5410798122065728,-0.0023701966780233434,0.12851991544094915,0.10367145300480068,0.07963943985659205,0.0067523285225491265,True
mkg_w,mkgw_mhyper_native,4,198,33,1584,0.6363636363636364,-0.0026742517905947844,0.07837433186178978,0.05548419227565887,-0.00892067603650476,0.00848240517083546,False
mkg_w,mkgw_mhyper_native,5,924,154,7392,0.5043290043290043,-0.0005650006602738041,0.22970744991939843,0.1079417740340006,0.06156824754063417,0.002771869955249638,True
mkg_w,mkgw_mhyper_native,6,348,58,2784,0.6580459770114943,0.00025457837834289617,0.22361239797721522,0.13471820625316244,0.06637362157353133,-0.00018108945530598795,False
mkg_w,mkgw_mhyper_native,7,720,120,5760,0.7763888888888889,0.003117090132811438,0.3749083857655632,0.17749282024481877,0.17394902187934613,0.019889474768661285,True
mkg_w,mkgw_mhyper_native,8,570,95,4560,0.1631578947368421,0.0002458957018781921,-0.011306935703657638,0.010916383542451488,0.04132938265293386,-0.004941053383067163,False
mkg_w,mkgw_mhyper_native,9,426,71,3408,0.4460093896713615,-0.002914143643721454,0.05128801700312531,-0.011680252701638333,0.08032792063857949,-0.006215844350105671,False
mkg_w,mkgw_mhyper_native,10,252,42,2016,0.5634920634920635,-0.00023000436708971414,0.17766668710581876,0.06588782478379807,0.03292247185355229,-0.0007538750527800681,False
mkg_w,mkgw_mhyper_native,11,1068,178,8544,0.7350187265917603,-0.0006283862839117875,0.3027848163907292,0.1536138901712537,0.11683445055091107,0.009568978878085608,True
mkg_w,mkgw_mhyper_native,12,108,18,864,0.5185185185185185,-0.004307976436633119,0.10289218611661237,0.009493139560926456,0.044449053730167054,-0.008470123299799728,False
mkg_w,mkgw_mhyper_native,13,2772,462,22176,0.5007215007215007,-0.0023921056339628213,0.15855398312483723,0.08333165178658702,0.058873867528326185,0.0014666971171179207,True
mkg_w,mkgw_mhyper_native,14,456,76,3648,0.16666666666666666,1.5354906289318276e-05,-0.0020840881431493895,-0.010000333540947995,0.06988436302501272,0.0032052561667891212,False
mkg_w,mkgw_mhyper_native,15,246,41,1968,0.5609756097560976,0.006375216124610016,0.24050902890876244,0.1047568365561895,0.08679556886676576,0.007869433928869848,True
mkg_w,mkgw_mhyper_native,16,774,129,6192,0.6395348837209303,-0.0003684737306178382,0.09063033963701043,0.0420958599695902,0.05880768599303937,-0.0038142135906524075,False
mkg_w,mkgw_mhyper_native,18,1008,168,8064,0.7351190476190477,0.0008519272183766846,0.1349753940962355,0.0770747026975494,0.04702665201407835,-0.00610174259629808,False
mkg_w,mkgw_mhyper_native,19,138,23,1104,0.5652173913043478,-0.004727257805122078,0.25452138991126244,0.0684111976207975,0.1028246652585017,0.016268423971042816,True
mkg_w,mkgw_mhyper_native,21,756,126,6048,0.4695767195767196,-0.0001714929542305482,0.206185475720984,0.06968105240583755,0.09104481388511465,0.0018116642604270598,True
mkg_w,mkgw_mhyper_native,22,1128,188,9024,0.4122340425531915,-0.002922914433338308,0.19108774498868483,0.06590096509361629,0.08070376950237018,-0.003172686298980117,False
mkg_w,mkgw_mhyper_native,27,78,13,624,0.6794871794871795,-0.0032520913796320505,0.1580362273238518,0.02800523214345485,0.07502900975877497,-0.02036423365017174,False
mkg_w,mkgw_mhyper_native,29,450,75,3600,0.38666666666666666,-0.019432369592131644,0.10778214745751373,-0.013018593465140088,0.12917578931816415,-0.0015438213999952957,False
mkg_w,mkgw_mhyper_native,30,750,125,6000,0.7706666666666667,-0.000806381323418491,0.2653496746463378,0.13982889502829754,0.1196652043835238,0.012836321366403485,True
mkg_w,mkgw_mhyper_native,31,450,75,3600,0.8511111111111112,0.0006107015580804202,0.3130731857714641,0.13695376889414634,0.1567278264586583,0.007829332715224393,True
mkg_w,mkgw_mhyper_native,32,486,81,3888,0.6399176954732511,0.0008200865849782298,0.26081526543664874,0.08162246674125384,0.113161816500154,0.016565157779542518,True
mkg_w,mkgw_mhyper_native,33,84,14,672,0.6547619047619048,-0.0037812727757181607,0.2319563696841821,0.08284673950479882,0.1050232451823766,-0.014172780972476559,False
mkg_w,mkgw_mhyper_native,34,552,92,4416,0.5163043478260869,-0.007224204549927821,0.23108603850737391,0.13338876004246566,0.07238515886794106,0.026600395895894892,True
mkg_w,mkgw_mhyper_native,37,246,41,1968,0.508130081300813,-0.005724422019397656,0.12336778515531485,0.09200897361459676,-0.002555478759903307,0.004384247574598508,False
mkg_w,mkgw_mhyper_native,39,84,14,672,0.21428571428571427,-0.024754393042646355,0.00859840111944092,-0.01972594225051265,0.03489338106784928,0.004900247924258308,False
mkg_w,mkgw_mhyper_native,40,90,15,720,0.5888888888888889,-0.004874188764056838,0.2711024984023858,0.12106579841889936,0.08185741776099792,0.027250171433944252,True
mkg_w,mkgw_mhyper_native,41,66,11,528,0.3484848484848485,-0.02216549383424247,0.2101063517955082,0.07767177506905912,0.08048577770451076,-0.03514958476262351,False
mkg_w,mkgw_mhyper_native,44,78,13,624,0.6282051282051282,0.003117072808306339,0.04613447604778004,0.015258092659316103,-0.0012921705438142528,0.04084991162914343,False
mkg_w,mkgw_mhyper_native,46,66,11,528,0.19696969696969696,-0.009293731460167537,0.22529784578264228,0.05258373149777015,0.09376425767679535,0.028616352201257862,True
mkg_w,mkgw_mhyper_native,48,192,32,1536,0.6302083333333334,-0.00029895002984963023,0.2057882092151264,0.03562880625380688,0.21896728888583789,-0.004884687497524425,False
mkg_w,mkgw_mhyper_native,49,78,13,624,0.5128205128205128,-0.0026669773815875667,0.18208486980230593,0.0815369448575533,0.11372238386704286,-0.023760637359761628,False
mkg_w,mkgw_mhyper_native,50,234,39,1872,0.5213675213675214,0.0032146024155427027,0.2545947596448477,0.11493796956479158,0.1854573575809777,0.038602440240497395,True
mkg_w,mkgw_mhyper_native,53,102,17,816,0.49019607843137253,-0.005872363306331644,0.2650384975527447,0.14045798481375343,0.06076592343826545,0.021068629813216735,True
mkg_w,mkgw_mhyper_native,56,288,48,2304,0.5555555555555556,-0.0006853733754865669,0.25753994799473773,0.129597421013322,0.1005556449992942,0.017986163371515335,True
mkg_w,mkgw_mhyper_native,57,72,12,576,0.6111111111111112,0.006577129426274937,0.3219642309925881,0.14274520865937868,0.07014296555990779,0.04169433138786925,True
mkg_w,mkgw_mhyper_native,58,198,33,1584,0.6767676767676768,-0.0010614243133057202,0.2213601585584113,0.1533368340309424,0.08702986627172044,0.01570598532957139,True
mkg_w,mkgw_mhyper_native,59,162,27,1296,0.6481481481481481,0.003963751299679076,-0.030735007130394967,0.026189700959221962,0.022194413062938234,-0.002238681071418626,False
mkg_w,mkgw_mhyper_native,61,102,17,816,0.6372549019607843,-0.0033876554248645795,0.03158954725493982,0.006568388660189883,0.016573360932794656,0.010986701565371914,True
mkg_w,mkgw_mhyper_native,64,96,16,768,0.3125,-0.002782200764757017,0.06706588426906263,0.0253419513229399,0.08726071517240577,-0.00212111874462961,False
