dataset,pair_id,endpoint_class,best_local_class,count,rate_within_endpoint_class,rate_all_queries
mkg_w,mkgw_mhyper_native,toward_a,toward_a,3517,0.42817141465790115,0.1370829435609604
mkg_w,mkgw_mhyper_native,toward_a,toward_b,1488,0.18115412710007306,0.057998129092609915
mkg_w,mkgw_mhyper_native,toward_a,stay,3209,0.3906744582420258,0.12507795447458683
mkg_w,mkgw_mhyper_native,toward_b,toward_a,164,0.014445521007663173,0.006392266916120985
mkg_w,mkgw_mhyper_native,toward_b,toward_b,10199,0.8983528582753457,0.3975288431555971
mkg_w,mkgw_mhyper_native,toward_b,stay,990,0.0872016207169911,0.03858746492048644
mkg_w,mkgw_mhyper_native,stay,toward_a,45,0.007390376088027591,0.0017539756782039288
mkg_w,mkgw_mhyper_native,stay,toward_b,185,0.030382657250780095,0.0072107888992828184
mkg_w,mkgw_mhyper_native,stay,stay,5859,0.9622269666611923,0.22836763330215154
mkg_w,mkgw_mhyper_adamf,toward_a,toward_a,0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,toward_a,toward_b,3582,0.3174687583089604,0.13961646398503275
mkg_w,mkgw_mhyper_adamf,toward_a,stay,7701,0.6825312416910396,0.30016370439663237
mkg_w,mkgw_mhyper_adamf,toward_b,toward_a,0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,toward_b,toward_b,8578,0.9242538519556083,0.3343467415029623
mkg_w,mkgw_mhyper_adamf,toward_b,stay,703,0.07574614804439177,0.027400997817274713
mkg_w,mkgw_mhyper_adamf,stay,toward_a,0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,stay,toward_b,153,0.0300471327572663,0.005963517305893358
mkg_w,mkgw_mhyper_adamf,stay,stay,4939,0.9699528672427337,0.19250857499220456
mkg_w,mkgw_native_adamf,toward_a,toward_a,5462,0.42187379315671586,0.21289367009666355
mkg_w,mkgw_native_adamf,toward_a,toward_b,2471,0.1908550243299606,0.09631275335204241
mkg_w,mkgw_native_adamf,toward_a,stay,5014,0.38727118251332354,0.1954318677892111
mkg_w,mkgw_native_adamf,toward_b,toward_a,97,0.012805280528052805,0.0037807920174618022
mkg_w,mkgw_native_adamf,toward_b,toward_b,6561,0.8661386138613861,0.2557296538821328
mkg_w,mkgw_native_adamf,toward_b,stay,917,0.12105610561056106,0.03574212659806673
mkg_w,mkgw_native_adamf,stay,toward_a,18,0.003506038176860148,0.0007015902712815715
mkg_w,mkgw_native_adamf,stay,toward_b,309,0.06018698870276588,0.012043966323666978
mkg_w,mkgw_native_adamf,stay,stay,4807,0.936306973120374,0.18736357966947303
db15k,db15k_mhyper_native,toward_a,toward_a,0,0.0,0.0
db15k,db15k_mhyper_native,toward_a,toward_b,6546,0.2764358108108108,0.13771774804342338
db15k,db15k_mhyper_native,toward_a,stay,17134,0.7235641891891892,0.3604729445426239
db15k,db15k_mhyper_native,toward_b,toward_a,0,0.0,0.0
db15k,db15k_mhyper_native,toward_b,toward_b,11837,0.8883302063789869,0.24903223091811832
db15k,db15k_mhyper_native,toward_b,stay,1488,0.11166979362101313,0.03130522595304216
db15k,db15k_mhyper_native,stay,toward_a,0,0.0,0.0
db15k,db15k_mhyper_native,stay,toward_b,442,0.04198727082739622,0.009298998569384835
db15k,db15k_mhyper_native,stay,stay,10085,0.9580127291726038,0.21217285197340738
db15k,db15k_mhyper_adamf,toward_a,toward_a,0,0.0,0.0
db15k,db15k_mhyper_adamf,toward_a,toward_b,6429,0.25624775798158556,0.13525624842211562
db15k,db15k_mhyper_adamf,toward_a,stay,18660,0.7437522420184145,0.39257763191113354
db15k,db15k_mhyper_adamf,toward_b,toward_a,0,0.0,0.0
db15k,db15k_mhyper_adamf,toward_b,toward_b,12514,0.9044521538016768,0.2632752671884204
db15k,db15k_mhyper_adamf,toward_b,stay,1322,0.09554784619832321,0.027812841874947404
db15k,db15k_mhyper_adamf,stay,toward_a,0,0.0,0.0
db15k,db15k_mhyper_adamf,stay,toward_b,455,0.05286394794934356,0.009572498527307918
db15k,db15k_mhyper_adamf,stay,stay,8152,0.9471360520506564,0.17150551207607506
db15k,db15k_native_adamf,toward_a,toward_a,0,0.0,0.0
db15k,db15k_native_adamf,toward_a,toward_b,4752,0.24029126213592233,0.09997475385003787
db15k,db15k_native_adamf,toward_a,stay,15024,0.7597087378640777,0.3160817975258773
db15k,db15k_native_adamf,toward_b,toward_a,0,0.0,0.0
db15k,db15k_native_adamf,toward_b,toward_b,16667,0.8894284646992903,0.3506479845156947
db15k,db15k_native_adamf,toward_b,stay,2072,0.11057153530070975,0.043591685601279136
db15k,db15k_native_adamf,stay,toward_a,0,0.0,0.0
db15k,db15k_native_adamf,stay,toward_b,653,0.07241876455583897,0.013738113271059497
db15k,db15k_native_adamf,stay,stay,8364,0.927581235444161,0.1759656652360515
