dataset,pair_id,expert_a,expert_b,alpha0,alpha,delta_alpha,n,positive_rate,zero_rate,negative_rate,mean_u,mean_positive_u,mean_negative_u,best_action_count,best_action_rate,is_grid_endpoint,is_max_radius_boundary
db15k,db15k_mhyper_adamf,M-Hyper,AdaMF-MAT,1.0,0.7,-0.30,47532,0.373032904148784,0.3513212151813515,0.2756458806698645,-0.02532579338314262,0.036023979701943806,-0.14062943025360294,14126,0.2971892619708828,1,1
db15k,db15k_mhyper_adamf,M-Hyper,AdaMF-MAT,1.0,0.8,-0.20,47532,0.363839097870908,0.39914163090128757,0.23701927122780442,-0.018281790875621005,0.025243520548462035,-0.1158824363807125,2597,0.05463687620971135,0,0
db15k,db15k_mhyper_adamf,M-Hyper,AdaMF-MAT,1.0,0.9,-0.10,47532,0.34023394765631576,0.4761634267440882,0.18360262559959606,-0.008496039321582442,0.015320714187878469,-0.07466487119053866,1375,0.02892788016494151,0,0
db15k,db15k_mhyper_adamf,M-Hyper,AdaMF-MAT,1.0,0.95,-0.05,47532,0.31027518303458723,0.5416982243541193,0.14802659261129344,-0.004194503068491145,0.008475052270943128,-0.04610051033874223,1300,0.02734999579230834,0,0
db15k,db15k_mhyper_adamf,M-Hyper,AdaMF-MAT,1.0,1.0,+0.00,47532,0.0,1.0,0.0,0.0,,,28134,0.591895985862156,1,0
db15k,db15k_mhyper_native,M-Hyper,NativE,1.0,0.7,-0.30,47532,0.36179836741563576,0.3961120929058319,0.24208953967853236,-0.008735884027619392,0.037607853677331424,-0.09228958888414508,13636,0.28688041740301273,1,1
db15k,db15k_mhyper_native,M-Hyper,NativE,1.0,0.8,-0.20,47532,0.3490701001430615,0.4417024320457797,0.2092274678111588,-0.005113390080823582,0.02595245631623515,-0.0677378393685947,2584,0.05436337625178827,0,0
db15k,db15k_mhyper_native,M-Hyper,NativE,1.0,0.9,-0.10,47532,0.32201464276697805,0.5089834216948582,0.16900193553816376,-0.001978104217098619,0.01455293866260172,-0.03943365228643283,1327,0.02791803416645628,0,0
db15k,db15k_mhyper_native,M-Hyper,NativE,1.0,0.95,-0.05,47532,0.2882689556509299,0.570710258352268,0.14102078599680215,-0.0010374244104805349,0.008130719794558714,-0.023977022184693983,1278,0.026887149709669274,0,0
db15k,db15k_mhyper_native,M-Hyper,NativE,1.0,1.0,+0.00,47532,0.0,1.0,0.0,0.0,,,28707,0.6039510224690735,1,0
db15k,db15k_native_adamf,NativE,AdaMF-MAT,1.0,0.7,-0.30,47532,0.4239038963224775,0.3118951443238239,0.2642009593536986,-0.010295597625218342,0.05298458839886126,-0.12398127233401562,15500,0.3260961036775225,1,1
db15k,db15k_native_adamf,NativE,AdaMF-MAT,1.0,0.8,-0.20,47532,0.41584616679289743,0.3504586383909787,0.23369519481612389,-0.009228647759959494,0.03843264065587886,-0.10787861546007417,3183,0.06696541277455188,0,0
db15k,db15k_native_adamf,NativE,AdaMF-MAT,1.0,0.9,-0.10,47532,0.39506016999074306,0.4146469746696962,0.19029285533956072,-0.0057810847379986445,0.021878220948643994,-0.0758005254549676,1714,0.03605991752924346,0,0
db15k,db15k_native_adamf,NativE,AdaMF-MAT,1.0,0.95,-0.05,47532,0.36949844315408564,0.4763106959522006,0.1541908608937137,-0.0031360026590734314,0.012344663583260217,-0.049920835707992904,1675,0.035239417655474205,0,0
db15k,db15k_native_adamf,NativE,AdaMF-MAT,1.0,1.0,+0.00,47532,0.0,1.0,0.0,0.0,,,25460,0.5356391483632079,1,0
mkg_w,mkgw_mhyper_adamf,M-Hyper,AdaMF-MAT,1.0,0.7,-0.30,25656,0.4446913002806361,0.3438571874025569,0.21145151231680698,-0.015888949524477888,0.02195985549686712,-0.12132477057396439,9568,0.3729342064234487,1,1
mkg_w,mkgw_mhyper_adamf,M-Hyper,AdaMF-MAT,1.0,0.8,-0.20,25656,0.43740255690676644,0.38193794823822885,0.18065949485500468,-0.010113187789447396,0.015949464851469895,-0.09459521909153343,1324,0.05160586217648893,0,0
mkg_w,mkgw_mhyper_adamf,M-Hyper,AdaMF-MAT,1.0,0.9,-0.10,25656,0.41456189585282194,0.44515902712815714,0.1402790770190209,-0.004622104171097459,0.009303401735693707,-0.060443369123232865,709,0.027634861241035237,0,0
mkg_w,mkgw_mhyper_adamf,M-Hyper,AdaMF-MAT,1.0,0.95,-0.05,25656,0.387784533832242,0.5000389772372934,0.11217648893046461,-0.0023485925344811564,0.005372602942443725,-0.03950921359938178,712,0.027751792952915497,0,0
mkg_w,mkgw_mhyper_adamf,M-Hyper,AdaMF-MAT,1.0,1.0,+0.00,25656,0.0,1.0,0.0,0.0,,,13343,0.5200732772061116,1,0
mkg_w,mkgw_mhyper_native,M-Hyper,NativE,0.6,0.3,-0.30,25656,0.435414717804802,0.3559401309635173,0.2086451512316807,-0.0016984836289287509,0.038528999784205195,-0.08854544228902532,8956,0.3490801371998753,1,1
mkg_w,mkgw_mhyper_native,M-Hyper,NativE,0.6,0.4,-0.20,25656,0.4321016526348612,0.38388681010289993,0.18401153726223884,-0.001107676166721468,0.029624805711567528,-0.07558549795633208,1402,0.05464608668537574,0,0
mkg_w,mkgw_mhyper_native,M-Hyper,NativE,0.6,0.5,-0.10,25656,0.4092999688182102,0.43401153726223884,0.15668849391955098,-0.0008317240217513734,0.02105157058887876,-0.06029881946663408,679,0.026465544122232617,0,0
mkg_w,mkgw_mhyper_native,M-Hyper,NativE,0.6,0.55,-0.05,25656,0.3816651075771749,0.48023854069223576,0.13809635173058935,-0.00016796844589378584,0.01750558713769291,-0.04959754662719172,835,0.03254599314000624,0,0
mkg_w,mkgw_mhyper_native,M-Hyper,NativE,0.6,0.6,+0.00,25656,0.0,1.0,0.0,0.0,,,10058,0.3920330526972248,0,0
mkg_w,mkgw_mhyper_native,M-Hyper,NativE,0.6,0.65,+0.05,25656,0.12574056750857499,0.4849158091674462,0.3893436233239788,-0.0008298237098465843,0.04721780826331961,-0.017380579292951576,552,0.021515434985968196,0,0
mkg_w,mkgw_mhyper_native,M-Hyper,NativE,0.6,0.7,+0.10,25656,0.13770657935765512,0.44063766760212036,0.4216557530402245,-0.0007463413621002121,0.055063593844000405,-0.01975298678470111,454,0.01769566573121297,0,0
