dataset,pair_id,matrix,row_class,column_class,count,row_rate
db15k,db15k_mhyper_adamf,winner_label_vs_best_direction,toward_b_or_tie,toward_b,12969,0.5778639219355701
db15k,db15k_mhyper_adamf,winner_label_vs_best_direction,toward_b_or_tie,stay,9474,0.4221360780644299
db15k,db15k_mhyper_adamf,winner_label_vs_best_direction,toward_b_or_tie,toward_a,0,0.0
db15k,db15k_mhyper_adamf,winner_label_vs_best_direction,toward_a,toward_b,6429,0.25624775798158556
db15k,db15k_mhyper_adamf,winner_label_vs_best_direction,toward_a,stay,18660,0.7437522420184145
db15k,db15k_mhyper_adamf,winner_label_vs_best_direction,toward_a,toward_a,0,0.0
db15k,db15k_mhyper_adamf,endpoint_preference_exists_vs_worth_deviating,no_endpoint_preference,stay_anchor,8152,0.9471360520506564
db15k,db15k_mhyper_adamf,endpoint_preference_exists_vs_worth_deviating,no_endpoint_preference,worth_deviating,455,0.05286394794934356
db15k,db15k_mhyper_adamf,endpoint_preference_exists_vs_worth_deviating,endpoint_preference,stay_anchor,19982,0.5133461785484907
db15k,db15k_mhyper_adamf,endpoint_preference_exists_vs_worth_deviating,endpoint_preference,worth_deviating,18943,0.4866538214515093
db15k,db15k_mhyper_adamf,winner_label_vs_best_action_class,winner_0,-0.30,10888,0.4851401327808225
db15k,db15k_mhyper_adamf,winner_label_vs_best_action_class,winner_0,-0.20,1202,0.05355790224123334
db15k,db15k_mhyper_adamf,winner_label_vs_best_action_class,winner_0,-0.10,481,0.021432072361092545
db15k,db15k_mhyper_adamf,winner_label_vs_best_action_class,winner_0,-0.05,398,0.01773381455242169
db15k,db15k_mhyper_adamf,winner_label_vs_best_action_class,winner_0,+0.00,9474,0.4221360780644299
db15k,db15k_mhyper_adamf,winner_label_vs_best_action_class,winner_1,-0.30,3238,0.1290605444617163
db15k,db15k_mhyper_adamf,winner_label_vs_best_action_class,winner_1,-0.20,1395,0.055602056678225514
db15k,db15k_mhyper_adamf,winner_label_vs_best_action_class,winner_1,-0.10,894,0.035633146000239146
db15k,db15k_mhyper_adamf,winner_label_vs_best_action_class,winner_1,-0.05,902,0.0359520108414046
db15k,db15k_mhyper_adamf,winner_label_vs_best_action_class,winner_1,+0.00,18660,0.7437522420184145
db15k,db15k_mhyper_native,winner_label_vs_best_direction,toward_b_or_tie,toward_b,12279,0.5147995975180278
db15k,db15k_mhyper_native,winner_label_vs_best_direction,toward_b_or_tie,stay,11573,0.48520040248197216
db15k,db15k_mhyper_native,winner_label_vs_best_direction,toward_b_or_tie,toward_a,0,0.0
db15k,db15k_mhyper_native,winner_label_vs_best_direction,toward_a,toward_b,6546,0.2764358108108108
db15k,db15k_mhyper_native,winner_label_vs_best_direction,toward_a,stay,17134,0.7235641891891892
db15k,db15k_mhyper_native,winner_label_vs_best_direction,toward_a,toward_a,0,0.0
db15k,db15k_mhyper_native,endpoint_preference_exists_vs_worth_deviating,no_endpoint_preference,stay_anchor,10085,0.9580127291726038
db15k,db15k_mhyper_native,endpoint_preference_exists_vs_worth_deviating,no_endpoint_preference,worth_deviating,442,0.04198727082739622
db15k,db15k_mhyper_native,endpoint_preference_exists_vs_worth_deviating,endpoint_preference,stay_anchor,18622,0.503229293338738
db15k,db15k_mhyper_native,endpoint_preference_exists_vs_worth_deviating,endpoint_preference,worth_deviating,18383,0.496770706661262
db15k,db15k_mhyper_native,winner_label_vs_best_action_class,winner_0,-0.30,10181,0.42684051651853094
db15k,db15k_mhyper_native,winner_label_vs_best_action_class,winner_0,-0.20,1277,0.05353848733858796
db15k,db15k_mhyper_native,winner_label_vs_best_action_class,winner_0,-0.10,463,0.019411370115713568
db15k,db15k_mhyper_native,winner_label_vs_best_action_class,winner_0,-0.05,358,0.015009223545195372
db15k,db15k_mhyper_native,winner_label_vs_best_action_class,winner_0,+0.00,11573,0.48520040248197216
db15k,db15k_mhyper_native,winner_label_vs_best_action_class,winner_1,-0.30,3455,0.14590371621621623
db15k,db15k_mhyper_native,winner_label_vs_best_action_class,winner_1,-0.20,1307,0.05519425675675676
