dataset,pair_id,representation,prior_status,delta_spearman,delta_positive_auprc_lift,delta_harmful_auprc_lift,delta_positive_vs_harmful_auroc,delta_positive_vs_harmful_auroc_lift,delta_highest_10pct_actual_mean_advantage,delta_highest_10pct_positive_rate,delta_highest_10pct_harmful_rate,delta_nonzero_activity_auprc_lift,clear_sign_identifiability_improvement
db15k,db15k_mhyper_adamf,R1,FAIL,0.02265954787084766,0.017649651551245815,0.005847908038374983,0.014860143024770012,0.014860143024770012,0.0022636510920353583,0.012885920159890596,0.011097670015252747,-0.017547383226401425,False
db15k,db15k_mhyper_adamf,R2,FAIL,0.00032655000090259234,0.010847916569184712,0.0061328651107605825,-0.0016169994212921202,-0.0016169994212921202,0.0009380718618892288,0.03387156156314097,0.011150265607742071,0.027403150875328963,False
db15k,db15k_mhyper_adamf,R3,FAIL,0.009524648080204923,0.007600075547049778,0.008615160933188981,0.010822513656507993,0.010822513656507993,0.001968996126119137,0.016041655709251534,-0.03281964971335399,0.005869588771594936,False
db15k,db15k_mhyper_native,R1,FAIL,0.05344296789239904,0.04700741742814185,-0.00394588853365091,0.027316500599739113,0.027316500599739113,0.0033314795347603936,0.09183190448640399,0.021196023773207784,0.011800843896622615,False
db15k,db15k_mhyper_native,R2,FAIL,0.004442986756293232,0.04495269379489081,-0.017377418127634214,-0.024618645885478463,-0.024618645885478463,0.003518523051978101,0.11145006048493133,0.10224583179929522,0.06961067734105941,False
db15k,db15k_mhyper_native,R3,FAIL,0.031696531188371777,0.043035616435126434,-0.004570037047269132,0.009918101193738593,0.009918101193738593,0.0032807504414279955,0.09467206648082888,0.03224109819597115,0.01094468500113771,False
db15k,db15k_native_adamf,R1,PASS,-0.017475880701593782,0.021607221546187105,-0.011403653875824787,-0.017570537119982466,-0.017570537119982466,0.0013831209129745018,0.027454899279440337,0.03324041445326881,-0.006742453255029757,False
db15k,db15k_native_adamf,R2,PASS,-0.01601094328856921,0.007729132373485659,-0.0011240432802664957,-0.011958842144007886,-0.011958842144007886,0.001205070779443438,0.023983590175143288,0.01409561878714563,0.01048888589368513,False
db15k,db15k_native_adamf,R3,PASS,-0.01948323682152825,0.0015352986820665326,-0.002916494655480828,-0.01705968378558076,-0.01705968378558076,0.003861207440455598,0.007994530058381022,0.0009993162572976277,0.0196581130645741,False
mkg_w,mkgw_mhyper_adamf,R1,PASS,0.02046905585231526,0.018120001459559054,0.0037014784371231513,0.01102094985771973,0.01102094985771973,0.003919359658645809,0.017150652894172724,-0.002923406743324891,-0.015523499227831583,False
mkg_w,mkgw_mhyper_adamf,R2,PASS,0.01200789939164526,0.030209903435807095,0.01007892661598539,0.016149482524204894,0.016149482524204894,0.003357305041874854,0.0730851685831223,-0.0053595790294289625,0.002106610914927587,False
mkg_w,mkgw_mhyper_adamf,R3,PASS,0.015098124693007975,0.029898402614395914,0.007340080260476944,0.015690408102173037,0.015690408102173037,0.004425440132268066,0.06392516078737098,-0.006723835509647252,-0.010113569530800226,False
mkg_w,mkgw_mhyper_native,R1,PASS,0.011249451213563771,0.010729414022802142,0.023422273921652026,0.004763522955963717,0.004763522955963717,-0.001097167763364229,0.03006090133982947,0.022362971985383673,0.03205635686438146,False
mkg_w,mkgw_mhyper_native,R2,PASS,0.01611415385187351,0.041764933715988606,0.014243926536845863,0.007801008492955397,0.007801008492955397,0.0027522845589001785,0.08833130328867228,0.041802679658952485,0.05382743216785357,False
mkg_w,mkgw_mhyper_native,R3,PASS,0.007125892718046478,0.017756299926903363,0.023470793357768194,0.002286483839800124,0.002286483839800124,0.001365478357487451,0.05325213154689401,0.03166869671132763,0.04128334594025396,False
mkg_w,mkgw_native_adamf,R1,FAIL,0.007424218153956372,0.00782813568367896,0.006169190646804101,0.005104151020726033,0.005104151020726033,-0.0007027476720525582,0.016994075459931424,0.026270657935765496,0.024252730115307153,False
mkg_w,mkgw_native_adamf,R2,FAIL,0.011867158177491205,0.0104014269640339,0.011794178707886571,0.008497677088766364,0.008497677088766364,-0.0008716050641055578,0.03507951356407857,0.029310882444652298,0.033145847099486536,False
mkg_w,mkgw_native_adamf,R3,FAIL,0.017392309056696552,0.009331889408962069,0.0225356354797685,0.011833301971208576,0.011833301971208576,0.00028087345950322156,0.024789522918615525,0.027050202681633884,0.044581436967848664,False
