representation,outer_fold,config_id,hidden_width,learning_rate,negative_weight,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc
R2,1,w32_lr1e-4_neg1p0,32,0.0001,1.0,164304,0.027186251355342743,0.02163182285779086,0.0370712110630158,0.2756962703281722,0.2924808291709839,0.016784558842811714,0.5231309911421654,0.30248807089297886,0.3123001226267188,0.009812051733739946,0.5182591787330032
R2,1,w32_lr1e-4_neg1p5,32,0.0001,1.5,164304,0.028310106165447376,0.022416872502824703,0.033244461334500854,0.2756962703281722,0.2851940326261596,0.009497762297987433,0.5183887614188378,0.30248807089297886,0.3110900379813181,0.008601967088339268,0.5159931623878203
R2,1,w32_lr1e-4_neg2p0,32,0.0001,2.0,164304,0.02487078936531483,0.020287858101300987,0.05618298292788753,0.2756962703281722,0.2858685053518882,0.010172235023716003,0.5282752850529001,0.30248807089297886,0.32273234486461855,0.020244273971639692,0.5312630242029469
R2,1,w32_lr1e-4_neg3p0,32,0.0001,3.0,164304,0.026484721018547944,0.021086034938890805,0.04000729318124458,0.2756962703281722,0.2866228761112492,0.010926605783077026,0.5221128087915143,0.30248807089297886,0.3138932601334063,0.011405189240427438,0.5156780088404498
R2,1,w32_lr3e-4_neg1p0,32,0.0003,1.0,164304,0.023398419433078476,0.019701436064716332,0.1046954903505434,0.2756962703281722,0.30835919552823243,0.032662925200060255,0.5527341536754811,0.30248807089297886,0.34425894621750613,0.04177087532452728,0.5569874963367866
R2,1,w32_lr3e-4_neg1p5,32,0.0003,1.5,164304,0.023419334506840896,0.019710783739129205,0.10770783264961083,0.2756962703281722,0.3239040783889155,0.04820780806074332,0.569298269343513,0.30248807089297886,0.3351703552234888,0.03268228433050996,0.5429771234997854
R2,1,w32_lr3e-4_neg2p0,32,0.0003,2.0,164304,0.022983247989328447,0.019558358493214065,0.11426597017063614,0.2756962703281722,0.3235102382651595,0.047813967936987334,0.5686927603110941,0.30248807089297886,0.3432706903940144,0.040782619501035566,0.5509591840421609
R2,1,w32_lr3e-4_neg3p0,32,0.0003,3.0,164304,0.023028104769035117,0.019594652124393593,0.08334302343742417,0.2756962703281722,0.31411267032192985,0.03841639999375768,0.5578359182184123,0.30248807089297886,0.3295399322403956,0.027051861347416772,0.5273698588339925
R2,1,w32_lr1e-3_neg1p0,32,0.001,1.0,164304,0.0220562026640601,0.019356935161141998,0.1861309068493235,0.2756962703281722,0.35419246897995915,0.07849619865178697,0.6048430950639998,0.30248807089297886,0.3769504221526628,0.07446235125968392,0.5913549016868304
R2,1,w32_lr1e-3_neg1p5,32,0.001,1.5,164304,0.02202781475271981,0.019342731421314322,0.1785322803146595,0.2756962703281722,0.3683089291089098,0.0926126587807376,0.6099913883375018,0.30248807089297886,0.37026529880476394,0.06777722791178509,0.5765252404974681
R2,1,w32_lr1e-3_neg2p0,32,0.001,2.0,164304,0.022239315953301458,0.01938566456366755,0.15965463412291114,0.2756962703281722,0.3476454503172052,0.071949179989033,0.5918987190765725,0.30248807089297886,0.3689721053258633,0.06648403443288442,0.5738788001823373
R2,1,w32_lr1e-3_neg3p0,32,0.001,3.0,164304,0.022945285736668878,0.01954710359681069,0.09469557584101228,0.2756962703281722,0.31437324743400497,0.03867697710583279,0.556617805664864,0.30248807089297886,0.3392577528223113,0.03676968192933244,0.5353189287728044
R2,1,w64_lr1e-4_neg1p0,64,0.0001,1.0,164304,0.02487318699515953,0.02024340579493198,0.07717466117119945,0.2756962703281722,0.30379217665544705,0.028095906327274878,0.5436999181863513,0.30248807089297886,0.33223531121270283,0.029747240319723978,0.5357261411651649
R2,1,w64_lr1e-4_neg1p5,64,0.0001,1.5,164304,0.025197989806854986,0.020401639113725147,0.07138024408597841,0.2756962703281722,0.2920029780054575,0.016306707677285315,0.5349145057800803,0.30248807089297886,0.3276314574235007,0.02514338653052184,0.5394494110311234
R2,1,w64_lr1e-4_neg2p0,64,0.0001,2.0,164304,0.02538850657978934,0.020527784599158085,0.06340439829825914,0.2756962703281722,0.29079434592381603,0.015098075595643856,0.5296339560220182,0.30248807089297886,0.32544131648557156,0.022953245592592708,0.5344988607256959
R2,1,w64_lr1e-4_neg3p0,64,0.0001,3.0,164304,0.024840822421570066,0.020271985671797523,0.055419760058116996,0.2756962703281722,0.29249656904972077,0.01680029872154859,0.5348791026220863,0.30248807089297886,0.31727764646091106,0.0147895755679322,0.5194363586496116
R2,1,w64_lr3e-4_neg1p0,64,0.0003,1.0,164304,0.022850501970188192,0.019514986721236475,0.13228573376453878,0.2756962703281722,0.3227039097357378,0.04700763940756564,0.5642214151384468,0.30248807089297886,0.3641054841209225,0.06161741322794362,0.5725011704199578
R2,1,w64_lr3e-4_neg1p5,64,0.0003,1.5,164304,0.023361922714572582,0.0196746034524221,0.10627818874349121,0.2756962703281722,0.31353730152659626,0.03784103119842408,0.5560006856899534,0.30248807089297886,0.34479192169146,0.042303850798481146,0.5530048892180348
R2,1,w64_lr3e-4_neg2p0,64,0.0003,2.0,164304,0.023085446623857416,0.019599405120778426,0.09998252491400973,0.2756962703281722,0.31876515518911264,0.04306888486094046,0.5685344748097956,0.30248807089297886,0.32950159753653446,0.027013526643555608,0.5323673210074731
