dataset,pair_id,representation,relation,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
db15k,db15k_mhyper_adamf,R0,0,6984,0.047354461213433785,0.04266615425611835,0.16526009831863037,0.38917525773195877,0.49702689042155346,0.10785163268959469,0.6140819636898287,0.17826460481099657,0.22203481063482533,0.04377020582382876,0.5579385323136071,0.6127683655889193,0.11276836558891934,0.567368154849452,0.5674398625429553,-7.170769350328676e-05,0.011719224749077422,0.5759312320916905,0.17191977077363896,True,1746
db15k,db15k_mhyper_adamf,R0,1,6024,0.031942381336476075,0.028465830849960263,0.0545399480080447,0.3336653386454183,0.36866754770921994,0.03500220906380164,0.5781492388580267,0.1699867197875166,0.15946239202028367,-0.010524327767232916,0.46269677734375,0.5182459285603234,0.018245928560323366,0.4347950618333693,0.5036520584329349,-0.06885699659956562,-0.009800327717903906,0.34551495016611294,0.18604651162790697,False,1506
db15k,db15k_mhyper_adamf,R0,2,1680,0.03573480483699866,0.03199511705077159,0.031406373923517625,0.3470238095238095,0.35770479619497175,0.01068098667116224,0.5300843873279848,0.16488095238095238,0.1715047607869261,0.006623808405973736,0.5038918665778077,0.5230322432829074,0.023032243282907428,0.48477806565799286,0.5119047619047619,-0.027126696246769,-0.014489756552714022,0.3273809523809524,0.16666666666666666,False,420
db15k,db15k_mhyper_adamf,R0,3,552,0.06195682278950196,0.05680894390094931,0.07880749831368651,0.25905797101449274,0.25392748726101294,-0.005130483753479798,0.4697625113273035,0.15579710144927536,0.2978056046041139,0.14200850315483857,0.6797584589280368,0.6307529679622703,0.13075296796227032,0.5108690138086542,0.4148550724637681,0.09601394134488611,-0.01776732082472763,0.21818181818181817,0.03636363636363636,False,138
db15k,db15k_mhyper_adamf,R0,4,576,0.06431486413086522,0.05951720496422343,0.23614145314034404,0.027777777777777776,0.04948591194620387,0.021708134168426096,0.5209821428571428,0.14756944444444445,0.29722924698464215,0.1496598025401977,0.7041092608122679,0.6477941176470589,0.14779411764705885,0.35188794004805596,0.1753472222222222,0.17654071782583375,-0.015831964969896008,0.08620689655172414,0.034482758620689655,False,144
db15k,db15k_mhyper_adamf,R0,5,3360,0.03209590688632656,0.02862594070523173,0.08598250557185709,0.43660714285714286,0.4924533076473012,0.05584616479015836,0.5740465266682295,0.1738095238095238,0.1737469172851263,-6.260652439749048e-05,0.4978090087244878,0.5397605774528205,0.03976057745282047,0.5544846245717338,0.6104166666666667,-0.055932042094932966,-0.0013905104333860284,0.5178571428571429,0.19047619047619047,False,840
db15k,db15k_mhyper_adamf,R0,6,528,0.048314676976984335,0.04412806056499903,-0.013372653744621142,0.3996212121212121,0.40177228578275964,0.0021510736615475423,0.5009045105924919,0.26325757575757575,0.2657373223346957,0.002479746577119968,0.5164136043350409,0.5130757952879402,0.013075795287940228,0.6679216228832632,0.6628787878787878,0.005042835004475332,-0.04507722125761694,0.37735849056603776,0.20754716981132076,False,132
db15k,db15k_mhyper_adamf,R0,7,432,0.04518133477579805,0.0408940048939038,0.14615305876677348,0.3587962962962963,0.4988631886232284,0.14006689232693215,0.6728776056830093,0.22685185185185186,0.20859537982142465,-0.018256472030427212,0.4851215935475987,0.6100065832784727,0.11000658327847268,0.4750781072656532,0.5856481481481481,-0.11057004088249495,0.027685893699360066,0.5116279069767442,0.20930232558139536,False,108
db15k,db15k_mhyper_adamf,R0,8,240,0.04977529889933385,0.043889591726291824,0.10493825368486315,0.3416666666666667,0.3818925834770184,0.0402259168103517,0.5503241741278172,0.25833333333333336,0.33580725745928947,0.0774739241259561,0.5536426241391809,0.5753343823760818,0.07533438237608181,0.6182744197622547,0.6,0.018274419762254746,-0.08066125866642719,0.3333333333333333,0.2916666666666667,False,60
db15k,db15k_mhyper_adamf,R0,9,384,0.037468175103731544,0.03277252229515273,0.09756911521882264,0.359375,0.46834204485633235,0.10896704485633235,0.5683103570166137,0.1953125,0.30233769201511795,0.10702519201511795,0.5975836030204962,0.6204830917874397,0.12048309178743966,0.5841434897653127,0.5546875,0.029455989765312718,0.0016488641755127954,0.5263157894736842,0.07894736842105263,True,96
db15k,db15k_mhyper_adamf,R0,10,168,0.10541138071757454,0.09861465842161632,-0.2567369851236677,0.375,0.2990594420339562,-0.07594055796604382,0.3362055933484505,0.27380952380952384,0.23385848541400184,-0.039951038395522,0.40841054882394867,0.3326432022084196,-0.16735679779158041,0.7358554869605808,0.6488095238095238,0.08704596315105695,-0.14246925622649192,0.23529411764705882,0.29411764705882354,False,42
db15k,db15k_mhyper_adamf,R0,11,312,0.037947881245075164,0.03396269731681429,-0.012027104064604862,0.47435897435897434,0.50119340363803,0.02683442927905566,0.5140079103493738,0.17307692307692307,0.24810540698275416,0.07502848390583108,0.5000717772035601,0.5128878878878879,0.012887887887887861,0.6779618726697455,0.6474358974358975,0.030525975233848035,-0.015793222343416482,0.5483870967741935,0.16129032258064516,False,78
db15k,db15k_mhyper_adamf,R0,12,12888,0.02238421925364695,0.019398938988161966,0.05264528471257215,0.48370577281191807,0.5182377183244211,0.03453194551250305,0.5586053106291752,0.21609248913718188,0.20266211760936226,-0.013430371527819618,0.4690326975065266,0.5049789219828255,0.004978921982825457,0.6439138683239805,0.6997982619490999,-0.05588439362511943,-0.006844113677126982,0.5244375484871994,0.26764934057408846,False,3222
db15k,db15k_mhyper_adamf,R0,13,312,0.058898635454325644,0.054230755054143015,-0.09374309808240675,0.15384615384615385,0.1314428454066241,-0.022403308439529757,0.3862847222222222,0.27884615384615385,0.30322373043145634,0.024377576585302485,0.4880715197956577,0.40205938697318006,-0.09794061302681994,0.5274431277393185,0.4326923076923077,0.09475082004701074,-0.046360391663996955,0.0967741935483871,0.4838709677419355,False,78
db15k,db15k_mhyper_adamf,R0,14,1968,0.03152063093368071,0.027102251344277115,0.03699665596462408,0.3567073170731707,0.39122423112431254,0.03451691405114182,0.5420565479807186,0.17682926829268292,0.19165267947234066,0.014823411179657742,0.5304313892436497,0.5499557913351016,0.04995579133510164,0.5340176763514508,0.5335365853658537,0.00048109098559712127,-0.020014279184118047,0.41624365482233505,0.2182741116751269,False,492
db15k,db15k_mhyper_adamf,R0,15,120,0.040080158662500885,0.036347977012814774,0.13560298689479797,0.525,0.5968291119094538,0.07182911190945374,0.4998607630186577,0.225,0.25705180524234,0.03205180524234,0.575467941059339,0.551440329218107,0.05144032921810704,0.8255267906676833,0.75,0.07552679066768331,0.029911427378038317,0.8333333333333334,0.0,True,30
