dataset,pair_id,representation,seed,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
db15k,db15k_mhyper_adamf,R0,1,63376,0.0313985205341473,0.02778815163146442,0.08122369296574082,0.33500063115374906,0.40093757414438524,0.06593694299063618,0.59237851904673,0.21825296642262054,0.213539501975459,-0.004713464447161531,0.4737720781018551,0.5385546438568459,0.03855464385684593,0.5035949294814948,0.5532535975763696,-0.04965866809487485,-0.006723209429508524,0.42742189965288735,0.25055222467655414,False,15844
db15k,db15k_mhyper_adamf,R0,2,63376,0.032720953180801905,0.029013836222579796,0.08333499202122718,0.3530358495329462,0.4216387991844794,0.06860294965153318,0.5944880826910108,0.2103162080282757,0.2082255680298538,-0.002090639998421878,0.47042223553913637,0.5342805548971558,0.03428055489715576,0.5152277107053487,0.5633520575612219,-0.04812434685587319,-0.0037107148639305395,0.45045755758914485,0.2669611864941622,False,15844
db15k,db15k_mhyper_adamf,R0,3,63376,0.030077123026459488,0.02646157857375322,0.08613154423514802,0.35249936884625094,0.4230065594423521,0.07050719059610117,0.5974275136978227,0.2046516031305226,0.20287894490662206,-0.0017726582239005473,0.4717680896807973,0.536887216143031,0.03688721614303103,0.5110522725196305,0.5571509719767735,-0.046098699457143066,-0.0024470480084436827,0.4551909119596087,0.27784790154622907,False,15844
db15k,db15k_mhyper_adamf,R1,1,63376,0.03237315303324636,0.028058383451978558,0.10477596380536527,0.33500063115374906,0.42260764892043007,0.087607017766681,0.6194688407909473,0.21825296642262054,0.2180886262884371,-0.00016434013418345494,0.47032778514955176,0.5520151992327423,0.05201519923274234,0.4867152103992116,0.5532535975763696,-0.06653838717715799,-0.0031539675429318793,0.4417797412432944,0.272010097822657,False,15844
db15k,db15k_mhyper_adamf,R1,2,63376,0.03371511149985623,0.029351747550265216,0.10988932564333678,0.3530358495329462,0.4402159699125114,0.08718012037956518,0.6171382444102574,0.2103162080282757,0.2170630821508489,0.006746874122573215,0.4814187013221002,0.5563399868835086,0.05633998688350861,0.5021374870923004,0.5633520575612219,-0.061214570468921425,-0.001789579657058093,0.474755443357526,0.26585673714105396,False,15844
db15k,db15k_mhyper_adamf,R1,3,63376,0.031146712142021315,0.026836728493693864,0.1039534295376471,0.35249936884625094,0.4360969234306431,0.08359755458439216,0.6209841422074275,0.2046516031305226,0.20721928626505426,0.002567683134531651,0.4672583731893478,0.5461250603106542,0.04612506031065422,0.48862547156436903,0.5571509719767735,-0.06852550041240452,-0.0012945528742068272,0.4529820132533922,0.28857683811928053,False,15844
db15k,db15k_mhyper_adamf,R2,1,63376,0.03153703739462147,0.02771878584421252,0.08166061073455096,0.33500063115374906,0.4134277200134768,0.07842708885972771,0.5919035031044122,0.21825296642262054,0.2219381987454065,0.0036852323227859474,0.4713557737660582,0.5359231496993372,0.03592314969933719,0.5328701808193812,0.5532535975763696,-0.020383416756988404,-0.006272695827385476,0.46434206374250553,0.2765856737141054,False,15844
db15k,db15k_mhyper_adamf,R2,2,63376,0.03292295783805687,0.029014323607239864,0.08719625476468076,0.3530358495329462,0.43244978818204727,0.07941393864910107,0.5933761826145988,0.2103162080282757,0.21611692258473944,0.0058007145564637486,0.47561355946087397,0.5379345967782785,0.037934596778278484,0.5446776196359616,0.5633520575612219,-0.018674437925260245,-0.00421700436639018,0.4850110444935311,0.2739034395708425,False,15844
db15k,db15k_mhyper_adamf,R2,3,63376,0.03034538114238097,0.026498658656980215,0.08220129214579273,0.35249936884625094,0.4318213515939728,0.07932198274772184,0.5957448028252679,0.2046516031305226,0.2052979383230707,0.0006463351925480865,0.4651086225339832,0.530523586211276,0.030523586211276044,0.5347916105770457,0.5571509719767735,-0.02235936139972783,-6.118991919264878e-06,0.4824865888292837,0.27974124329441463,False,15844
db15k,db15k_mhyper_adamf,R3,1,63376,0.031746159997690045,0.02780792060890538,0.08320555845698328,0.33500063115374906,0.40634421294144085,0.07134358178769179,0.5902098966741558,0.21825296642262054,0.22285198995722227,0.004599023534601732,0.4803925522570353,0.5425615997989996,0.04256159979899965,0.514226882283189,0.5532535975763696,-0.03902671529318058,-0.004180885507139496,0.441306405806248,0.23792994635531714,False,15844
db15k,db15k_mhyper_adamf,R3,2,63376,0.033238757551449984,0.02921182338063537,0.09805020891896538,0.3530358495329462,0.4303340718738784,0.0772982223409322,0.5976336646071945,0.2103162080282757,0.21877258073576492,0.008456372707489224,0.48956827382470547,0.5529520377844978,0.05295203778449775,0.5229582478192276,0.5633520575612219,-0.04039380974199425,-0.003246993050530994,0.470653202903124,0.2221520984537709,False,15844
db15k,db15k_mhyper_adamf,R3,3,63376,0.030582825298526867,0.026632585497130674,0.09733225707083544,0.35249936884625094,0.4313671037373234,0.07886773489107246,0.6037528940459991,0.2046516031305226,0.2089824340850843,0.004330830954561687,0.4770489286209548,0.5461068653024092,0.04610686530240915,0.5106354212092322,0.5571509719767735,-0.046515550767541325,-7.812536018685064e-06,0.4671820763647838,0.23224992111076048,False,15844
db15k,db15k_mhyper_native,R0,1,63376,0.02076829623199033,0.01787492220840478,0.049136446864450754,0.3203420853319869,0.3447071170172311,0.02436503168524423,0.5479333728069297,0.1976931330472103,0.19955166456392004,0.0018585315167097272,0.5026487913784312,0.534832340383963,0.03483234038396299,0.4851330541536864,0.5180352183791972,-0.03290216422551079,-0.0010565395698564628,0.34553486904386244,0.1593562638056169,False,15844
db15k,db15k_mhyper_native,R0,2,63376,0.01783095745378762,0.015077101666268012,0.009743587032799823,0.32748990154001517,0.33422687395132766,0.006736972411312492,0.5170969721637273,0.17937389548093916,0.17758476818169416,-0.0017891272992449914,0.4958287320545391,0.5077921309245917,0.007792130924591745,0.4792062329413926,0.5068637970209543,-0.027657564079561714,-0.0013235427359070456,0.320132533922373,0.1522562322499211,False,15844
db15k,db15k_mhyper_native,R0,3,63376,0.023249024043968548,0.02021580792469531,0.05830558006270574,0.3430320626104519,0.37313217471227117,0.030100112101819287,0.5582351007765819,0.19393776824034334,0.19642454999893502,0.002486781758591683,0.4998443411045164,0.5378053903960512,0.03780539039605124,0.500814971212817,0.5369698308507953,-0.036154859637978265,0.0002776633532895021,0.36935941937519723,0.17986746607762702,True,15844
db15k,db15k_mhyper_native,R1,1,63376,0.020738809292629758,0.017842693205235908,0.08817992621836584,0.3203420853319869,0.38537138628836365,0.06502930095637677,0.5894504885958755,0.1976931330472103,0.19153846731421229,-0.006154665732998027,0.4880080600561519,0.5522658911966539,0.052265891196653924,0.49477406738612933,0.5180352183791972,-0.02326115099306786,0.002744509951402,0.42489744398863993,0.19738087724834333,False,15844
db15k,db15k_mhyper_native,R1,2,63376,0.017827551654010173,0.015042680336883787,0.07983772006630757,0.32748990154001517,0.3843526433067445,0.05686274176672934,0.5739006586211328,0.17937389548093916,0.17997351256724237,0.0005996170863032113,0.4958624686766644,0.5464902812901633,0.046490281290163304,0.49543660960874125,0.5068637970209543,-0.011427187412213047,0.0017414213653091097,0.42489744398863993,0.1644051751341117,True,15844
db15k,db15k_mhyper_native,R1,3,63376,0.02316843772269721,0.02016076728328232,0.11030819249875995,0.3430320626104519,0.4233627242833029,0.08033066167285102,0.6053240135982033,0.19393776824034334,0.1910429841004054,-0.0028947841399379337,0.49171394218726755,0.5643212301773978,0.06432123017739777,0.5109754325303272,0.5369698308507953,-0.025994398320468126,0.002400214969047226,0.4632376143893973,0.19106973808772484,False,15844
