dataset,pair_id,representation,delta_alpha,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_mhyper_adamf,C0,-0.3,47532,0.05566083074912109,0.04998349477343354,0.1299241582573807,0.373032904148784,0.4930415213123183,0.12000861716353434,0.6460302600826492,0.2756458806698645,0.2707728082531287,-0.004873072416735791,0.4611794340639606,0.560942517789967,0.060942517789966955,0.564094950409212,0.6486787848186485,-0.08458383440943651,0.00018717882782672725,0.5413423101199243,0.3006522196507469,False,47532,47532
db15k,db15k_mhyper_adamf,C0,-0.2,47532,0.039560176671692704,0.03489244707283351,0.11106388177298744,0.363839097870908,0.46895104436504875,0.10511194649414074,0.6308272774549156,0.23701927122780442,0.22586062508375898,-0.011158646144045437,0.45347947526878174,0.5456994861128183,0.045699486112818266,0.5259514612626436,0.6008583690987125,-0.0749069078360689,-0.0048549000085751776,0.5114664422470019,0.2728802861350726,False,47532,47532
db15k,db15k_mhyper_adamf,C0,-0.1,47532,0.021043265506280936,0.017836504857644958,0.08115283933131368,0.34023394765631576,0.41043474263726315,0.07020079498094739,0.5972341118846128,0.18360262559959606,0.16592446737536648,-0.01767815822422958,0.4513854482178398,0.5238061080862112,0.023806108086211197,0.4677157730541556,0.5238365732559118,-0.056120800201756194,-0.002968294403738437,0.43888070692194403,0.2112350094677046,False,47532,47532
db15k,db15k_mhyper_adamf,C0,-0.05,47532,0.011159384203127783,0.008823992611649897,0.04994968657339939,0.31027518303458723,0.3482957991955975,0.03802061616101027,0.5619475421587303,0.14802659261129344,0.13290783577690962,-0.015118756834383823,0.45710175594936603,0.5053703671366275,0.00537036713662753,0.41683738105735024,0.45830177564588065,-0.04146439458853041,-0.0015576753183940003,0.3561960866820955,0.14285714285714285,False,47532,47532
db15k,db15k_mhyper_adamf,C1,-0.3,47532,0.05589559180193616,0.05017870730505092,0.1260564241940436,0.373032904148784,0.4902348690769008,0.1172019649281168,0.6443802374221357,0.2756458806698645,0.26791534914760395,-0.007730531522260553,0.4586484236620084,0.5580070547672527,0.05800705476725265,0.567025565173506,0.6486787848186485,-0.0816532196451425,0.0008932700995863153,0.5388175888912266,0.3128550389227856,False,47532,47532
db15k,db15k_mhyper_adamf,C1,-0.2,47532,0.03963843639901108,0.03495060198290637,0.11532426612218476,0.363839097870908,0.4766859120098928,0.11284681413898479,0.6382039042439406,0.23701927122780442,0.22506136700764695,-0.011957904220157467,0.4498842355509382,0.5478391181252754,0.047839118125275415,0.5292727872997719,0.6008583690987125,-0.07158558179894059,-0.001669847264063122,0.527666736797812,0.27393225331369664,False,47532,47532
db15k,db15k_mhyper_adamf,C1,-0.1,47532,0.02114665651336202,0.01790071306070289,0.08473840710708548,0.34023394765631576,0.4291600630790751,0.08892611542275936,0.6108317806160307,0.18360262559959606,0.1621144901272002,-0.021488135472395864,0.43813743068145017,0.5232500689207837,0.02325006892078374,0.4743881852499916,0.5238365732559118,-0.04944838800592022,-0.00211673909209781,0.48222175468125394,0.20660635388175888,False,47532,47532
db15k,db15k_mhyper_adamf,C1,-0.05,47532,0.011237266317929878,0.00888176670363826,0.056387678515590615,0.31027518303458723,0.3640724110557367,0.053797228021149446,0.5767020108971108,0.14802659261129344,0.129151586356876,-0.01887500625441743,0.44354456312223034,0.5050268424637183,0.005026842463718317,0.42966460357935454,0.45830177564588065,-0.028637172066526106,-0.003050113481308109,0.4056385440774248,0.17083946980854198,False,47532,47532
db15k,db15k_mhyper_adamf,C2,-0.3,47532,0.056021456478279844,0.05018403899474165,0.12702619266987944,0.373032904148784,0.4857946232381455,0.1127617190893615,0.6391977126954994,0.2756458806698645,0.27183264802079343,-0.0038132326490710744,0.46702705459915417,0.5618883919346209,0.06188839193462092,0.5715585099996481,0.6486787848186485,-0.07712027481900041,-0.0010921019095183138,0.5331369661266568,0.30738480959394066,False,47532,47532
db15k,db15k_mhyper_adamf,C2,-0.2,47532,0.039818512832668754,0.034981305186463134,0.11242002148667096,0.363839097870908,0.46497922005169096,0.10114012218078294,0.628403727406995,0.23701927122780442,0.2295685175613847,-0.007450753666419729,0.45898405056650426,0.5485203280836665,0.048520328083666464,0.5348477361806178,0.6008583690987125,-0.06601063291809472,-0.003907336336121931,0.5093625078897538,0.2741426467494214,False,47532,47532
db15k,db15k_mhyper_adamf,C2,-0.1,47532,0.021258246391614787,0.017911074690994844,0.06851467934763059,0.34023394765631576,0.40346918017495187,0.06323523251863611,0.5900253753337843,0.18360262559959606,0.1673158850445305,-0.01628674055506557,0.44867179061077395,0.5157612486555594,0.01576124865555939,0.48132046827820923,0.5238365732559118,-0.042516104977702585,-0.0023139318449009825,0.4348832316431727,0.23164317273301074,False,47532,47532
db15k,db15k_mhyper_adamf,C2,-0.05,47532,0.011276420922895772,0.008874964193189009,0.03175674798824524,0.31027518303458723,0.3409269609885178,0.030651777953930592,0.550038585233716,0.14802659261129344,0.1339481729756844,-0.014078419635609046,0.4578562995518448,0.49799837478083575,-0.002001625219164249,0.43308936629318184,0.45830177564588065,-0.025212409352698806,-0.001843100643678739,0.3597727750894172,0.1792552072375342,False,47532,47532
db15k,db15k_mhyper_adamf,C3,-0.3,47532,0.059412941820362254,0.05276122365946576,0.11083501757136596,0.373032904148784,0.4556528210700139,0.08261991692122994,0.6129132695491755,0.2756458806698645,0.2797765637876582,0.004130683117793688,0.4834600460304021,0.5581702687703507,0.0581702687703507,0.5808084798544986,0.6486787848186485,-0.06787030496414992,-0.005059830356484763,0.4923206395960446,0.2522617294340417,False,47532,47532
db15k,db15k_mhyper_adamf,C3,-0.2,47532,0.04294141116065642,0.0370821936586133,0.08823965496028172,0.363839097870908,0.4285498483629544,0.06471075049204639,0.5967290676266578,0.23701927122780442,0.23245650721946481,-0.004562764008339604,0.4758046544836191,0.5430534158160443,0.04305341581604427,0.5356573917221642,0.6008583690987125,-0.06520097737654829,-0.0076142451305312425,0.4477172312223859,0.22091310751104565,False,47532,47532
db15k,db15k_mhyper_adamf,C3,-0.1,47532,0.023892548844505142,0.019161446980475533,0.05735374563556476,0.34023394765631576,0.37409828050260063,0.03386433284628487,0.5647257098988804,0.18360262559959606,0.1724295489336679,-0.01117307666592815,0.4761388910924834,0.5239376010340995,0.023937601034099476,0.46695823107805506,0.5238365732559118,-0.056878342177856756,-0.004412219294589234,0.3749211024616032,0.15358720807910795,False,47532,47532
db15k,db15k_mhyper_adamf,C3,-0.05,47532,0.013934165205148497,0.009820447101608771,0.03333865471441912,0.31027518303458723,0.32439602072104995,0.014120837686462717,0.5419521525976738,0.14802659261129344,0.13505202329754631,-0.01297456931374713,0.4739183474686486,0.5070940039778378,0.007094003977837771,0.40889359176158785,0.45830177564588065,-0.0494081838842928,-0.003918902930853891,0.29896907216494845,0.10814222596254996,False,47532,47532
db15k,db15k_mhyper_adamf,C4,-0.3,47532,0.05884611374911524,0.052314741675249125,0.11291749352128551,0.373032904148784,0.46020175551642273,0.08716885136763874,0.6165741294947157,0.2756458806698645,0.278532093077523,0.002886212407658517,0.48042599181479767,0.5575016451398145,0.05750164513981448,0.5801319670656114,0.6486787848186485,-0.06854681775303706,-0.005152116259166283,0.49715968861771515,0.26614769619187884,False,47532,47532
db15k,db15k_mhyper_adamf,C4,-0.2,47532,0.042125302854493465,0.036471659432375084,0.09729455596444385,0.363839097870908,0.4373260885275164,0.07348699065660841,0.6049041898766145,0.23701927122780442,0.23314816502639452,-0.003871106201409902,0.4711596470225734,0.5434942059762772,0.04349420597627718,0.5361842745681598,0.6008583690987125,-0.06467409453055273,-0.007602991892455636,0.46686303387334316,0.23269513991163476,False,47532,47532
db15k,db15k_mhyper_adamf,C4,-0.1,47532,0.023224021164877845,0.018762742528305988,0.05927724057657368,0.34023394765631576,0.37798378167060115,0.03774983401428539,0.5679909779658215,0.18360262559959606,0.17071402851891787,-0.012888597080678188,0.4677714360025883,0.51872754902105,0.018727549021050005,0.46902278270311404,0.5238365732559118,-0.05481379055279778,-0.004651257972930626,0.37365874184725434,0.1687355354512939,False,47532,47532
db15k,db15k_mhyper_adamf,C4,-0.05,47532,0.013317678875317032,0.009539159357804292,0.03899194395219402,0.31027518303458723,0.328368966553389,0.018093783518801754,0.5443440310888124,0.14802659261129344,0.13486268369611262,-0.013163908915180822,0.47308667435679325,0.5082354177431175,0.008235417743117535,0.40756102282845347,0.45830177564588065,-0.05074075281742718,-0.002719164921338869,0.31348621922996,0.11298127498422049,False,47532,47532
db15k,db15k_mhyper_native,C0,-0.3,47532,0.03800804373495726,0.03373488540719502,0.096035698320339,0.36179836741563576,0.4597724101150206,0.09797404269938487,0.6131070551468939,0.24208953967853236,0.22740766270790133,-0.01468187697063103,0.46446595491734294,0.5473347090117532,0.047334709011753184,0.5468723069108883,0.6038879070941682,-0.05701560018327989,0.005152200718829022,0.5236692615190406,0.24300441826215022,False,47532,47532
db15k,db15k_mhyper_native,C0,-0.2,47532,0.02503639421459297,0.021583653743757432,0.08440266338738267,0.3490701001430615,0.42873632961349234,0.07966622947043084,0.5976005659848689,0.2092274678111588,0.19654299581096765,-0.012684472000191155,0.46483647262968647,0.5374991970059046,0.03749919700590465,0.5148582552214421,0.5582975679542204,-0.043439312732778235,0.0037550776029189673,0.4799074268882811,0.20828950136755733,False,47532,47532
db15k,db15k_mhyper_native,C0,-0.1,47532,0.012787316645031343,0.010407714430957239,0.05503019552616904,0.32201464276697805,0.370449908997878,0.04843526623089994,0.5628028512922533,0.16900193553816376,0.15520635636011468,-0.013795579178049078,0.4702868714478042,0.5197434634790576,0.019743463479057644,0.46447897174760655,0.4910165783051418,-0.02653760655753523,0.0012395480585482782,0.3953292657269093,0.16515884704397224,False,47532,47532
db15k,db15k_mhyper_native,C0,-0.05,47532,0.007008780054283108,0.005237638217971087,0.03890729362463088,0.2882689556509299,0.3139489504949485,0.02567999484401856,0.5409378162762087,0.14102078599680215,0.13311264290285527,-0.007908143093946884,0.48396092504549904,0.5162083892094754,0.016208389209475427,0.41121185635545765,0.42928974164773204,-0.018077885292274387,9.813708679770288e-05,0.32568903850199876,0.1409636019356196,False,47532,47532
db15k,db15k_mhyper_native,C1,-0.3,47532,0.038299619589731784,0.03385298948828737,0.07495063652156979,0.36179836741563576,0.43757749980407784,0.07577913238844208,0.592844728697251,0.24208953967853236,0.2291177408466662,-0.012971798831866166,0.46267508652820744,0.5315935832894878,0.0315935832894878,0.5820643784000923,0.6038879070941682,-0.02182352869407589,0.0047155402881173866,0.483273721859878,0.2852934988428361,False,47532,47532
db15k,db15k_mhyper_native,C1,-0.2,47532,0.025274274609522647,0.021656865975756827,0.06863493702962874,0.3490701001430615,0.4157284172067938,0.06665831706373232,0.5857966329751988,0.2092274678111588,0.19613657991922723,-0.01309088789193158,0.46066190022188575,0.52503652865592,0.025036528655919987,0.5502579172258159,0.5582975679542204,-0.008039650728404513,0.000602216490961672,0.4477172312223859,0.24910582789816957,False,47532,47532
db15k,db15k_mhyper_native,C1,-0.1,47532,0.01306362959375799,0.010463923718723806,0.04555018794739438,0.32201464276697805,0.36472098769397876,0.042706344927000706,0.5620478363359376,0.16900193553816376,0.15351375929283326,-0.015488176245330498,0.45750275404974505,0.5070245240994253,0.007024524099425333,0.4936557005385824,0.4910165783051418,0.002639122233440594,0.0019371121791153236,0.38354723332632024,0.20197769829581316,False,47532,47532
db15k,db15k_mhyper_native,C1,-0.05,47532,0.007322670901832852,0.005293169793653303,0.025906734662978288,0.2882689556509299,0.310690659843274,0.022421704192344072,0.5393149893905289,0.14102078599680215,0.12799144919010175,-0.013029336806700403,0.463764789448511,0.49698281353922247,-0.0030171864607775323,0.43433276573632845,0.42928974164773204,0.005043024088596415,-0.0005948391403544085,0.3166421207658321,0.16915632232274352,False,47532,47532
db15k,db15k_mhyper_native,C2,-0.3,47532,0.038539246377165465,0.033977050709656204,0.08081806514040141,0.36179836741563576,0.4432285801139672,0.08143021269833145,0.597048340784214,0.24208953967853236,0.2324529615173919,-0.009636578161140469,0.4696885515240489,0.5404180077952909,0.04041800779529092,0.5553983744155323,0.6038879070941682,-0.04848953267863587,0.003122874621773804,0.49442457395329265,0.23606143488323164,False,47532,47532
db15k,db15k_mhyper_native,C2,-0.2,47532,0.025488878784664517,0.021749658818001054,0.07386972452609486,0.3490701001430615,0.4163127621631382,0.06724266202007667,0.585321528424069,0.2092274678111588,0.2011849501104096,-0.008042517700749208,0.4734907048494819,0.5351980128896006,0.03519801288960056,0.5255606083007862,0.5582975679542204,-0.03273695965343415,0.0004203536503081664,0.4555017883442037,0.2063959604460341,False,47532,47532
db15k,db15k_mhyper_native,C2,-0.1,47532,0.013159303736882007,0.010499698432319172,0.042917114372891196,0.32201464276697805,0.3566248806542837,0.03461023788730566,0.5489074028647588,0.16900193553816376,0.16126436619208148,-0.007737569346082274,0.47971269472942074,0.5166269498959677,0.01662694989596769,0.47751830298937753,0.4910165783051418,-0.013498275315764252,0.0008037287633603612,0.37260677466863035,0.15505996212918158,False,47532,47532
db15k,db15k_mhyper_native,C2,-0.05,47532,0.007339015144339435,0.005300397371105177,0.019124902788568484,0.2882689556509299,0.298687249553523,0.010418293902593079,0.5181604733896413,0.14102078599680215,0.13757775163482366,-0.0034430343619784864,0.49439702754183534,0.508230535858073,0.008230535858072985,0.41825515177722933,0.42928974164773204,-0.011034589870502709,0.00029446676876888753,0.29960025247212285,0.1249737008205344,False,47532,47532
db15k,db15k_mhyper_native,C3,-0.3,47532,0.03934544680059727,0.034545844003444716,0.05529546458978422,0.36179836741563576,0.42450700210235653,0.06270863468672078,0.5791146429369722,0.24208953967853236,0.2245041646394475,-0.01758537503908486,0.4554661902989141,0.516933605959827,0.01693360595982696,0.5678007409578981,0.6038879070941682,-0.036087166136270055,0.0027372204488977977,0.4677046076162424,0.2610982537344835,False,47532,47532
db15k,db15k_mhyper_native,C3,-0.2,47532,0.02604250178243087,0.022036212889070653,0.04363447294378144,0.3490701001430615,0.4004497808659497,0.05137968072288818,0.5685918876489102,0.2092274678111588,0.19009862478263195,-0.019128843028526854,0.44971855006457084,0.5049089877401892,0.004908987740189219,0.5291277162631455,0.5582975679542204,-0.02916985169107489,0.0016232566025882395,0.4355144119503471,0.2274353040185146,False,47532,47532
db15k,db15k_mhyper_native,C3,-0.1,47532,0.013754014454319542,0.010676763665056325,0.03186515418316901,0.32201464276697805,0.3529005044075285,0.03088586164055046,0.551025742552948,0.16900193553816376,0.14967829116287118,-0.019323644375292576,0.45363276809750325,0.49643298129828334,-0.003567018701716662,0.46145464530200503,0.4910165783051418,-0.029561933003136753,-1.2824621364628097e-05,0.3637702503681885,0.16663160109404587,False,47532,47532
