representation,outer_fold,config_id,hidden_width,learning_rate,negative_weight,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc
C2,1,w32_lr1e-4_neg1p0,32,0.0001,1.0,152208,0.023332664131852063,0.018761370340111067,0.018227554630076314,0.32841243561442235,0.34812928166605317,0.01971684605163082,0.5196379583163111,0.1911134762955955,0.18405959054950224,-0.0070538857460932525,0.49086891870361293
C2,1,w32_lr1e-4_neg1p5,32,0.0001,1.5,152208,0.026228457819617374,0.020304376212415456,0.02623839815017748,0.32841243561442235,0.34687935102291234,0.018466915408489992,0.5247640824919719,0.1911134762955955,0.18524803332460016,-0.005865442970995338,0.49612615158324447
C2,1,w32_lr1e-4_neg2p0,32,0.0001,2.0,152208,0.02476827658204716,0.01944010573936399,0.006555480088914899,0.32841243561442235,0.344851203852965,0.016438768238542678,0.5194695872881049,0.1911134762955955,0.18141531071721656,-0.009698165578378937,0.48238136227780104
C2,1,w32_lr1e-4_neg3p0,32,0.0001,3.0,152208,0.02378887349796503,0.01895073962765,0.010302958477290654,0.32841243561442235,0.3451362284078873,0.016723792793464975,0.5230553868933286,0.1911134762955955,0.18255320370362466,-0.008560272591970841,0.4848851901075925
C2,1,w32_lr3e-4_neg1p0,32,0.0003,1.0,152208,0.02159057759640321,0.018029629641628984,0.03788960555815085,0.32841243561442235,0.3576597961626828,0.029247360548260437,0.5400214726826128,0.1911134762955955,0.1797094285044324,-0.011404047791163108,0.483960147232472
C2,1,w32_lr3e-4_neg1p5,32,0.0003,1.5,152208,0.021293722425260612,0.01797133921043936,0.03851880251901282,0.32841243561442235,0.3703242748458833,0.04191183923146097,0.5480996124624709,0.1911134762955955,0.18430320117159263,-0.006810275124002868,0.48014015569775015
C2,1,w32_lr3e-4_neg2p0,32,0.0003,2.0,152208,0.021442661021446423,0.017982043040780615,0.03267131389562564,0.32841243561442235,0.3646922228992815,0.036279787284859144,0.5416602370675717,0.1911134762955955,0.18385533073652577,-0.007258145559069729,0.4837721154894052
C2,1,w32_lr3e-4_neg3p0,32,0.0003,3.0,152208,0.021758159339624817,0.018095841347661328,0.018814942248230285,0.32841243561442235,0.3633031750525273,0.034890739438104945,0.5408944640629896,0.1911134762955955,0.1827786421952288,-0.0083348341003667,0.4707903474730901
C2,1,w32_lr1e-3_neg1p0,32,0.001,1.0,152208,0.020030549016744923,0.017684130356837684,0.1037061370385618,0.32841243561442235,0.4245301498394492,0.09611771422502685,0.6177385740918537,0.1911134762955955,0.17037312567363028,-0.02074035062196522,0.45025499423670756
C2,1,w32_lr1e-3_neg1p5,32,0.001,1.5,152208,0.02034399300254918,0.017734133733691735,0.06989935406015561,0.32841243561442235,0.39588328240840476,0.06747084679398241,0.5808844918788462,0.1911134762955955,0.17756529183755176,-0.013548184458043733,0.4674605140578332
C2,1,w32_lr1e-3_neg2p0,32,0.001,2.0,152208,0.02017703596556703,0.017724839801932905,0.04297389988973362,0.32841243561442235,0.38870308092207073,0.06029064530764838,0.5753695106695791,0.1911134762955955,0.17729985075767152,-0.01381362553792398,0.44816802850518433
C2,1,w32_lr1e-3_neg3p0,32,0.001,3.0,152208,0.021557218662195787,0.018006121346696987,0.0469527800756616,0.32841243561442235,0.3841994418708505,0.05578700625642813,0.5797292611229427,0.1911134762955955,0.17859241052656438,-0.012521065769031114,0.45662035242490434
C2,1,w64_lr1e-4_neg1p0,64,0.0001,1.0,152208,0.023544423113481674,0.01880048031032331,0.028906663482347925,0.32841243561442235,0.3533677246402578,0.024955289025835437,0.5273956163204913,0.1911134762955955,0.18444624426828357,-0.006667232027311926,0.4934365979466653
C2,1,w64_lr1e-4_neg1p5,64,0.0001,1.5,152208,0.02299381379674351,0.01858771553375045,0.026928298607224243,0.32841243561442235,0.34965807044078756,0.02124563482636521,0.5266370754131373,0.1911134762955955,0.187305852017625,-0.0038076242779704894,0.4949726391048354
C2,1,w64_lr1e-4_neg2p0,64,0.0001,2.0,152208,0.023664061259111975,0.018878159657124995,0.023553234094746807,0.32841243561442235,0.3477801188404998,0.01936768322607746,0.5255444319280558,0.1911134762955955,0.18515389843157487,-0.0059595778640206265,0.49307428058827707
C2,1,w64_lr1e-4_neg3p0,64,0.0001,3.0,152208,0.02450282184032482,0.01928212002805135,0.0045227558767767465,0.32841243561442235,0.3424378014911646,0.014025365876742246,0.5198244550890928,0.1911134762955955,0.18187378892751915,-0.009239687368076344,0.48082729608887564
C2,1,w64_lr3e-4_neg1p0,64,0.0003,1.0,152208,0.021401814793872268,0.017972236527515274,0.04784561218067043,0.32841243561442235,0.36661990356954155,0.0382074679551192,0.5486280972726753,0.1911134762955955,0.17979863102526183,-0.011314845270333662,0.48212327625479806
C2,1,w64_lr3e-4_neg1p5,64,0.0003,1.5,152208,0.021355728604422888,0.01796393178841953,0.040792125380016066,0.32841243561442235,0.36296216565032235,0.034549730035900006,0.5419179341056826,0.1911134762955955,0.18806903900504085,-0.003044437290554647,0.4942697508595997
C2,1,w64_lr3e-4_neg2p0,64,0.0003,2.0,152208,0.021784450910372094,0.01808214175897728,0.03154645317048967,0.32841243561442235,0.3587054164396779,0.030292980825255555,0.5397908733072821,0.1911134762955955,0.18363287238550235,-0.007480603910093142,0.48517467634566247
C2,1,w64_lr3e-4_neg3p0,64,0.0003,3.0,152208,0.022223691322275307,0.018240369235942674,0.03295455758834353,0.32841243561442235,0.3711596700635505,0.042747234449128146,0.5544704070109225,0.1911134762955955,0.1804099968908213,-0.010703479404774202,0.4697607623513963
C2,1,w64_lr1e-3_neg1p0,64,0.001,1.0,152208,0.02045001097514002,0.017740850453343168,0.0795745772197867,0.32841243561442235,0.3992108657411557,0.07079843012673337,0.5782419873929061,0.1911134762955955,0.1812566516478458,-0.009856824647749701,0.47887356243291035
C2,1,w64_lr1e-3_neg1p5,64,0.001,1.5,152208,0.02057482829459318,0.017775163173892796,0.0789085089431303,0.32841243561442235,0.39216851211730097,0.06375607650287862,0.5696366033793531,0.1911134762955955,0.19223720244067063,0.001123726145075138,0.5009209380656227
C2,1,w64_lr1e-3_neg2p0,64,0.001,2.0,152208,0.02101487495467453,0.017884151417460154,0.05967344782710917,0.32841243561442235,0.3771598594374045,0.04874742382298214,0.5540967862295628,0.1911134762955955,0.19686723754533741,0.005753761249741918,0.5039753385122765
C2,1,w64_lr1e-3_neg3p0,64,0.001,3.0,152208,0.02105718076881469,0.01791102591289567,0.04142838719611679,0.32841243561442235,0.36837981484251753,0.03996737922809518,0.5513973945881842,0.1911134762955955,0.18972704728494386,-0.0013864290106516408,0.483789920495
C2,1,w128_lr1e-4_neg1p0,128,0.0001,1.0,152208,0.022569958207058587,0.01835776426123545,0.029088742663191565,0.32841243561442235,0.3515948832810542,0.023182447666631856,0.5321022369759554,0.1911134762955955,0.18081161405429264,-0.010301862241302862,0.4827551163374087
C2,1,w128_lr1e-4_neg1p5,128,0.0001,1.5,152208,0.02252939446839104,0.018345530728807943,0.038279042212115505,0.32841243561442235,0.35516430956401285,0.0267518739495905,0.535199015764212,0.1911134762955955,0.18765154116320204,-0.0034619351323934566,0.49694235962701416
C2,1,w128_lr1e-4_neg2p0,128,0.0001,2.0,152208,0.02275918273112322,0.018448958507534145,0.04151374707247715,0.32841243561442235,0.3612070867576606,0.03279465114323826,0.5428642881981688,0.1911134762955955,0.18637011565445022,-0.004743360641145278,0.4938781394406947
C2,1,w128_lr1e-4_neg3p0,128,0.0001,3.0,152208,0.02330022354080961,0.01868211149175326,0.02572107916952459,0.32841243561442235,0.345156107703178,0.016743672088755657,0.5245260584453028,0.1911134762955955,0.19074867595777456,-0.00036480033782093635,0.5052656868159057
C2,1,w128_lr3e-4_neg1p0,128,0.0003,1.0,152208,0.02151149528565206,0.017986374233548878,0.053975032998134866,0.32841243561442235,0.37416918920025694,0.045756753585834586,0.5530896671770557,0.1911134762955955,0.18307607604457674,-0.008037400251018761,0.4848587351534613
C2,1,w128_lr3e-4_neg1p5,128,0.0003,1.5,152208,0.021678943510483023,0.018043712042196142,0.0448341336223148,0.32841243561442235,0.37518559474423846,0.04677315912981611,0.5595415866029121,0.1911134762955955,0.17550837266817704,-0.01560510362741846,0.4622095539894236
C2,1,w128_lr3e-4_neg2p0,128,0.0003,2.0,152208,0.022212193680239314,0.01820929353838263,0.05721035331505719,0.32841243561442235,0.3722539296016236,0.043841493987201274,0.5550131774344091,0.1911134762955955,0.18923956610866674,-0.0018739101869287567,0.4964976341902118
C2,1,w128_lr3e-4_neg3p0,128,0.0003,3.0,152208,0.02232993794414053,0.01828635002012177,0.02895233150075384,0.32841243561442235,0.36422468351706355,0.0358122479026412,0.5511126779737465,0.1911134762955955,0.18265334006345285,-0.008460136232142645,0.4670330931252295
C2,1,w128_lr1e-3_neg1p0,128,0.001,1.0,152208,0.02097772052807702,0.017841199957978338,0.0526065965468632,0.32841243561442235,0.3726686444735347,0.044256208859112356,0.5531244938330663,0.1911134762955955,0.18539618032557373,-0.0057172959700217685,0.47787730539902534
C2,1,w128_lr1e-3_neg1p5,128,0.001,1.5,152208,0.02177651419590694,0.018071472416480563,0.07660575892886426,0.32841243561442235,0.3922628272250442,0.06385039161062184,0.5788199438853642,0.1911134762955955,0.18224820426751012,-0.008865272028085375,0.4807635821913401
C2,1,w128_lr1e-3_neg2p0,128,0.001,2.0,152208,0.021404231424855747,0.017955871790017616,0.07168546168050456,0.32841243561442235,0.37899306640112423,0.050580630786701886,0.564135870207932,0.1911134762955955,0.19607741599599054,0.004963939700395048,0.5058964389187729
C2,1,w128_lr1e-3_neg3p0,128,0.001,3.0,152208,0.02272818677865396,0.018482122685424044,0.05366208168538676,0.32841243561442235,0.37264902108206915,0.044236585467646805,0.5568368612066527,0.1911134762955955,0.19412283020813842,0.0030093539125429225,0.49653096576826744
C2,2,w32_lr1e-4_neg1p0,32,0.0001,1.0,152184,0.024185465810804996,0.01925993602052256,0.016613548737986275,0.33228197445197916,0.3474426930050921,0.015160718553112962,0.5156706475982205,0.188350943594596,0.18201681507794135,-0.006334128516654658,0.49429583330546595
C2,2,w32_lr1e-4_neg1p5,32,0.0001,1.5,152184,0.023585730744244606,0.018941516419777486,0.0183817504891998,0.33228197445197916,0.34738595921147086,0.015103984759491706,0.5241682707362019,0.188350943594596,0.1798214046687552,-0.008529538925840796,0.48847524336483344
