representation,outer_fold,config_id,hidden_width,learning_rate,negative_weight,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc
C1,1,w32_lr1e-4_neg1p0,32,0.0001,1.0,164304,0.02854716699881997,0.022467439468092217,0.041227372197036406,0.2756962703281722,0.2878794682043317,0.012183197876159513,0.524338917512875,0.30248807089297886,0.31612717592269085,0.013639105029711995,0.5185487960045359
C1,1,w32_lr1e-4_neg1p5,32,0.0001,1.5,164304,0.027126626530287346,0.02148558227885553,0.04573805517375241,0.2756962703281722,0.2955904536186183,0.01989418329044612,0.5320269190224758,0.30248807089297886,0.31669411292983496,0.014206042036856104,0.514385246156356
C1,1,w32_lr1e-4_neg2p0,32,0.0001,2.0,164304,0.02581561759750919,0.020850384085060274,0.05844366361571469,0.2756962703281722,0.2949645248551183,0.019268254526946138,0.5347624376141796,0.30248807089297886,0.3175456444538944,0.015057573560915527,0.5271471056101714
C1,1,w32_lr1e-4_neg3p0,32,0.0001,3.0,164304,0.02610486168308715,0.02087137475027361,0.042495875454818685,0.2756962703281722,0.29276018847999064,0.017063918151818458,0.5307193532480925,0.30248807089297886,0.3108154889947747,0.008327418101795825,0.5133260840390499
C1,1,w32_lr3e-4_neg1p0,32,0.0003,1.0,164304,0.023560849602607202,0.019813678818684084,0.09087118807663273,0.2756962703281722,0.309517650210802,0.03382137988262984,0.5487852500869961,0.30248807089297886,0.33489338789096973,0.032405316997990874,0.5458145987719975
C1,1,w32_lr3e-4_neg1p5,32,0.0003,1.5,164304,0.022935957209171864,0.019560963190772426,0.11198155096361369,0.2756962703281722,0.31997919423486637,0.044282923906694194,0.5686762870435405,0.30248807089297886,0.34115195788830555,0.03866388699532669,0.5479506316106826
C1,1,w32_lr3e-4_neg2p0,32,0.0003,2.0,164304,0.023173745207066877,0.019637196667281795,0.09559502911988399,0.2756962703281722,0.314944275383468,0.0392480050552958,0.5546033806483341,0.30248807089297886,0.33268294113788605,0.03019487024490719,0.5420145408242271
C1,1,w32_lr3e-4_neg3p0,32,0.0003,3.0,164304,0.023783159411492883,0.019824554490022652,0.06317793383921998,0.2756962703281722,0.29722507354698285,0.021528803218810677,0.5443323078820897,0.30248807089297886,0.3175695634674537,0.01508149257447483,0.5186638231012546
C1,1,w32_lr1e-3_neg1p0,32,0.001,1.0,164304,0.02176602428165262,0.019312395019309175,0.2056614067813835,0.2756962703281722,0.36822637054304724,0.09253010021487507,0.6150347637979113,0.30248807089297886,0.3916200467953065,0.08913197590232763,0.6003289700859163
C1,1,w32_lr1e-3_neg1p5,32,0.001,1.5,164304,0.022118803304736864,0.019382856238787695,0.17445012499146662,0.2756962703281722,0.3510709986919565,0.07537472836378434,0.6018434553793255,0.30248807089297886,0.3703013675576249,0.06781329666464603,0.579267536390027
C1,1,w32_lr1e-3_neg2p0,32,0.001,2.0,164304,0.022540906102984332,0.019449249611688032,0.1534014837159129,0.2756962703281722,0.32141545322061066,0.04571918289243848,0.5823786668873436,0.30248807089297886,0.3678573749934406,0.06536930410046177,0.5759802604675556
C1,1,w32_lr1e-3_neg3p0,32,0.001,3.0,164304,0.023347620751546224,0.019686714581183835,0.08509851373177325,0.2756962703281722,0.32391910638156773,0.04822283605339556,0.5651273599860428,0.30248807089297886,0.3295201764561382,0.027032105563159325,0.5199799544184938
C1,1,w64_lr1e-4_neg1p0,64,0.0001,1.0,164304,0.025066588479394473,0.020434526140764818,0.07283524259037315,0.2756962703281722,0.3022785083432885,0.026582238015116333,0.5442166662042559,0.30248807089297886,0.3252865389764286,0.022798468083449763,0.532960819873694
C1,1,w64_lr1e-4_neg1p5,64,0.0001,1.5,164304,0.02521563127890854,0.02045491677550493,0.06539027144312631,0.2756962703281722,0.2917257895663294,0.016029519238157208,0.5308009745110418,0.30248807089297886,0.32808909523280144,0.025601024339822587,0.5381452219828341
C1,1,w64_lr1e-4_neg2p0,64,0.0001,2.0,164304,0.024712737290203804,0.0202206103424664,0.06384227253208523,0.2756962703281722,0.2931822835840638,0.017486013255891608,0.5332323643765879,0.30248807089297886,0.32121179172082154,0.018723720827842683,0.530583477743358
C1,1,w64_lr1e-4_neg3p0,64,0.0001,3.0,164304,0.02499835811823317,0.020336176651063985,0.05448099956488503,0.2756962703281722,0.29647999358588895,0.02078372325771677,0.5338366638334172,0.30248807089297886,0.31560694301494824,0.013118872121969383,0.5200063095406054
C1,1,w64_lr3e-4_neg1p0,64,0.0003,1.0,164304,0.023546332988308674,0.019783275596052995,0.10926878006894138,0.2756962703281722,0.3164591591457061,0.04076288881753393,0.5576919302140839,0.30248807089297886,0.3457098331368387,0.04322176224385982,0.5538768640252391
C1,1,w64_lr3e-4_neg1p5,64,0.0003,1.5,164304,0.022777532846166536,0.019507321831656144,0.13837560202323823,0.2756962703281722,0.3190866369268439,0.04339036659867174,0.572332848241921,0.30248807089297886,0.3617435001720205,0.05925542927904165,0.5713558396555733
C1,1,w64_lr3e-4_neg2p0,64,0.0003,2.0,164304,0.023354396818390338,0.019694855310128642,0.105928699796655,0.2756962703281722,0.3180571812987025,0.0423609109705303,0.560799512624718,0.30248807089297886,0.3406242023557424,0.03813613146276357,0.5472890318245377
C1,1,w64_lr3e-4_neg3p0,64,0.0003,3.0,164304,0.02386241027157329,0.01986221525129466,0.08295523036225118,0.2756962703281722,0.3081482152395801,0.032451944911407904,0.5528489187565127,0.30248807089297886,0.3254987964778796,0.02301072558490075,0.5296917474797478
C1,1,w64_lr1e-3_neg1p0,64,0.001,1.0,164304,0.022440732658220518,0.019435328052189872,0.1583735365818391,0.2756962703281722,0.3549969838755363,0.07930071354736412,0.6028968878475808,0.30248807089297886,0.35318817949849673,0.05070010860551788,0.5610709705161266
C1,1,w64_lr1e-3_neg1p5,64,0.001,1.5,164304,0.02236845084324402,0.019390645511000275,0.15569855228247995,0.2756962703281722,0.36725705127332875,0.09156078094515657,0.6126708175336073,0.30248807089297886,0.3548700300580427,0.05238195916506383,0.5498599893135645
C1,1,w64_lr1e-3_neg2p0,64,0.001,2.0,164304,0.022537674606240524,0.019434830931536973,0.14667928025771196,0.2756962703281722,0.34675961961432067,0.07106334928614849,0.5946324493217583,0.30248807089297886,0.3528330401992025,0.05034496930622362,0.5572326388788913
C1,1,w64_lr1e-3_neg3p0,64,0.001,3.0,164304,0.02320009746072687,0.01980636377279556,0.10183238575340703,0.2756962703281722,0.3127074504855972,0.03701118015742505,0.5647492836275817,0.30248807089297886,0.33205324976251505,0.02956517886953619,0.5385676571206935
C1,1,w128_lr1e-4_neg1p0,128,0.0001,1.0,164304,0.024405114873279937,0.020045175580264352,0.09074331062463106,0.2756962703281722,0.31247332183086096,0.036777051502688785,0.5557206892999703,0.30248807089297886,0.3315597996585931,0.029071728765614258,0.5378072480114712
C1,1,w128_lr1e-4_neg1p5,128,0.0001,1.5,164304,0.02481854258182742,0.020237712747414982,0.0811525260955564,0.2756962703281722,0.30323151476464383,0.02753524443647165,0.543931176962805,0.30248807089297886,0.3304410055984734,0.027952934705494537,0.5387366986639393
C1,1,w128_lr1e-4_neg2p0,128,0.0001,2.0,164304,0.02508723783308466,0.0203977429115856,0.0748045970399652,0.2756962703281722,0.300778603044616,0.025082332716443834,0.5399552033119244,0.30248807089297886,0.3290247693758776,0.026536698482898746,0.5367073939395685
C1,1,w128_lr1e-4_neg3p0,128,0.0001,3.0,164304,0.02487505822253457,0.020310336952333426,0.05150457318912994,0.2756962703281722,0.30266812978894164,0.026971859460769465,0.5446903795428156,0.30248807089297886,0.3093783463246025,0.006890275431623627,0.5049189436117596
C1,1,w128_lr3e-4_neg1p0,128,0.0003,1.0,164304,0.02314055952361868,0.01958428178941702,0.13294956275562883,0.2756962703281722,0.33822946397871173,0.06253319365053955,0.5870727006673697,0.30248807089297886,0.3466475784551962,0.04415950756221737,0.5502858531946276
C1,1,w128_lr3e-4_neg1p5,128,0.0003,1.5,164304,0.023464486320592285,0.019686916194134974,0.11244408534972591,0.2756962703281722,0.3373667611898655,0.06167049086169335,0.5777873247856252,0.30248807089297886,0.3340596747233943,0.03157160383041546,0.5362618048874729
C1,1,w128_lr3e-4_neg2p0,128,0.0003,2.0,164304,0.02368727961384391,0.019774411005325534,0.09989150123498519,0.2756962703281722,0.31646761692075837,0.04077134659258619,0.563129496072975,0.30248807089297886,0.3333172518315296,0.03082918093855075,0.5369950977899789
C1,1,w128_lr3e-4_neg3p0,128,0.0003,3.0,164304,0.02442383186126589,0.02013605647577811,0.06946345521308014,0.2756962703281722,0.29996897204115147,0.024272701712979294,0.5466280740034941,0.30248807089297886,0.3211953468368833,0.018707275943904422,0.5209330540852177
C1,1,w128_lr1e-3_neg1p0,128,0.001,1.0,164304,0.022610425564382558,0.0194301764119293,0.1563957927303571,0.2756962703281722,0.33565525555619097,0.05995898522801879,0.5777647878723259,0.30248807089297886,0.37254116049105546,0.0700530895980766,0.581150949271771
C1,1,w128_lr1e-3_neg1p5,128,0.001,1.5,164304,0.02305594208943974,0.019576205175444922,0.11518992044417051,0.2756962703281722,0.3270013020447102,0.051305031716538,0.5766902900900586,0.30248807089297886,0.3379127402539418,0.035424669360962946,0.5412110826805094
C1,1,w128_lr1e-3_neg2p0,128,0.001,2.0,164304,0.024120908606466325,0.01991585387658519,0.10876616210509152,0.2756962703281722,0.3089337224012038,0.03323745207303164,0.5506506392706328,0.30248807089297886,0.3508931018557706,0.04840503096279175,0.5592988481304918
C1,1,w128_lr1e-3_neg3p0,128,0.001,3.0,164304,0.024362013357722912,0.02007713016985217,0.07638777384079183,0.2756962703281722,0.28755550482370285,0.011859234495530668,0.5325279540589326,0.30248807089297886,0.3300203531520021,0.027532282259023266,0.5430133516536727
C1,2,w32_lr1e-4_neg1p0,32,0.0001,1.0,163968,0.02588729257676875,0.02085311523708065,0.04002484106667682,0.27463285519125685,0.28674820145807867,0.012115346266821814,0.5208840372210528,0.3041020199063232,0.3170698884832117,0.01296786857688853,0.5199455422453728
C1,2,w32_lr1e-4_neg1p5,32,0.0001,1.5,163968,0.026416606065867553,0.02113119535627529,0.04983473980372727,0.27463285519125685,0.2919118305382478,0.017278975346990966,0.5286790948764235,0.3041020199063232,0.31498247636820254,0.010880456461879351,0.5239938294166013
C1,2,w32_lr1e-4_neg2p0,32,0.0001,2.0,163968,0.025617936337645465,0.02060640486723954,0.05311307662468079,0.27463285519125685,0.2892207108648436,0.014587855673586725,0.5315489033336249,0.3041020199063232,0.31247085424130217,0.00836883433497898,0.5225849921198966
C1,2,w32_lr1e-4_neg3p0,32,0.0001,3.0,163968,0.026071704376669533,0.02090308151940995,0.036279806158589285,0.27463285519125685,0.2924875345525249,0.017854679361268055,0.527489689727794,0.3041020199063232,0.30660641487741974,0.0025043949710965574,0.5071904237276234
C1,2,w32_lr3e-4_neg1p0,32,0.0003,1.0,163968,0.022654901951999377,0.0194343915326505,0.1336396522967334,0.27463285519125685,0.3267071949751416,0.05207433978388476,0.5774366736348346,0.3041020199063232,0.35315628789403875,0.04905426798771556,0.5622516426352142
C1,2,w32_lr3e-4_neg1p5,32,0.0003,1.5,163968,0.023118585228879874,0.01958186910987577,0.10836608265982602,0.27463285519125685,0.3083870963023085,0.03375424111105163,0.553411494378422,0.3041020199063232,0.3472489442268354,0.0431469243205122,0.5559790899058512
C1,2,w32_lr3e-4_neg2p0,32,0.0003,2.0,163968,0.023541189602365686,0.01974029277926848,0.08906874550676426,0.27463285519125685,0.29856016960458165,0.023927314413324796,0.5461852994312186,0.3041020199063232,0.3321002360263248,0.02799821612000164,0.5427254969400962
C1,2,w32_lr3e-4_neg3p0,32,0.0003,3.0,163968,0.02462183979888633,0.020142956602857948,0.05958348604309503,0.27463285519125685,0.3008499070073308,0.026217051816073922,0.5392743289310657,0.3041020199063232,0.3190053398465412,0.01490331994021804,0.5210186058347263
C1,2,w32_lr1e-3_neg1p0,32,0.001,1.0,163968,0.022048558532218872,0.019296101980517538,0.1837946234248795,0.27463285519125685,0.36432451368319196,0.08969165849193511,0.6076048470798991,0.3041020199063232,0.38631964355705234,0.08221762365072915,0.5840950971359786
C1,2,w32_lr1e-3_neg1p5,32,0.001,1.5,163968,0.02220023252166082,0.01932275435802784,0.1637670487775576,0.27463285519125685,0.3409764369493954,0.06634358175813854,0.5923457409128837,0.3041020199063232,0.36512984816537825,0.06102782825905506,0.5741578502371816
