dataset,pair,evidence_tier,role,path,size_bytes,sha256
MKG-W,M-Hyper + NativE,confirmatory,p3_summary,outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/p3_ablation/dev_p3_summary.json,28786,5d90aa9dc8aedc4a20212909edce9a122ce471247041aea39b2f214f7f9a0857
MKG-W,M-Hyper + NativE,confirmatory,dev_lock,outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_dev_lock.json,2599,eee533f2d0b8b1a9a181d348c1df94b3db522b5f7c4a5a398a946b58d201c713
MKG-W,M-Hyper + NativE,confirmatory,dev_locked_summary,outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/dev_lock/dev_locked_summary.json,10585,e0f370081c35e77252abc47e3abb5f286bd8f405de8e5e2681f8386f1dea4d65
MKG-W,M-Hyper + NativE,confirmatory,test_locked_summary,outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_summary.json,10587,b36f6644af51927ce8c5524602a26ef3bee4423928ad9165d5cbe3985be7a3ed
MKG-W,M-Hyper + NativE,confirmatory,test_locked_rows,outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_query_rows.csv,24703956,469d2d427b61d3048de03ef485d804e2821c40a8af9a8e5e62d61e2ff4bbd624
MKG-W,M-Hyper + AdaMF-MAT,confirmatory,p3_summary,outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/p3_ablation/dev_p3_summary.json,29113,8f911fb33e321b81c8438bdf74653f4567e912b4f22904545185f2c451997458
MKG-W,M-Hyper + AdaMF-MAT,confirmatory,dev_lock,outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_dev_lock.json,2596,95109445388ea1ffeab17c11b5281880ca3928c827155d2f1e9486dbab93bb0f
MKG-W,M-Hyper + AdaMF-MAT,confirmatory,dev_locked_summary,outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/dev_lock/dev_locked_summary.json,10534,31e7cbb2835a0285e65220e3c69bb6dfdcae369558edab2ea5cb5a7c37c82c4e
MKG-W,M-Hyper + AdaMF-MAT,confirmatory,test_locked_summary,outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_summary.json,10563,7404c684e49687984b79dc064a441c5db45da0e8cb4f33f639113e0799256cf6
MKG-W,M-Hyper + AdaMF-MAT,confirmatory,test_locked_rows,outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_query_rows.csv,24544314,0414041b7cd33267e79f0d7b6c12575f581f7e7ddaa22724c0a041d0cc087e60
DB15K,M-Hyper + NativE,secondary replication,p3_summary,outputs/db15k/anchored_dynamic/mhyper_native_seed123/p3_ablation/dev_p3_summary.json,29056,465ceb5c1e12f4db2fb532e81accd0083eb55f49d49623ee71dcde56ce8c4675
DB15K,M-Hyper + NativE,secondary replication,dev_lock,outputs/db15k/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_dev_lock.json,2599,a3ddf0b07697df57140c8a1dacdeb38ee96598272805b9db2a44bd59fa2b57ef
DB15K,M-Hyper + NativE,secondary replication,dev_locked_summary,outputs/db15k/anchored_dynamic/mhyper_native_seed123/dev_lock/dev_locked_summary.json,10522,668fe4eaf23752fdd49a2319b43063fc6f970131bb8aa8d9f5674eaee1c3c8b4
DB15K,M-Hyper + NativE,secondary replication,test_locked_summary,outputs/db15k/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_summary.json,10524,0b5485dcffd3fe360198893a3458965a1681445d3a05dcf50dc37e30a50598fe
DB15K,M-Hyper + NativE,secondary replication,test_locked_rows,outputs/db15k/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_query_rows.csv,56247418,2155f299165204d388ad45a509684148a3db3d3fa0dae9370896d2ed42271cfc
DB15K,M-Hyper + AdaMF-MAT,secondary replication,p3_summary,outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/p3_ablation/dev_p3_summary.json,29174,a9b0b49401405eb43920415e6c7f6716c86a341e66537d1f59ac813f198b0b1a
DB15K,M-Hyper + AdaMF-MAT,secondary replication,dev_lock,outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_dev_lock.json,2599,b7ec3d6b524d16cf9c2128a3b84c8881cbe5e6b8ee7c2e5d592c58f756dac55d
DB15K,M-Hyper + AdaMF-MAT,secondary replication,dev_locked_summary,outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/dev_lock/dev_locked_summary.json,10561,86182a50a94d016f47bf0d2e9c41175da1af65000e80e422aa96c6126d4315e7
DB15K,M-Hyper + AdaMF-MAT,secondary replication,test_locked_summary,outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_summary.json,10554,ed9cb3d9d4ed3f8fb0e20debaac55fb1da38072f826908ba0fbf34e24bbcc36f
DB15K,M-Hyper + AdaMF-MAT,secondary replication,test_locked_rows,outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_query_rows.csv,55936927,77bb9f968099600ff110f110dea8cec197f5891396a055d35bd82542dce06e0c
