dataset,pair_id,global_alpha,alpha,delta_alpha,mean_utility,positive_rate,zero_rate,negative_rate
db15k,db15k_mhyper_adamf,1.0,0.0,-1.0,-0.09056914096501018,0.29108810906336785,0.181078010603383,0.5278338803332492
db15k,db15k_mhyper_adamf,1.0,0.05,-0.95,-0.08134425473753694,0.3033956071699066,0.19189177817049566,0.5047126146595977
db15k,db15k_mhyper_adamf,1.0,0.1,-0.9,-0.0729897944374548,0.31524025919380627,0.20224269965496927,0.48251704115122446
db15k,db15k_mhyper_adamf,1.0,0.15,-0.85,-0.0656917016492672,0.32474964234620884,0.21305646722208196,0.46219389043170916
db15k,db15k_mhyper_adamf,1.0,0.2,-0.8,-0.05951819150963691,0.33377514095767064,0.2249431961625852,0.4412816628797442
db15k,db15k_mhyper_adamf,1.0,0.25,-0.75,-0.05402324953614615,0.34153833207102585,0.23544138685517124,0.4230202810738029
db15k,db15k_mhyper_adamf,1.0,0.3,-0.7,-0.04984711488904497,0.3478709080198603,0.24614996213077506,0.40597912984936463
db15k,db15k_mhyper_adamf,1.0,0.35,-0.65,-0.04609830307412364,0.3547715223428427,0.2562273836573256,0.3890010939998317
db15k,db15k_mhyper_adamf,1.0,0.4,-0.6,-0.04181738827337529,0.36011529075149373,0.26834553563914837,0.3715391736093579
db15k,db15k_mhyper_adamf,1.0,0.45,-0.55,-0.03863527838347487,0.3658587898678785,0.2790541109147522,0.35508709921736936
db15k,db15k_mhyper_adamf,1.0,0.5,-0.5,-0.03606377470191909,0.3701506353614407,0.2907725321888412,0.3390768324497181
db15k,db15k_mhyper_adamf,1.0,0.55,-0.44999999999999996,-0.03336735630992507,0.373032904148784,0.3035849532946226,0.3233821425565935
db15k,db15k_mhyper_adamf,1.0,0.6,-0.4,-0.029716434631009127,0.37423209627198517,0.32028948918623246,0.3054784145417824
db15k,db15k_mhyper_adamf,1.0,0.65,-0.35,-0.02905135230043023,0.3736430194395355,0.3324076411680552,0.2939493393924093
db15k,db15k_mhyper_adamf,1.0,0.7,-0.30000000000000004,-0.025325793383142628,0.373032904148784,0.3513212151813515,0.2756458806698645
db15k,db15k_mhyper_adamf,1.0,0.75,-0.25,-0.021977882605922094,0.3689304047799377,0.37416898089707984,0.2569006143229824
db15k,db15k_mhyper_adamf,1.0,0.8,-0.19999999999999996,-0.01828179087562097,0.363839097870908,0.39914163090128757,0.23701927122780442
db15k,db15k_mhyper_adamf,1.0,0.85,-0.15000000000000002,-0.013152011599359737,0.35578136834132795,0.4315198182277203,0.2126988134309518
db15k,db15k_mhyper_adamf,1.0,0.9,-0.09999999999999998,-0.008496039321582442,0.34023394765631576,0.4761634267440882,0.18360262559959606
db15k,db15k_mhyper_adamf,1.0,0.95,-0.050000000000000044,-0.0041945030684911256,0.31027518303458723,0.5416982243541193,0.14802659261129344
db15k,db15k_mhyper_adamf,1.0,1.0,0.0,0.0,0.0,1.0,0.0
db15k,db15k_mhyper_native,1.0,0.0,-1.0,-0.0615650947449738,0.28033745687116046,0.22147185054279223,0.4981906925860473
db15k,db15k_mhyper_native,1.0,0.05,-0.95,-0.0507881486484577,0.2960111083059833,0.2340949255238576,0.46989396617015905
db15k,db15k_mhyper_native,1.0,0.1,-0.9,-0.04264104887643314,0.3090970293696878,0.24686526971303543,0.4440377009172768
db15k,db15k_mhyper_native,1.0,0.15,-0.85,-0.03589240156645128,0.32087856601868214,0.2584995371539174,0.4206218968274005
db15k,db15k_mhyper_native,1.0,0.2,-0.8,-0.031056831534262582,0.3312926028780611,0.2698603046368762,0.39884709248506267
db15k,db15k_mhyper_native,1.0,0.25,-0.75,-0.026261677375063977,0.34017083228141043,0.28155768745266346,0.3782714802659261
db15k,db15k_mhyper_native,1.0,0.3,-0.7,-0.02291040222671682,0.34757636960363547,0.2927922241858117,0.3596314062105529
db15k,db15k_mhyper_native,1.0,0.35,-0.65,-0.02025334395576977,0.35325675334511486,0.30261718421274086,0.3441260624421442
db15k,db15k_mhyper_native,1.0,0.4,-0.6,-0.018122538428211783,0.35742236808886646,0.31500883615248676,0.3275687957586468
db15k,db15k_mhyper_native,1.0,0.45,-0.55,-0.016197897879356826,0.3612724059580914,0.3257594883446941,0.3129681056972145
db15k,db15k_mhyper_native,1.0,0.5,-0.5,-0.014647922030383531,0.363186905663553,0.3376251788268956,0.2991879155095515
