dataset,pair_id,scope,relation_id,direction,n_queries,n_original_triples,positive_opportunities,toward_a,toward_b,direction_consistency,signed_direction_preference,supported,support_min
db15k,db15k_mhyper_adamf,direction,,head,23766,7922,12734,0,12734,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,direction,,tail,23766,7922,8938,0,8938,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,0,,1746,291,867,0,867,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,1,,1506,251,649,0,649,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,2,,420,70,194,0,194,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,3,,138,23,45,0,45,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,4,,144,24,7,0,7,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,5,,840,140,457,0,457,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,6,,132,22,66,0,66,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,7,,108,18,50,0,50,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,8,,60,10,28,0,28,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,9,,96,16,52,0,52,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,10,,42,7,20,0,20,1.0,-1.0,False,60
db15k,db15k_mhyper_adamf,relation,11,,78,13,43,0,43,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,12,,3222,537,1889,0,1889,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,13,,78,13,28,0,28,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,14,,492,82,264,0,264,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,15,,30,5,18,0,18,1.0,-1.0,False,60
db15k,db15k_mhyper_adamf,relation,16,,6,1,6,0,6,1.0,-1.0,False,60
db15k,db15k_mhyper_adamf,relation,17,,516,86,361,0,361,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,18,,234,39,168,0,168,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,19,,408,68,227,0,227,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,20,,102,17,36,0,36,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,21,,648,108,224,0,224,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,22,,42,7,20,0,20,1.0,-1.0,False,60
db15k,db15k_mhyper_adamf,relation,23,,66,11,29,0,29,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,24,,30,5,11,0,11,1.0,-1.0,False,60
db15k,db15k_mhyper_adamf,relation,25,,90,15,63,0,63,1.0,-1.0,True,60
db15k,db15k_mhyper_adamf,relation,26,,30,5,9,0,9,1.0,-1.0,False,60
