dataset,pair_id,metric,n,mean,std,min,q25,median,q75,q90,q95,max
db15k,db15k_mhyper_adamf,gain_amplitude,47532,0.04545313137920738,0.13731240589146446,0.0,0.0,0.0,0.0059456918817872,0.1282051282051282,0.33333333333333337,0.9998246844319776
db15k,db15k_mhyper_adamf,beneficial_basin_width,47532,0.33055024584941267,0.4124973045180057,0.0,0.0,0.0,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523
db15k,db15k_mhyper_adamf,min_beneficial_distance_positive_only,21672,0.12372416020671836,0.1615466069499795,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.09999999999999998,0.30000000000000004,0.5,1.0
db15k,db15k_mhyper_adamf,plateau_ratio,47532,0.5515368593789447,0.40615660380361596,0.0,0.05,0.7,0.95,1.0,1.0,1.0
db15k,db15k_mhyper_adamf,best_plateau_ratio,47532,0.34298497653710985,0.36265660790257376,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.6190476190476191,1.0,1.0,1.0
db15k,db15k_mhyper_adamf,beneficial_components_positive_only,21672,1.0901624215577703,0.3549177655298282,1.0,1.0,1.0,1.0,1.0,2.0,8.0
db15k,db15k_mhyper_native,gain_amplitude,47532,0.049579185044090174,0.147927401836882,0.0,0.0,0.0,0.005911694137093648,0.13895837193502578,0.44444444444444453,0.9998630699712447
db15k,db15k_mhyper_native,beneficial_basin_width,47532,0.32252357309161145,0.4080039900309939,0.0,0.0,0.0,0.8095238095238095,0.9523809523809523,0.9523809523809523,0.9523809523809523
db15k,db15k_mhyper_native,min_beneficial_distance_positive_only,21388,0.13597811857116143,0.17466007273844925,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.15000000000000002,0.35,0.55,1.0
db15k,db15k_mhyper_native,plateau_ratio,47532,0.560450854161407,0.4094682931088589,0.0,0.05,0.7,0.95,1.0,1.0,1.0
db15k,db15k_mhyper_native,best_plateau_ratio,47532,0.37967204049001574,0.38456233557184194,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.8095238095238095,1.0,1.0,1.0
db15k,db15k_mhyper_native,beneficial_components_positive_only,21388,1.0914999064896203,0.3628577086091051,1.0,1.0,1.0,1.0,1.0,2.0,6.0
db15k,db15k_native_adamf,gain_amplitude,47532,0.057545267132930136,0.14838520464235705,0.0,0.0,2.095360790515002e-05,0.014632246322348899,0.16666666666666669,0.5,0.9977528089887641
db15k,db15k_native_adamf,beneficial_basin_width,47532,0.39012615060330286,0.43115509404338775,0.0,0.0,0.09523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
db15k,db15k_native_adamf,min_beneficial_distance_positive_only,24738,0.12250181906378851,0.16528604108544398,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.09999999999999998,0.30000000000000004,0.5,1.0
db15k,db15k_native_adamf,plateau_ratio,47532,0.5474280484726078,0.41311264056538877,0.0,0.05,0.7,0.95,1.0,1.0,1.0
db15k,db15k_native_adamf,best_plateau_ratio,47532,0.3309169161226722,0.3614428929179779,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.5714285714285714,1.0,1.0,1.0
db15k,db15k_native_adamf,beneficial_components_positive_only,24738,1.139299862559625,0.501119443519995,1.0,1.0,1.0,1.0,1.0,2.0,7.0
mkg_w,mkgw_mhyper_adamf,gain_amplitude,25656,0.04084078136150231,0.1350918681551189,0.0,0.0,2.8257367141100003e-05,0.005900402152336375,0.08333333333333331,0.2619047619047619,0.9996130030959753
mkg_w,mkgw_mhyper_adamf,beneficial_basin_width,25656,0.40177921807949873,0.43170368541754506,0.0,0.0,0.09523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
mkg_w,mkgw_mhyper_adamf,min_beneficial_distance_positive_only,13511,0.11375915920361189,0.157124694668327,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.09999999999999998,0.30000000000000004,0.5,1.0
mkg_w,mkgw_mhyper_adamf,plateau_ratio,25656,0.5014986747739321,0.4167944266343694,0.0,0.05,0.5,0.95,1.0,1.0,1.0
mkg_w,mkgw_mhyper_adamf,best_plateau_ratio,25656,0.3349314000623636,0.3759906605624937,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.6190476190476191,1.0,1.0,1.0
mkg_w,mkgw_mhyper_adamf,beneficial_components_positive_only,13511,1.085707941677152,0.3501876628689254,1.0,1.0,1.0,1.0,1.0,2.0,5.0
