dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
db15k,db15k_mhyper_adamf,X2,hist_gbdt,direction,head,23766,0.24422191148116443,0.24351429823048043,0.0007076132506840287,4.572301990125006e-05,0.0013631347573511044,0.015567975829443711,0.15854582176218127,0.22195573508373306,0.4541782378187326,0.14382490367241588,0.513747285029763,0.4135045863839098,0.10024269864585317,0.399381625597621,0.39345703946814775,0.005924586129473275,0.5617855431855363
db15k,db15k_mhyper_adamf,X2,hist_gbdt,direction,tail,23766,0.5222558681369781,0.5216597278177377,0.0005961403192402251,-0.00017288809046012483,0.0013520836136808618,0.013115495041842852,0.0326516872843558,0.07599091138601363,0.17192628124211057,0.255292327035162,0.45478809247408786,0.28065092989985696,0.1741371625742309,0.39874637696798143,0.30043759993267694,0.0983087770353045,0.6758861677558902
db15k,db15k_mhyper_adamf,X2,hist_gbdt,seed,1,15844,0.384030477479564,0.3841293779489628,-9.890046939884322e-05,-0.0008881052797803234,0.0006663365908169209,-0.002175878017594308,0.09820752335268872,0.1478162080282757,0.31570310527644535,0.19622105559232303,0.48592924734082,0.3380554152991669,0.1478738320416531,0.38557283598210734,0.3533577379449634,0.03221509803714395,0.6059361738059541
db15k,db15k_mhyper_adamf,X2,hist_gbdt,seed,2,15844,0.3827110106224086,0.3820373224646448,0.0006736881577638313,-0.00020092036607309,0.0015433755601529842,0.014821600565720591,0.09423125473365312,0.14705882352941177,0.30655137591517295,0.21619303833134337,0.5002504211049816,0.35171042665993435,0.14853999444504729,0.40167018639344254,0.35026508457460237,0.05140510181884017,0.6173371408658831
db15k,db15k_mhyper_adamf,X2,hist_gbdt,seed,3,15844,0.3829751813252412,0.38159433865871983,0.0013808426665213925,0.0005939248157278573,0.0021788586153549112,0.030379483758803557,0.09435748548346377,0.1520449381469326,0.31690229739964654,0.20052163128145736,0.5036298230361508,0.3514674324665488,0.15216239056960196,0.370339590213615,0.3372191365816713,0.033120453631943714,0.6081561800965801
db15k,db15k_mhyper_adamf,X2,hist_gbdt,seed_x_direction,1_head,7922,0.2449539220199598,0.24491984329262706,3.4078727332736534e-05,-0.0010731985511301346,0.001113683052107705,0.0007497553259515575,0.1625852057561222,0.2197677354203484,0.4608684675586973,0.13105247846112517,0.5001580813605258,0.40384372633173443,0.09631435502879132,0.39679703431420144,0.40002524614996215,-0.0032282118357607192,0.5541706138821931
db15k,db15k_mhyper_adamf,X2,hist_gbdt,seed_x_direction,1_tail,7922,0.523107032939168,0.5233389126052985,-0.00023187966613042317,-0.0013842611945009227,0.0008734895237774879,-0.005101511361140178,0.03382984094925524,0.07586468063620298,0.1705377429941934,0.2523931259046783,0.44944727965396986,0.27226710426659934,0.17718017538737052,0.4003020526366811,0.3066902297399647,0.09361182289671643,0.6737551660232227
db15k,db15k_mhyper_adamf,X2,hist_gbdt,seed_x_direction,2_head,7922,0.24420792474878672,0.24360565349243943,0.0006022712563472721,-0.00046578723511762584,0.0016905406613659012,0.013250379854418199,0.15715728351426408,0.21989396617015905,0.4460994698308508,0.15645744418640403,0.5208789608644312,0.4204115122443827,0.10046744862004847,0.41396412360868595,0.3938020701842969,0.020162053424389037,0.5704993641893427
db15k,db15k_mhyper_adamf,X2,hist_gbdt,seed_x_direction,2_tail,7922,0.5212140964960306,0.52046899143685,0.0007451050591803907,-0.0005183720556973499,0.002015567801863605,0.01639282127702299,0.03130522595304216,0.07422368088866448,0.16700328199949507,0.26225644440148405,0.451880866069316,0.283009341075486,0.16887152499383,0.4144884715958819,0.3067280989649078,0.1077603726309741,0.6777092221648824
db15k,db15k_mhyper_adamf,X2,hist_gbdt,seed_x_direction,3_head,7922,0.24350388767474682,0.24201739790637478,0.0014864897683720775,0.0005140957628398878,0.0024849633612457865,0.032703792307961374,0.15589497601615754,0.22620550366069175,0.45556677606664986,0.14364958097621672,0.5200826777747363,0.41625852057561225,0.10382415719912402,0.387297274986877,0.3865438020701843,0.000753472916692699,0.560519560500729
db15k,db15k_mhyper_adamf,X2,hist_gbdt,seed_x_direction,3_tail,7922,0.5224464749757357,0.5211712794110649,0.0012751955646707078,0.0001161297614170854,0.002480799978704785,0.028055175209645747,0.03281999495077001,0.07788437263317344,0.17823781873264327,0.2512062856628697,0.4637844145764233,0.28667634435748546,0.17710807021893782,0.3808218552158895,0.2878944710931583,0.09292738412273122,0.6766173133891811
