dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
db15k,db15k_mhyper_adamf,X4,mlp_high,direction,head,23766,0.23058247011344077,0.24351429823048043,-0.012931828117039612,-0.014926975264223825,-0.010943589666014933,-0.28450906955456373,0.3090128755364807,0.37381132710594966,0.8592527139611209,0.09775269311053199,0.4486132239818132,0.4135045863839098,0.03510863759790339,0.4154778542207223,0.39345703946814775,0.022020814752574558,0.5467739780619565
db15k,db15k_mhyper_adamf,X4,mlp_high,direction,tail,23766,0.4919306140775471,0.5216597278177377,-0.02972911374019074,-0.03236446717467106,-0.027078132893742217,-0.654060849893181,0.20592442985778003,0.2275519649920054,0.8033324917950012,0.1280002818792258,0.3457762278534929,0.28065092989985696,0.06512529795363592,0.3935818990574013,0.30043759993267694,0.09314429912472438,0.5829095576306655
db15k,db15k_mhyper_adamf,X4,mlp_high,seed,1,15844,0.36172450665509925,0.3841293779489628,-0.022404871293863555,-0.02501169027112964,-0.019880322872399242,-0.4929225031152143,0.259656652360515,0.29323403181014895,0.8282630648826054,0.11310894080907785,0.39113414303780236,0.3380554152991669,0.05307872773863548,0.4008242285539767,0.3533577379449634,0.04746649060901331,0.5623610364484726
db15k,db15k_mhyper_adamf,X4,mlp_high,seed,2,15844,0.35935219201508606,0.3820373224646448,-0.022685130449558704,-0.02532356803707532,-0.020103684287207556,-0.4990883963593342,0.2583943448624085,0.3052890684170664,0.8313557182529664,0.12717335698389765,0.40872010449329615,0.35171042665993435,0.057009677833361805,0.40680249891675585,0.35026508457460237,0.05653741434215348,0.5715581728377289
db15k,db15k_mhyper_adamf,X4,mlp_high,seed,3,15844,0.36269292761629657,0.38159433865871983,-0.018901411042423266,-0.02153755460428162,-0.016307360772590134,-0.4158439796970685,0.25435496086846754,0.30352183791971726,0.8342590254986114,0.10294747823811312,0.3988194297691159,0.3514674324665488,0.04735199730256706,0.3809394330350093,0.3372191365816713,0.043720296453338026,0.5561158058965379
db15k,db15k_mhyper_adamf,X4,mlp_high,seed_x_direction,1_head,7922,0.2309191733737087,0.24491984329262706,-0.014000669918918351,-0.016915204814632562,-0.011115126545500174,-0.3080243207473052,0.31014895228477657,0.3643019439535471,0.8526887149709669,0.09558308488090829,0.4439945554929019,0.40384372633173443,0.04015082916116747,0.4151488327152577,0.40002524614996215,0.015123586565295555,0.5455498613899356
db15k,db15k_mhyper_adamf,X4,mlp_high,seed_x_direction,1_tail,7922,0.4925298399364897,0.5233389126052985,-0.03080907266880876,-0.03474490604029516,-0.026904171587952695,-0.6778206854831235,0.20916435243625348,0.22216611966675082,0.8038374147942439,0.12931963225987653,0.3349462674336773,0.27226710426659934,0.06267916316707794,0.40340123576354564,0.3066902297399647,0.09671100602358096,0.5825686178362454
db15k,db15k_mhyper_adamf,X4,mlp_high,seed_x_direction,2_head,7922,0.22843389139750098,0.24360565349243943,-0.01517176209493844,-0.018208766712268697,-0.01225873158633735,-0.33378915015476396,0.309644029285534,0.3779348649330977,0.8598838677101742,0.10707360378739943,0.4547216686686763,0.4204115122443827,0.03431015642429358,0.42857133294380795,0.3938020701842969,0.03476926275951103,0.5541212558562074
db15k,db15k_mhyper_adamf,X4,mlp_high,seed_x_direction,2_tail,7922,0.4902704926326711,0.52046899143685,-0.030198498804178967,-0.0341795395212064,-0.02622194770884781,-0.6643876425639045,0.207144660439283,0.2326432719010351,0.8028275687957587,0.1408483887670654,0.3590182696610041,0.283009341075486,0.07600892858551811,0.39996178791502235,0.3067280989649078,0.09323368895011452,0.5906087441181689
db15k,db15k_mhyper_adamf,X4,mlp_high,seed_x_direction,3_head,7922,0.2323943455691127,0.24201739790637478,-0.009623052337262043,-0.012544351110835615,-0.00664455654792144,-0.21171373776162195,0.30724564503913154,0.37919717243120427,0.8651855592022216,0.0894207358966307,0.4477725099213021,0.41625852057561225,0.03151398934568983,0.40264487405722416,0.3865438020701843,0.01610107198703986,0.540360615185752
db15k,db15k_mhyper_adamf,X4,mlp_high,seed_x_direction,3_tail,7922,0.49299150966348054,0.5211712794110649,-0.02817976974758448,-0.03201468033614035,-0.02430415486883941,-0.6199742216325148,0.2014642766978036,0.22784650340823023,0.8033324917950012,0.11346878738303384,0.3432349677213246,0.28667634435748546,0.056558623363839156,0.37750306083506774,0.2878944710931583,0.08960858974190944,0.5754195537201794
