dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
db15k,db15k_mhyper_adamf,X5,mlp_low,direction,head,23766,0.23995102150634787,0.24351429823048043,-0.00356327672413256,-0.004936520314124078,-0.002220002059275478,-0.07839452675778888,0.20411512244382732,0.2777497265000421,0.5931582933602626,0.152615061206677,0.49320499069001145,0.4135045863839098,0.07970040430610165,0.42547769107853994,0.39345703946814775,0.03202065161039219,0.5812051660046607
db15k,db15k_mhyper_adamf,X5,mlp_low,direction,tail,23766,0.5124326996156824,0.5216597278177377,-0.009227028202055362,-0.010921090287093286,-0.007548838928983493,-0.20300093573478856,0.11070436758394345,0.15993436001009845,0.48661954052007067,0.17175148089434386,0.3653235655195627,0.28065092989985696,0.08467263561970573,0.3861147434871506,0.30043759993267694,0.08567714355447364,0.6168175154902704
db15k,db15k_mhyper_adamf,X5,mlp_low,seed,1,15844,0.3775175016795761,0.3841293779489628,-0.006611876269386718,-0.008287966037298615,-0.004971644080446561,-0.14546580331781817,0.15191870739712193,0.2037995455693007,0.5286543802070184,0.1520801963876474,0.4194953947753139,0.3380554152991669,0.081439979476147,0.3968772008042125,0.3533577379449634,0.043519462859249125,0.5892262575716463
db15k,db15k_mhyper_adamf,X5,mlp_low,seed,2,15844,0.3745057068549241,0.3820373224646448,-0.007531615609720613,-0.009407885506638836,-0.005688885669639058,-0.16570069830581524,0.15456955314314566,0.21800050492299924,0.5214592274678111,0.18040173908452292,0.4456588826540548,0.35171042665993435,0.09394845599412044,0.40945327395674314,0.35026508457460237,0.059188189382140766,0.6067173758856305
db15k,db15k_mhyper_adamf,X5,mlp_low,seed,3,15844,0.3765523731485453,0.38159433865871983,-0.00504196551017455,-0.00687400492610505,-0.0032231082606497723,-0.11092669211523269,0.16574097450138853,0.2347260792729109,0.5695531431456703,0.15992910872814098,0.4421745776115251,0.3514674324665488,0.0907071451449763,0.38151321490231316,0.3372191365816713,0.04429407832064186,0.5956683497677253
db15k,db15k_mhyper_adamf,X5,mlp_low,seed_x_direction,1_head,7922,0.23993520438108945,0.24491984329262706,-0.004984638911537624,-0.007137693111215644,-0.0029073748455768996,-0.10966546770896109,0.19982327695026508,0.26180257510729615,0.5740974501388538,0.13127032708400396,0.4784451929228954,0.40384372633173443,0.07460146659116096,0.41925851252256113,0.40002524614996215,0.01923326637259898,0.5678671754998984
db15k,db15k_mhyper_adamf,X5,mlp_low,seed_x_direction,1_tail,7922,0.5150997989780627,0.5233389126052985,-0.008239113627235813,-0.01070601428158611,-0.005761014240598187,-0.18126613892667526,0.1040141378439788,0.14579651603130522,0.48321131027518305,0.1684895324897654,0.34727079371357533,0.27226710426659934,0.075003689446976,0.3906108226938378,0.3066902297399647,0.08392059295387311,0.6144214821107007
db15k,db15k_mhyper_adamf,X5,mlp_low,seed_x_direction,2_head,7922,0.2389656032398471,0.24360565349243943,-0.0046400502525923435,-0.0069040872243548955,-0.002387029402826198,-0.10208428136405474,0.19805604645291594,0.2777076495834385,0.5836909871244635,0.16319400272679996,0.4992560144256684,0.4204115122443827,0.07884450218128569,0.43901604425203367,0.3938020701842969,0.04521397406773675,0.5894391780518008
db15k,db15k_mhyper_adamf,X5,mlp_low,seed_x_direction,2_tail,7922,0.5100458104700012,0.52046899143685,-0.010423180966848881,-0.013056314484764471,-0.007772867894233523,-0.22931711524757573,0.11108305983337541,0.15829336026255997,0.4592274678111588,0.1881344645847106,0.37568280934341025,0.283009341075486,0.09267346826792427,0.40037179130926914,0.3067280989649078,0.09364369234436132,0.6255345629635166
db15k,db15k_mhyper_adamf,X5,mlp_low,seed_x_direction,3_head,7922,0.24095225689810706,0.24201739790637478,-0.001065141008267713,-0.0031049213483826357,0.0009578540402310795,-0.023433831200350825,0.21446604392830093,0.29373895480939155,0.6216864428174703,0.16098115706305713,0.5012689180248735,0.41625852057561225,0.08501039744926125,0.41767426618805165,0.3865438020701843,0.03113046411786735,0.5854491141955749
db15k,db15k_mhyper_adamf,X5,mlp_low,seed_x_direction,3_tail,7922,0.5121524893989835,0.5211712794110649,-0.009018790012081388,-0.011828819713479195,-0.006196773111055609,-0.1984195530301146,0.11701590507447614,0.1757132037364302,0.5174198434738703,0.15735576848277083,0.37240730427913504,0.28667634435748546,0.08573095992164959,0.3654368309665415,0.2878944710931583,0.0775423598733832,0.6085467660172889
