dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
db15k,db15k_mhyper_adamf,X5,nested_selected,direction,head,23766,0.2449760718121095,0.24351429823048043,0.0014617735816290672,0.000715719684304597,0.0021949282863684416,0.03216001928302262,0.15122443827316334,0.23382142556593452,0.46133131364133634,0.1579806236085739,0.5214584846454774,0.4135045863839098,0.1079538982615676,0.40469765276338027,0.39345703946814775,0.011240613295232516,0.5692328262130908
db15k,db15k_mhyper_adamf,X5,nested_selected,direction,tail,23766,0.5224109683855532,0.5216597278177377,0.000751240567815352,-1.4163956428195265e-05,0.0015453622624410402,0.01652780666634136,0.030337456871160483,0.08314398720861735,0.18985104771522343,0.2580204334288506,0.4514337489527966,0.28065092989985696,0.17078281905293963,0.4017746558120417,0.30043759993267694,0.10133705587936476,0.6773586321574501
db15k,db15k_mhyper_adamf,X5,nested_selected,seed,1,15844,0.3845646183565888,0.3841293779489628,0.0004352404076260157,-0.00027799965062728856,0.0011505828603957016,0.009575586860999373,0.09057056298914415,0.14636455440545318,0.31242110578136834,0.1969265264121902,0.48570134524081265,0.3380554152991669,0.14764592994164577,0.38941364019759384,0.3533577379449634,0.036055902252630445,0.6059716345332143
db15k,db15k_mhyper_adamf,X5,nested_selected,seed,2,15844,0.3836100274147896,0.3820373224646448,0.001572704950144818,0.0006984788192534127,0.002463481715891894,0.034600585315542366,0.08394344862408483,0.1532441302701338,0.309075990911386,0.22684413873507317,0.5025329509819954,0.35171042665993435,0.150822524322061,0.40369056241363216,0.35026508457460237,0.05342547783902979,0.6226753077010534
db15k,db15k_mhyper_adamf,X5,nested_selected,seed,3,15844,0.38290591452511563,0.38159433865871983,0.001311575866395795,0.00042530157742512995,0.002246605524051699,0.028855566747504228,0.09782883110325676,0.17583943448624084,0.35527644534208536,0.2075044404355656,0.5082221619895062,0.3514674324665488,0.15675472952295738,0.3761719078215194,0.3372191365816713,0.03895277123984808,0.6149184338646435
db15k,db15k_mhyper_adamf,X5,nested_selected,seed_x_direction,1_head,7922,0.2458258533281075,0.24491984329262706,0.0009060100354804489,-7.875609868522642e-05,0.0019317432950442797,0.019932840884421585,0.15084574602373138,0.21888412017167383,0.44344862408482705,0.1333328132302527,0.4987486381556737,0.40384372633173443,0.09490491182393929,0.3991828132424138,0.40002524614996215,-0.0008424329075483739,0.5516037079533053
db15k,db15k_mhyper_adamf,X5,nested_selected,seed_x_direction,1_tail,7922,0.5233033833850701,0.5233389126052985,-3.552922022841715e-05,-0.0010726993171921923,0.0010064867072914266,-0.000781667162422832,0.03029537995455693,0.07384498863923251,0.18139358747790962,0.25189499474459903,0.4465457619803912,0.27226710426659934,0.17427865771379186,0.4044790188501365,0.3066902297399647,0.0977887891101718,0.6739637059945589
db15k,db15k_mhyper_adamf,X5,nested_selected,seed_x_direction,2_head,7922,0.24550055615697705,0.24360565349243943,0.0018949026645375927,0.0008197498301895919,0.0030554376003216425,0.0416891555551753,0.14213582428679628,0.22418581166372128,0.4414289320878566,0.17466461823705878,0.5247734041794531,0.4204115122443827,0.10436189193507034,0.41926928790455703,0.3938020701842969,0.025467217720260116,0.5768182972836268
db15k,db15k_mhyper_adamf,X5,nested_selected,seed_x_direction,2_tail,7922,0.5217194986726021,0.52046899143685,0.0012505072357520432,1.0099493504191398e-05,0.002472197831401544,0.02751201507590943,0.02575107296137339,0.08230244887654632,0.17672304973491543,0.26802374113976796,0.45402684533994725,0.283009341075486,0.17101750426446127,0.41391994768334855,0.3067280989649078,0.10719184871844073,0.6813400329998933
db15k,db15k_mhyper_adamf,X5,nested_selected,seed_x_direction,3_head,7922,0.24360180595124392,0.24201739790637478,0.0015844080448691599,0.0003778448495760422,0.0028078001028253633,0.03485806140947097,0.16069174450896237,0.2583943448624085,0.4991163847513254,0.1642018762585063,0.5383703834775833,0.41625852057561225,0.12211186290197101,0.39571732709166874,0.3865438020701843,0.009173525021484441,0.5786375983625255
db15k,db15k_mhyper_adamf,X5,nested_selected,seed_x_direction,3_tail,7922,0.5222100230989875,0.5211712794110649,0.00103874368792243,-0.00021950244720124273,0.0022872406600541804,0.02285307208553748,0.03496591769755112,0.09328452411007321,0.21143650593284524,0.2530241957331467,0.4546140989838775,0.28667634435748546,0.16793775462639204,0.38577811671714723,0.2878944710931583,0.09788364562398894,0.6756667913005562
