dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
db15k,db15k_mhyper_native,X3,mlp_high,direction,head,23766,0.24114562659244565,0.24351429823048043,-0.002368671638034778,-0.0042731205370715565,-0.00046325326800625196,-0.04777552587700565,0.2965581082218295,0.3604729445426239,0.8509214844736178,0.09104732995537854,0.45432908986176906,0.40977657157283515,0.04455251828893392,0.3853144040366006,0.36416309012875536,0.02115131390784525,0.5532317587794208
db15k,db15k_mhyper_native,X3,mlp_high,direction,tail,23766,0.5076421355908999,0.5216597278177377,-0.014017592226838016,-0.016350583618417562,-0.011690322424091118,-0.28273139654014806,0.1893461247159808,0.22595304216107043,0.8235714886813095,0.10556800783926636,0.34084076528274176,0.26752293191954896,0.07331783336319281,0.34729030411281625,0.26039299840107716,0.08689730571173909,0.5696764865463795
db15k,db15k_mhyper_native,X3,mlp_high,seed,1,15844,0.3757936275536249,0.3841293779489628,-0.008335750395337843,-0.010599029141578526,-0.006071540404667109,-0.16813004061936423,0.2485483463771775,0.2881216864428175,0.8386139863670791,0.10884947245546785,0.38956444758674125,0.3272027265841959,0.062361721002545334,0.3707465310332355,0.32278465034082304,0.04796188069241247,0.5660507615019371
db15k,db15k_mhyper_native,X3,mlp_high,seed,2,15844,0.37531036894228037,0.3820373224646448,-0.006726953522364343,-0.009130205035248874,-0.004391465724476455,-0.13568100234770206,0.23794496339308255,0.2936127240595809,0.8446099469830851,0.08836753730470093,0.4028115525162781,0.3437105528906842,0.0591009996255939,0.3326718354362544,0.2961657409745014,0.036506094461753014,0.5542165250783272
db15k,db15k_mhyper_native,X3,mlp_high,seed,3,15844,0.37207764677911287,0.38159433865871983,-0.009516691879607003,-0.012007899917292153,-0.007074174192568197,-0.19194934065866426,0.24236303963645545,0.29790456955314315,0.8285155263822267,0.10118215693368694,0.40705394956107366,0.34503597576369605,0.06201797379737761,0.36489710701596906,0.3178837414794244,0.04701336553654467,0.5598432116008581
db15k,db15k_mhyper_native,X3,mlp_high,seed_x_direction,1_head,7922,0.24165565175762943,0.24491984329262706,-0.0032641915349975814,-0.006052524190207029,-0.00042366341362472823,-0.06583794251750569,0.3049734915425398,0.35862156021206765,0.8564756374652865,0.09850070026830857,0.44237934788820515,0.39768997727846506,0.0446893706097401,0.3968530139486282,0.3734915425397627,0.02336147140886552,0.5571470032867613
db15k,db15k_mhyper_native,X3,mlp_high,seed_x_direction,1_tail,7922,0.5099316033496205,0.5233389126052985,-0.013407309255678108,-0.016947905961339514,-0.009913511658888081,-0.27042213872122284,0.1921232012118152,0.21762181267356728,0.8207523352688715,0.11632477929881319,0.33273614212246666,0.25671547588992677,0.07602066623253989,0.36387091407367217,0.27207775814188334,0.09179315593178883,0.5762265701034442
db15k,db15k_mhyper_native,X3,mlp_high,seed_x_direction,2_head,7922,0.24247994904866718,0.24360565349243943,-0.0011257044437722832,-0.003897306020901444,0.0017192315360485607,-0.02270518248275379,0.29272910881090636,0.35862156021206765,0.8536985609694522,0.09186223035701974,0.4648248421332987,0.4168518050997223,0.047973037033576416,0.37149674448026637,0.3498043423377935,0.021692402142472866,0.5533776127617196
db15k,db15k_mhyper_native,X3,mlp_high,seed_x_direction,2_tail,7922,0.5081407888358938,0.52046899143685,-0.012328202600956404,-0.01582275075444358,-0.008792167064975176,-0.24865682221265034,0.18316081797525877,0.22860388790709416,0.835521332996718,0.08231725233261775,0.33624141289665815,0.27056930068164603,0.06567211221501212,0.3130654824870668,0.24252713961120928,0.0705383428758575,0.5557361442757824
db15k,db15k_mhyper_native,X3,mlp_high,seed_x_direction,3_head,7922,0.23930127897104028,0.24201739790637478,-0.002716118935334468,-0.005696793207103737,0.00030622940228831153,-0.05478345263075744,0.29197172431204244,0.36417571320373643,0.8425902549861146,0.0822305063151568,0.45623029762477446,0.4147879323403181,0.041442365284456384,0.3873489992499858,0.36919338550870995,0.018155613741275833,0.5490815447874119
db15k,db15k_mhyper_native,X3,mlp_high,seed_x_direction,3_tail,7922,0.5048540145871855,0.5211712794110649,-0.016317264823879536,-0.0197963617509948,-0.01277188977273248,-0.32911522868657106,0.19275435496086846,0.23163342590254987,0.8144407977783388,0.11702002955465425,0.3538073952341862,0.27528401918707396,0.07852337604711224,0.36209668402546397,0.2665740974501389,0.09552258657532509,0.5757909416380216
