dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
db15k,db15k_mhyper_native,X4,nested_selected,direction,head,23766,0.2460758585330741,0.24351429823048043,0.00256156030259368,0.0013870406091792914,0.0037446117790337773,0.05166604292337035,0.218210889506017,0.2654632668518051,0.5808718337120256,0.12446018537168554,0.5178515541427533,0.40977657157283515,0.10807498256991815,0.3462479707206287,0.36416309012875536,-0.01791511940812668,0.5690501550571864
db15k,db15k_mhyper_native,X4,nested_selected,direction,tail,23766,0.5233491094470724,0.5216597278177377,0.0016893816293345365,0.0006185039250696334,0.002772173467674895,0.03407441303910486,0.054489607001598925,0.10308844567870067,0.263317344105024,0.2132990992257884,0.42849505272309507,0.26752293191954896,0.16097212080354611,0.33099661595079793,0.26039299840107716,0.07060361754972078,0.6467489127371898
db15k,db15k_mhyper_native,X4,nested_selected,seed,1,15844,0.38545529184176164,0.3841293779489628,0.0013259138927988147,0.00010965690962774241,0.002565561611693058,0.026743357955958683,0.14724816965412774,0.17912143398131786,0.4279222418581166,0.16182513092319284,0.4775231400794419,0.3272027265841959,0.150320413495246,0.3295944408650934,0.32278465034082304,0.006809790524270332,0.593867546092885
db15k,db15k_mhyper_native,X4,nested_selected,seed,2,15844,0.3846190092592695,0.3820373224646448,0.0025816867946247216,0.0012971503375942249,0.003828328948396792,0.052071989330378515,0.12875536480686695,0.1883362787174956,0.4255869729866195,0.16456053028191248,0.4937965283315234,0.3437105528906842,0.15008597544083918,0.30089711839752725,0.2961657409745014,0.004731377423025873,0.5947277546890163
db15k,db15k_mhyper_native,X4,nested_selected,seed,3,15844,0.38406315086918863,0.38159433865871983,0.0024688122104687886,0.0012546770780179654,0.0037085742985578075,0.049795336657375615,0.13304721030042918,0.18536985609694523,0.41277455188083817,0.17595516101723577,0.49218559639118153,0.34503597576369605,0.1471496206274855,0.3345472564146924,0.3178837414794244,0.01666351493526802,0.599320983730574
db15k,db15k_mhyper_native,X4,nested_selected,seed_x_direction,1_head,7922,0.2467280264007806,0.24491984329262706,0.001808183108153545,4.952480786641957e-05,0.0035584929697003503,0.03647060972352717,0.23630396364554407,0.259656652360515,0.5977026003534461,0.11628319235202496,0.5043708921127366,0.39768997727846506,0.1066809148342715,0.35152014397501924,0.3734915425397627,-0.02197139856474345,0.5622102933023135
db15k,db15k_mhyper_native,X4,nested_selected,seed_x_direction,1_tail,7922,0.5241825572827425,0.5233389126052985,0.0008436446774440839,-0.000775071951282188,0.002445676741653642,0.01701610618839019,0.05819237566271144,0.09858621560212068,0.25814188336278715,0.2091273472334047,0.42322133695506087,0.25671547588992677,0.1665058610651341,0.3386061120650742,0.27207775814188334,0.06652835392319084,0.6457003714582888
db15k,db15k_mhyper_native,X4,nested_selected,seed_x_direction,2_head,7922,0.2464988474755004,0.24360565349243943,0.0028931939830609474,0.0011195654845220348,0.00470419196875143,0.05835501290487266,0.2061348144407978,0.26811411259782886,0.5793991416309013,0.12128680261235467,0.5259368800156858,0.4168518050997223,0.10908507491596353,0.32840277263471135,0.3498043423377935,-0.021401569703082157,0.5713030832795891
db15k,db15k_mhyper_native,X4,nested_selected,seed_x_direction,2_tail,7922,0.5227391710430386,0.52046899143685,0.002270179606188495,0.0006518890620781982,0.003919479534435411,0.04578896575588435,0.051375915172936125,0.10855844483716233,0.2717748043423378,0.21222163429235874,0.4337966904107543,0.27056930068164603,0.16322738972910827,0.3076855950534255,0.24252713961120928,0.06515845544221624,0.6457910880677096
db15k,db15k_mhyper_native,X4,nested_selected,seed_x_direction,3_head,7922,0.2450007017229413,0.24201739790637478,0.002983303816566547,0.0011588702077561877,0.004769320892495392,0.06017250614171119,0.21219389043170916,0.26861903559707145,0.5655137591517294,0.1377478152837047,0.5255941285191688,0.4147879323403181,0.11080619617885068,0.35815451475405835,0.36919338550870995,-0.011038870754651597,0.5749626417341122
db15k,db15k_mhyper_native,X4,nested_selected,seed_x_direction,3_tail,7922,0.5231256000154361,0.5211712794110649,0.00195432060437103,0.0003846797139989555,0.003554824636101425,0.039418167173040045,0.053900530169149204,0.10212067659681899,0.260035344609947,0.21809234332394659,0.4314433935366699,0.27528401918707396,0.15615937434959593,0.3440919845860534,0.2665740974501389,0.07751788713591451,0.6490648502993034
