dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
db15k,db15k_mhyper_native,X5,linear_huber,direction,head,23766,0.24364470072857064,0.24351429823048043,0.00013040249809022808,-0.00028576456616427793,0.00054412197101849,0.002630186397260522,0.1954052007068922,0.36059917529243457,0.8246654885130018,0.1529805217564838,0.524425359429144,0.40977657157283515,0.11464878785630889,0.3648630903124561,0.36416309012875536,0.0007000001837007552,0.6053587345479546
db15k,db15k_mhyper_native,X5,linear_huber,direction,tail,23766,0.5218364810217515,0.5216597278177377,0.00017675320401365493,-0.00023990312061259548,0.0005874368538072408,0.0035650687653794775,0.05436337625178827,0.1524867457712699,0.4869561558528991,0.20199055342498365,0.41651292194104955,0.26752293191954896,0.1489899900215006,0.2850293119720117,0.26039299840107716,0.024636313570934543,0.6558260842585631
db15k,db15k_mhyper_native,X5,linear_huber,seed,1,15844,0.3842499246952116,0.3841293779489628,0.00012054674624875765,-0.00036857187465183365,0.0006018320950552417,0.0024313983003463463,0.12755617268366573,0.24211057813683412,0.6107674829588488,0.16715911457821106,0.48204711893845054,0.3272027265841959,0.15484439235425462,0.310489440959429,0.32278465034082304,-0.012295209381394057,0.616020583582635
db15k,db15k_mhyper_native,X5,linear_huber,seed,2,15844,0.3819175963193162,0.3820373224646448,-0.00011972614532856685,-0.0006567673532697836,0.0003971322467072494,-0.002414846981088858,0.12440040393839939,0.26047715223428425,0.7282251956576622,0.17077821193210677,0.48147648504084584,0.3437105528906842,0.13776593215016164,0.2966304534497732,0.2961657409745014,0.00046471247527180015,0.6203429854625566
db15k,db15k_mhyper_native,X5,linear_huber,seed,3,15844,0.3820542516109555,0.38159433865871983,0.0004599129522356338,-4.6035464314341785e-05,0.0009459783832180692,0.009276331424702513,0.12269628881595557,0.2670411512244383,0.6284397879323403,0.1908964247979664,0.5067386652885056,0.34503597576369605,0.1617026895248096,0.314058440447278,0.3178837414794244,-0.0038253010321464,0.6244964403728659
db15k,db15k_mhyper_native,X5,linear_huber,seed_x_direction,1_head,7922,0.2453040837926946,0.24491984329262706,0.00038424050006756564,-0.00033346431093195456,0.0011070950142198178,0.007750036627787765,0.20133804594799293,0.34713456197929815,0.8064882605402676,0.133038043886996,0.5083739552385016,0.39768997727846506,0.11068397796003654,0.36439305138198896,0.3734915425397627,-0.009098491157773725,0.5927293487923457
db15k,db15k_mhyper_native,X5,linear_huber,seed_x_direction,1_tail,7922,0.5231957655977285,0.5233389126052985,-0.00014314700757005024,-0.0007739737757962512,0.0004891910461687015,-0.002887240027095071,0.05377429941933855,0.13708659429437012,0.41504670537742994,0.19849636728770798,0.42555364841107063,0.25671547588992677,0.16883817252114386,0.2892517846154033,0.27207775814188334,0.017174026473519954,0.6559874022644213
db15k,db15k_mhyper_native,X5,linear_huber,seed_x_direction,2_head,7922,0.24347197244389845,0.24360565349243943,-0.00013368104854099674,-0.0008234220238104241,0.000542388320536601,-0.0026963139555867244,0.19136581671295128,0.35647563746528654,0.8487755617268367,0.15265768791059103,0.5235190732360515,0.4168518050997223,0.10666726813632921,0.35904462304488194,0.3498043423377935,0.009240280707088433,0.611167394101718
db15k,db15k_mhyper_native,X5,linear_huber,seed_x_direction,2_tail,7922,0.5203632201947339,0.52046899143685,-0.00010577124211613702,-0.0008861541358168655,0.0006805905088490571,-0.0021333800065909936,0.05743499116384752,0.164478667003282,0.6076748295884877,0.18320441674531895,0.3979085546651723,0.27056930068164603,0.12733925398352625,0.2661275835039266,0.24252713961120928,0.023600443892717343,0.643362114964845
db15k,db15k_mhyper_native,X5,linear_huber,seed_x_direction,3_head,7922,0.24215804594911888,0.24201739790637478,0.00014064804274411546,-0.0005521231934751694,0.0008269089826947846,0.0028368365195805267,0.19351173945973238,0.378187326432719,0.818732643271901,0.17007310527902633,0.5399947082969561,0.4147879323403181,0.12520677595663798,0.37073924945829495,0.36919338550870995,0.0015458639495850024,0.6101804394965502
db15k,db15k_mhyper_native,X5,linear_huber,seed_x_direction,3_tail,7922,0.5219504572727922,0.5211712794110649,0.0007791778617271522,6.533317431668188e-05,0.0014926544794859624,0.0157158263298245,0.05188083817217874,0.15589497601615754,0.4381469325927796,0.2191005983031841,0.4350657949955373,0.27528401918707396,0.15978177580846337,0.29525498316409476,0.2665740974501389,0.028680885713955884,0.6650375736950123
