dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
db15k,db15k_native_adamf,X5,hist_gbdt,direction,head,23766,0.21430685442824687,0.2139189076083994,0.00038794681984746337,-1.620943855392221e-05,0.0008011946433060491,0.006741593864727443,0.09850206176891357,0.18101489522847766,0.3231507195152739,0.11909072095047599,0.5525078758493759,0.45613902213245816,0.09636885371691772,0.3647588789084451,0.3608516367920559,0.003907242116389209,0.5640433623947168
db15k,db15k_native_adamf,X5,hist_gbdt,direction,tail,23766,0.4298719617256334,0.42812492894987125,0.0017470327757621083,0.0009121211137104072,0.0025956481802730923,0.030359278230935073,0.03715391736093579,0.12669359589329293,0.27455188083817217,0.16738914057133064,0.49441410569578825,0.3631258941344778,0.13128821156131043,0.2995386792142128,0.2636560632836826,0.035882615930530215,0.608683657801543
db15k,db15k_native_adamf,X5,hist_gbdt,seed,1,15844,0.3210196729159285,0.3197309821223228,0.0012886907936056908,0.0005052599520437868,0.002074666062586001,0.022394383722796927,0.06835395102246908,0.1593032062610452,0.3110956829083565,0.1405040572198438,0.5250586386451103,0.41530863418328706,0.1097500044618232,0.3219447253916572,0.30562042413531937,0.016324301256337825,0.5800476956678291
db15k,db15k_native_adamf,X5,hist_gbdt,seed,2,15844,0.32666195529799913,0.32573483729034136,0.0009271180076577461,0.00014350394983862028,0.001705283167565522,0.01611110789556498,0.06109568290835648,0.13595051754607423,0.262749305730876,0.17045797206889604,0.5214809072743025,0.40758331229487504,0.11389759497942747,0.3614665894805931,0.3333564756374653,0.028110113843127837,0.5978369037247192
db15k,db15k_native_adamf,X5,hist_gbdt,seed,3,15844,0.31858659601689276,0.3175999354247419,0.0009866605921509206,0.0002665093837570018,0.0017238035255133395,0.017145816525131866,0.0740343347639485,0.16630901287553648,0.32270891189093664,0.12412761377430481,0.5327427722718812,0.40600542792224187,0.1267373443496393,0.28768224275419774,0.297784650340823,-0.010102407586625284,0.5721629606473395
db15k,db15k_native_adamf,X5,hist_gbdt,seed_x_direction,1_head,7922,0.21365618751629162,0.2128972738930182,0.0007589136232734028,0.00010233045046343869,0.00145428750909103,0.013188115393057526,0.10275183034587225,0.18871497096692755,0.3396869477404696,0.11109074189086982,0.557084790052883,0.4624652865438021,0.09461950350908094,0.35358916408620256,0.3536101994445847,-2.1035358382159863e-05,0.5578660253803243
db15k,db15k_native_adamf,X5,hist_gbdt,seed_x_direction,1_tail,7922,0.4283831583155653,0.4265646903516273,0.001818467963937979,0.0004042807091932695,0.0032793185795059504,0.03160065205253633,0.03395607169906589,0.12989144155516283,0.2825044180762434,0.16418101043130653,0.490010447593958,0.36815198182277203,0.12185846577118598,0.29848471308710806,0.257630648826054,0.040854064261054035,0.6074086490725908
db15k,db15k_native_adamf,X5,hist_gbdt,seed_x_direction,2_head,7922,0.2179915750508817,0.21778594069971022,0.00020563435117150263,-0.00042527462224664994,0.0008303871717834444,0.0035734363817702917,0.08823529411764706,0.15665236051502146,0.2794748800807877,0.1475867793460889,0.5382115167177173,0.44875662711436504,0.08945488960335224,0.39916213488644303,0.38157662206513504,0.01758551282130799,0.5756567335849745
db15k,db15k_native_adamf,X5,hist_gbdt,seed_x_direction,2_tail,7922,0.4353323355451165,0.43368373388097253,0.0016486016641439896,0.0002365515670850666,0.0030336214590662956,0.028648779409359667,0.03395607169906589,0.115248674577127,0.2460237313809644,0.19067292973389474,0.4988741545226844,0.366409997475385,0.1324641570472994,0.3338422140958547,0.2851363292097955,0.0487058848860592,0.6240642027113895
db15k,db15k_native_adamf,X5,hist_gbdt,seed_x_direction,3_head,7922,0.21127280071756727,0.21107350823246981,0.00019929248509748475,-0.00042058208470555986,0.0008159097223862944,0.003463229819354514,0.1045190608432214,0.19767735420348398,0.3502903307245645,0.09540923845148236,0.5644012298051092,0.45719515273920724,0.10720607706590196,0.33030045158346677,0.3473680888664479,-0.017067637282981107,0.5564808923928233
db15k,db15k_native_adamf,X5,hist_gbdt,seed_x_direction,3_tail,7922,0.42590039131621826,0.4241263626170139,0.0017740286992043565,0.0004902204151856957,0.003085889600684214,0.03082840323090922,0.043549608684675584,0.134940671547589,0.2951274930573088,0.1461204158975238,0.5010829910995321,0.35481570310527644,0.1462672879942557,0.25107825907647496,0.2482012118151982,0.0028770472612767717,0.5915925253813663
