dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
db15k,db15k_native_adamf,X5,mlp_high,direction,head,23766,0.2053163990720052,0.2139189076083994,-0.008602508536394245,-0.010245124516189277,-0.007034871524797329,-0.14949115652764927,0.2828410334090718,0.38921147858284943,0.8334174871665404,0.05269853821506524,0.46737469812648874,0.45613902213245816,0.01123567599403058,0.36913369132202506,0.3608516367920559,0.008282054529969163,0.5260797201814366
db15k,db15k_native_adamf,X5,mlp_high,direction,tail,23766,0.4194457001696404,0.42812492894987125,-0.008679228780230858,-0.0110464743139238,-0.006246385410392272,-0.15082437205794455,0.19157620129596903,0.28902634014979384,0.7943280316418413,0.0727933498035867,0.4028463821029534,0.3631258941344778,0.039720487968475604,0.2975639511900089,0.2636560632836826,0.03390788790632632,0.5432953979130579
db15k,db15k_native_adamf,X5,mlp_high,seed,1,15844,0.31207173542033406,0.3197309821223228,-0.007659246701988694,-0.010133528230423211,-0.005215486915957142,-0.13309950728520842,0.23346377177480435,0.34448371623327445,0.819679373895481,0.06344894667346357,0.43325610719474983,0.41530863418328706,0.017947473011462767,0.32603290505141086,0.30562042413531937,0.02041248091609149,0.5338337689833023
db15k,db15k_native_adamf,X5,mlp_high,seed,2,15844,0.3156519393688142,0.32573483729034136,-0.01008289792152719,-0.012821876065682641,-0.0073924135521674355,-0.17521680624464914,0.24173188588740216,0.33817217874274175,0.8018808381721787,0.08682144465085728,0.4343348504200792,0.40758331229487504,0.026751538125204144,0.3630912261311217,0.3333564756374653,0.029734750493656426,0.548825989773848
db15k,db15k_native_adamf,X5,mlp_high,seed,3,15844,0.3094194740733201,0.3175999354247419,-0.008180461351421774,-0.010626121771046142,-0.005723928469368793,-0.14215697934853325,0.2364301943953547,0.33470083312294874,0.820058066144913,0.03786109978211566,0.4265203105973264,0.40600542792224187,0.020514882675084556,0.29405107133690495,0.297784650340823,-0.003733579003918075,0.5189580733451502
db15k,db15k_native_adamf,X5,mlp_high,seed_x_direction,1_head,7922,0.20490161006710278,0.2128972738930182,-0.007995663825915435,-0.010535504400310392,-0.00550981836385982,-0.13894563748301625,0.2760666498359,0.3944710931582934,0.8336278717495582,0.059248819037208605,0.4729045529208708,0.4624652865438021,0.010439266377068712,0.3634479822848207,0.3536101994445847,0.009837782840236009,0.5265996717799217
db15k,db15k_native_adamf,X5,mlp_high,seed_x_direction,1_tail,7922,0.41924186077356534,0.4265646903516273,-0.007322829578061953,-0.011086720173339984,-0.003527445858858222,-0.1272533770874006,0.19086089371370865,0.2944963393082555,0.8057308760414037,0.06824840358861739,0.4024270130474313,0.36815198182277203,0.03427503122465925,0.29549205614148555,0.257630648826054,0.03786140731543153,0.5404572424944706
db15k,db15k_native_adamf,X5,mlp_high,seed_x_direction,2_head,7922,0.20763738733053988,0.21778594069971022,-0.010148553369170308,-0.012920610705348935,-0.00742431030279511,-0.1763577419099829,0.28831103256753343,0.3846250946730624,0.8237818732643272,0.07518412655564853,0.46670861498988325,0.44875662711436504,0.017951987875518216,0.40001232109260143,0.38157662206513504,0.01843569902746639,0.5386334650135862
db15k,db15k_native_adamf,X5,mlp_high,seed_x_direction,2_tail,7922,0.4236664914070884,0.43368373388097253,-0.01001724247388407,-0.01423097192088871,-0.005918102150590208,-0.17407587057931537,0.1951527392072709,0.2917192628124211,0.7799798030800303,0.09663562472560629,0.40968224830463185,0.366409997475385,0.04327225082924685,0.3323999656766912,0.2851363292097955,0.04726363646689574,0.5593281554329935
db15k,db15k_native_adamf,X5,mlp_high,seed_x_direction,3_head,7922,0.20341019981837283,0.21107350823246981,-0.007663308414096994,-0.010276855950041266,-0.005098230322025797,-0.13317009018994874,0.2841454178237819,0.3885382479171926,0.8428427164857359,0.019409068381854255,0.4626850636145205,0.45719515273920724,0.005489910875313253,0.33799820559703975,0.3473680888664479,-0.00936988326940813,0.5102648130906595
db15k,db15k_native_adamf,X5,mlp_high,seed_x_direction,3_tail,7922,0.41542874832826737,0.4241263626170139,-0.008697614288746554,-0.012430498586275361,-0.004990554531553862,-0.15114386850711778,0.18871497096692755,0.2808634183287049,0.7972734158040898,0.049989808499745506,0.39700217238999114,0.35481570310527644,0.0421864692847147,0.25652287302700716,0.2482012118151982,0.008321661211808967,0.5263529515616315
