dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
db15k,db15k_native_adamf,X6,set_encoder,direction,head,23766,0.21055152401279306,0.2139189076083994,-0.0033673835956063484,-0.0045647962393994546,-0.002162318979857165,-0.05851712509784099,0.1806362029790457,0.2723638811747875,0.5698476815618951,0.08220829569092761,0.49774957913603185,0.45613902213245816,0.04161055700357369,0.3736249805701186,0.3608516367920559,0.012773343778062718,0.5423166168896006
db15k,db15k_native_adamf,X6,set_encoder,direction,tail,23766,0.42580187817856696,0.42812492894987125,-0.002323050771304252,-0.004387126948506707,-0.00023168830960813215,-0.04036910222239447,0.14453420853319868,0.22481696541277454,0.6007742152655053,0.10733830198362956,0.4306036076464239,0.3631258941344778,0.06747771351194609,0.289327159571018,0.2636560632836826,0.025671096287335438,0.5633796678586699
db15k,db15k_native_adamf,X6,set_encoder,seed,1,15844,0.3176845964318265,0.3197309821223228,-0.002046385690496261,-0.0040651013786178695,1.661908540925084e-05,-0.03556132054733695,0.16832870487250695,0.2612976521080535,0.6118404443322394,0.09929980997347253,0.46485922604373653,0.41530863418328706,0.04955059186044947,0.3274622208097092,0.30562042413531937,0.021841796674389846,0.5540817480616276
db15k,db15k_native_adamf,X6,set_encoder,seed,2,15844,0.32259402715406776,0.32573483729034136,-0.003140810136273565,-0.005226754582514619,-0.0010445880457378525,-0.05457981677308517,0.15444332239333503,0.24614996213077506,0.5697424892703863,0.11186238289118529,0.4609180269260311,0.40758331229487504,0.05333471463115608,0.3571064940719529,0.3333564756374653,0.023750018434487596,0.5632835031764604
db15k,db15k_native_adamf,X6,set_encoder,seed,3,15844,0.3142514797011458,0.3175999354247419,-0.0033484557235960747,-0.005365995895647419,-0.0013082432044036196,-0.058188203659931076,0.1649835900025246,0.2383236556425145,0.5743499116384752,0.0752146051160479,0.4515524924883995,0.40600542792224187,0.04554706456615765,0.2986695501098637,0.297784650340823,0.000884899769040659,0.538670075488097
db15k,db15k_native_adamf,X6,set_encoder,seed_x_direction,1_head,7922,0.21114207021464373,0.2128972738930182,-0.0017552036783744648,-0.0036715128531887194,0.00015327345761047433,-0.030501269102112743,0.19300681646048978,0.29537995455693006,0.6081797525877304,0.08911101987865418,0.5117848367533498,0.4624652865438021,0.04931955020954776,0.36520841925047215,0.3536101994445847,0.011598219805887433,0.5450486498649959
db15k,db15k_native_adamf,X6,set_encoder,seed_x_direction,1_tail,7922,0.4242271226490093,0.4265646903516273,-0.002337567702618056,-0.005788289717379217,0.0010834790548092485,-0.04062137199256115,0.14365059328452412,0.22721534965917697,0.6155011360767483,0.10685660308081663,0.4293675849526971,0.36815198182277203,0.06121560312992508,0.29305010468225245,0.257630648826054,0.035419455856198434,0.562611970697164
db15k,db15k_native_adamf,X6,set_encoder,seed_x_direction,2_head,7922,0.2130638815472006,0.21778594069971022,-0.004722059152509562,-0.006702580345030922,-0.002749927145079428,-0.08205816720950415,0.16826558949760162,0.2619288058571068,0.5414036859378945,0.1003561747087913,0.49162801677933166,0.44875662711436504,0.04287138966496662,0.40617434657798523,0.38157662206513504,0.024597724512850194,0.5549423715082837
db15k,db15k_native_adamf,X6,set_encoder,seed_x_direction,2_tail,7922,0.43212417276093495,0.43368373388097253,-0.0015595611200375679,-0.005057221731663768,0.001886421638930972,-0.02710146633666618,0.14062105528906843,0.23037111840444333,0.598081292602878,0.1202345296936119,0.43941348034840827,0.366409997475385,0.07300348287302327,0.31290745500149203,0.2851363292097955,0.02777112579169655,0.5716529516349163
db15k,db15k_native_adamf,X6,set_encoder,seed_x_direction,3_head,7922,0.2074486202765348,0.21107350823246981,-0.0036248879559350198,-0.005631436068448792,-0.0016430836265582877,-0.06299193898190611,0.1806362029790457,0.25978288311032566,0.5599596061600606,0.052418261332897655,0.49016411657005743,0.45719515273920724,0.032968963830850184,0.34290423766803807,0.3473680888664479,-0.004463851198409807,0.523737932238375
db15k,db15k_native_adamf,X6,set_encoder,seed_x_direction,3_tail,7922,0.4210543391257568,0.4241263626170139,-0.0030720234912571306,-0.006410607662192422,0.00030341586279139743,-0.05338446833795606,0.14933097702600354,0.21686442817470336,0.5887402171168896,0.0925802849819377,0.42285367645383076,0.35481570310527644,0.06803797334855433,0.25732221878302636,0.2482012118151982,0.009121006967828166,0.5539155541145557
