dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
mkg_w,mkgw_mhyper_adamf,X5,linear_huber,direction,head,12828,0.1895108628794314,0.1891354783297105,0.0003753845497209057,-5.360367391250033e-05,0.0007975679960553847,0.009191414493228918,0.10796694730277517,0.4334268787028375,0.6666666666666666,0.23128127252392874,0.6783886269941193,0.5257678515746804,0.15262077541943886,0.3464768677586428,0.3117321484253196,0.03474471933332318,0.6440447187354428
mkg_w,mkgw_mhyper_adamf,X5,linear_huber,direction,tail,12828,0.5163163901259058,0.5165084524038296,-0.00019206227792375533,-0.0009110921762100136,0.0005403776230206209,-0.00470270821274734,0.04685063922669161,0.19628936700966634,0.5079513564078578,0.3091075851173511,0.5740865909648789,0.3179685063922669,0.256118084572612,0.2677320439174477,0.233933582787652,0.033798461129795704,0.7126487641080088
mkg_w,mkgw_mhyper_adamf,X5,linear_huber,seed,1,8552,0.3526431452789329,0.3527399793479297,-9.68340689968241e-05,-0.0007765026751842381,0.0005595826120095079,-0.002371014113067452,0.07682413470533209,0.30694574368568756,0.5606875584658559,0.3064973079750359,0.6433380482978079,0.4206676800748363,0.22267036822297165,0.31623705656977286,0.28021515434985966,0.03602190221991319,0.6874869968327566
mkg_w,mkgw_mhyper_adamf,X5,linear_huber,seed,2,8552,0.3531963903141263,0.3528303737305676,0.00036601658355884457,-0.0004113697504163857,0.0011362150562017257,0.008962036752408033,0.07717492984097288,0.3178203928905519,0.5884003741814781,0.2708887468791971,0.626469371141412,0.42091908325537886,0.20555028788603313,0.28103212820348744,0.2675865294667914,0.01344559873669604,0.6634074134715057
mkg_w,mkgw_mhyper_adamf,X5,linear_huber,seed,3,8552,0.3529013439149465,0.3528955430218128,5.800893133704988e-06,-0.0007298194813729714,0.0007387772649635154,0.00014203678138178516,0.07822731524789522,0.31980823199251635,0.6128391019644528,0.2811876514438152,0.6194208803243655,0.4240177736202058,0.19540310670415967,0.2991118519259422,0.27069691300280635,0.028414938923135846,0.6726059242710807
mkg_w,mkgw_mhyper_adamf,X5,linear_huber,seed_x_direction,1_head,4276,0.18799274569179625,0.18778539658388446,0.00020734910791179233,-0.00047626837365820606,0.000862623854924337,0.005077011286254322,0.11108512628624884,0.41884939195509824,0.647801683816651,0.24854587591669808,0.6774854513374771,0.5197614593077643,0.15772399202971277,0.36553147193420593,0.3217492984097287,0.04378217352447722,0.6529338181560711
mkg_w,mkgw_mhyper_adamf,X5,linear_huber,seed_x_direction,1_tail,4276,0.5172935448660697,0.5176945621119751,-0.0004010172459054407,-0.001565203072811304,0.0007113166568122917,-0.00981903951238923,0.042563143124415344,0.1950420954162769,0.4735734331150608,0.3336824915458678,0.6018501347974592,0.32157390084190834,0.28027623395555085,0.28751857019027804,0.23868101028999064,0.0488375599002874,0.7301148858869992
mkg_w,mkgw_mhyper_adamf,X5,linear_huber,seed_x_direction,2_head,4276,0.1884099600538801,0.18807089801205343,0.00033906204182665537,-0.00016554898590495285,0.0008335867780250434,0.008302045909098719,0.10617399438727783,0.43732460243217963,0.6749298409728719,0.21278005843345163,0.6747301658667976,0.5296538821328344,0.1450762837339632,0.3263380838975717,0.30280636108512626,0.02353172281244542,0.6339501490358085
mkg_w,mkgw_mhyper_adamf,X5,linear_huber,seed_x_direction,2_tail,4276,0.5179828205743726,0.5175898494490816,0.00039297112529103367,-0.001010980227668325,0.0017668249413600448,0.009622027595717344,0.04817586529466791,0.19831618334892423,0.5018709073900842,0.2884347906328267,0.5713380763301206,0.3121842843779233,0.2591537919521973,0.2503302556487146,0.2323666978484565,0.017963557800258073,0.6984181956144163
mkg_w,mkgw_mhyper_adamf,X5,linear_huber,seed_x_direction,3_head,4276,0.19212988289261781,0.19155014039319354,0.0005797424994242691,-0.000291006479894583,0.0014644352836480925,0.014195186284333706,0.10664172123479888,0.4441066417212348,0.6772684752104771,0.23177618677905668,0.6833735856203869,0.5278882132834425,0.15548537233694437,0.346924425157699,0.3106407857811038,0.03628363937659518,0.6445902746540803
mkg_w,mkgw_mhyper_adamf,X5,linear_huber,seed_x_direction,3_tail,4276,0.5136728049372752,0.5142409456504321,-0.0005681407131568593,-0.0017107484560870037,0.0005198545203151324,-0.013911112721570138,0.04981290926099158,0.19550982226379796,0.5484097287184284,0.30361447682623754,0.5559210272239485,0.32014733395696915,0.2357736932669794,0.2658800094654606,0.23075304022450888,0.03512696924095171,0.7087931233460099
