dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
mkg_w,mkgw_native_adamf,X1,mlp_high,direction,head,12828,0.1757713006125293,0.18299266870326894,-0.007221368090739649,-0.0090612681231793,-0.005379137164169518,-0.15156639204171557,0.3804957904583723,0.3238228874337387,0.8832241970689118,0.09304365595201532,0.3545894442176838,0.34195120049890865,0.012638243718775144,0.5020374473617065,0.49214998440910507,0.009887462952601456,0.5419844909840121
mkg_w,mkgw_native_adamf,X1,mlp_high,direction,tail,12828,0.47876373469930616,0.4867179107759113,-0.00795417607660516,-0.010920690070514017,-0.005053965435050995,-0.16694700428601067,0.21796071094480823,0.21616775802931087,0.8277206111630807,0.10917204023394912,0.27868992672293824,0.2543264733395697,0.02436345338336854,0.3838072656725266,0.30914016214530715,0.07466710352721945,0.5747568104120959
mkg_w,mkgw_native_adamf,X1,mlp_high,seed,1,8552,0.3252058136757589,0.3345257176380267,-0.009319903962267735,-0.012275900501753947,-0.006297578112577496,-0.195611717888698,0.3009822263797942,0.2749064546304958,0.8552385406922357,0.10274661214884308,0.3232037561600386,0.30886342376052384,0.014340332399514766,0.43665336510276,0.39751520112254446,0.03913816398021552,0.5572562230495418
mkg_w,mkgw_native_adamf,X1,mlp_high,seed,2,8552,0.3265995959904245,0.334091034062247,-0.007491438071822492,-0.01025207715740693,-0.004814545708657233,-0.1572347823130815,0.29817586529466794,0.2573666978484565,0.8476379794200187,0.09404274285922674,0.28659153980916213,0.2811973807296539,0.005394159079508243,0.4485332560856203,0.4100152011225444,0.038518054963075865,0.5488272677505717
mkg_w,mkgw_native_adamf,X1,mlp_high,seed,3,8552,0.32999714330156976,0.3359491175184967,-0.005951974216926987,-0.008932235005678326,-0.0029148853911438984,-0.12492359428980987,0.2985266604303087,0.27771281571562206,0.8635406922357344,0.10749192718213223,0.32146307913050753,0.30435570626753977,0.017107372862967762,0.4313030505044689,0.39440481758652945,0.03689823291793942,0.5593033184470254
mkg_w,mkgw_native_adamf,X1,mlp_high,seed_x_direction,1_head,4276,0.17526657050654004,0.18382173480450886,-0.008555164297968777,-0.011458799998650985,-0.005680659457296212,-0.17956090448152354,0.377689429373246,0.32670720299345185,0.877221702525725,0.09573139221924203,0.3705024027479513,0.35365996258185217,0.01684244016609915,0.4933920300856054,0.484810570626754,0.008581459458851415,0.5466418490968826
mkg_w,mkgw_native_adamf,X1,mlp_high,seed_x_direction,1_tail,4276,0.47514505684497776,0.4852297004715445,-0.010084643626566695,-0.015012115586789396,-0.005179334997616666,-0.2116625312958725,0.22427502338634236,0.22310570626753976,0.8332553788587465,0.10859560496316081,0.28864105855299593,0.2640668849391955,0.024574173613800432,0.38796100906372005,0.3102198316183349,0.07774117744538517,0.5729848917338877
mkg_w,mkgw_native_adamf,X1,mlp_high,seed_x_direction,2_head,4276,0.17487142178403775,0.18054802933677727,-0.005676607552739541,-0.00845446576704132,-0.002942229182532115,-0.11914403406589957,0.3786248830682881,0.31594948550046775,0.8741814780168382,0.09660878692543882,0.3339064424995714,0.3241463985032741,0.009760043996297318,0.5143990036140906,0.503987371375117,0.010411632238973678,0.5401359920290981
mkg_w,mkgw_native_adamf,X1,mlp_high,seed_x_direction,2_tail,4276,0.4783277701968112,0.48763403878771666,-0.009306268590905442,-0.01380146406231215,-0.004949266740355827,-0.1953255305602634,0.2177268475210477,0.19878391019644528,0.8210944808231992,0.09454541639529203,0.24933402016908418,0.2382483629560337,0.011085657213050493,0.3939579903838248,0.31604303086997193,0.07791495951385286,0.5641458319525037
mkg_w,mkgw_native_adamf,X1,mlp_high,seed_x_direction,3_head,4276,0.17717590954701007,0.1846082419685207,-0.007432332421510629,-0.010523685983045011,-0.0044601378248491025,-0.15599423757772363,0.3851730589335828,0.32881197380729654,0.8982694106641721,0.08682576107077669,0.35924636260180665,0.3480472404115996,0.011199122190207023,0.49837709225760074,0.4876520112254443,0.010725081032156414,0.5379972116124554
mkg_w,mkgw_native_adamf,X1,mlp_high,seed_x_direction,3_tail,4276,0.48281837705612946,0.48728999306847276,-0.004471616012343345,-0.009329061903425778,0.0003219647506779825,-0.09385295100189611,0.2118802619270346,0.2266136576239476,0.8288119738072965,0.1237584407950231,0.2970527204118114,0.26066417212347986,0.036388548288331546,0.37020641032628127,0.3011576239476146,0.06904878637866668,0.5854791261205685
