dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
mkg_w,mkgw_native_adamf,X3,mlp_low,direction,head,12828,0.18039521306047562,0.18299266870326894,-0.0025974556427933145,-0.0037764404307391404,-0.0014640149957577174,-0.054516952372421504,0.24454318677892112,0.23440910508263174,0.6246492048643593,0.11956171405325966,0.3858501084577632,0.34195120049890865,0.04389890795885454,0.5175196483492361,0.49214998440910507,0.02536966394013107,0.5618716934293336
mkg_w,mkgw_native_adamf,X3,mlp_low,direction,tail,12828,0.4837264347981807,0.4867179107759113,-0.0029914759777305944,-0.005487534854303872,-0.00044315163846666303,-0.06278688679580235,0.1672903024633614,0.15645463049579045,0.682725288431556,0.11819929636553664,0.29228451166140207,0.2543264733395697,0.037958038321832366,0.4035496412386502,0.30914016214530715,0.09440947909334307,0.5776160242558063
mkg_w,mkgw_native_adamf,X3,mlp_low,seed,1,8552,0.33185351411433955,0.3345257176380267,-0.0026722035236871437,-0.005003594586394227,-0.0002646844087500819,-0.05608580559766697,0.21293264733395698,0.2005378858746492,0.6645229186155285,0.1319541032680537,0.34447599568403103,0.30886342376052384,0.0356125719235072,0.46307605611991187,0.39751520112254446,0.06556085499736741,0.5750396175368891
mkg_w,mkgw_native_adamf,X3,mlp_low,seed,2,8552,0.32905133617385496,0.334091034062247,-0.00503969788839204,-0.007108325746204137,-0.003026637597662527,-0.10577619314314676,0.19176800748362957,0.18451824134705333,0.6311973807296539,0.10457874589283313,0.29874464794405053,0.2811973807296539,0.017547267214396645,0.46558242053068316,0.4100152011225444,0.055567219408138746,0.5559230523799373
mkg_w,mkgw_native_adamf,X3,mlp_low,seed,3,8552,0.33527762149979007,0.3359491175184967,-0.0006714960187066804,-0.002986380660851211,0.001645597628955214,-0.014093760011522063,0.21304957904583724,0.20123947614593077,0.6653414405986904,0.1294951253116368,0.3388650940132408,0.30435570626753977,0.034509387745701,0.45487316311927944,0.39440481758652945,0.06046834553274999,0.5734969435201561
mkg_w,mkgw_native_adamf,X3,mlp_low,seed_x_direction,1_head,4276,0.18228782962876117,0.18382173480450886,-0.0015339051757476713,-0.003407227217060785,0.0003536389572095241,-0.03219451914109194,0.24929840972871842,0.24134705332086062,0.6358746492048644,0.13825196763332032,0.406643030943677,0.35365996258185217,0.052983068361824814,0.5185894325176992,0.484810570626754,0.0337788618909452,0.5728423469812542
mkg_w,mkgw_native_adamf,X3,mlp_low,seed_x_direction,1_tail,4276,0.48141919859991794,0.4852297004715445,-0.003810501871626616,-0.007987731950174827,0.00034517769066747715,-0.07997709205424199,0.1765668849391955,0.1597287184284378,0.6931711880261927,0.12044131315283406,0.30639852501401876,0.2640668849391955,0.04233164007482326,0.40776175850673163,0.3102198316183349,0.09754192688839675,0.5780547643163263
mkg_w,mkgw_native_adamf,X3,mlp_low,seed_x_direction,2_head,4276,0.1776067363948596,0.18054802933677727,-0.0029412929419176757,-0.004756929336963234,-0.0011903819717211013,-0.06173361522948821,0.22310570626753976,0.22170252572497662,0.5954162768942938,0.0946178520750447,0.35258727855678257,0.3241463985032741,0.028440880053508477,0.5202753110701063,0.503987371375117,0.016287939694989317,0.5467615986654922
mkg_w,mkgw_native_adamf,X3,mlp_low,seed_x_direction,2_tail,4276,0.4804959359528503,0.48763403878771666,-0.007138102834866404,-0.010923645751739984,-0.0034373390916368125,-0.1498187710568053,0.16043030869971936,0.14733395696913001,0.6669784845650141,0.10434267450635154,0.2650688279336707,0.2382483629560337,0.026820464977637015,0.40667152815723,0.31604303086997193,0.09062849728725808,0.5665882706504775
mkg_w,mkgw_native_adamf,X3,mlp_low,seed_x_direction,3_head,4276,0.1812910731578061,0.1846082419685207,-0.0033171688107145967,-0.005412407277139874,-0.001259987059551119,-0.06962272274668437,0.26122544434050515,0.240177736202058,0.6426566884939195,0.12446956578583461,0.3963333773754347,0.3480472404115996,0.0482861369638351,0.5128682165045454,0.4876520112254443,0.025216205279101067,0.5625880575022921
mkg_w,mkgw_native_adamf,X3,mlp_low,seed_x_direction,3_tail,4276,0.489264169841774,0.48728999306847276,0.0019741767733012375,-0.0021202150914442657,0.006094094029125424,0.04143520272364027,0.16487371375116933,0.16230121608980355,0.6880261927034612,0.12791537310159637,0.30404973249267603,0.26066417212347986,0.04338556036919616,0.39592797232934257,0.3011576239476146,0.09477034838172799,0.5856965270576308
