outer_fold,inner_fold,config_index,config,probe_delta_mrr,spearman
1,1,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",-0.00013063053561170724,0.1436672775626872
1,2,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",0.0010235645479529485,0.13978043371072676
1,3,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",-0.0004790014287381664,0.14985706288713452
1,1,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",-0.00013094726112597449,0.1436893352582471
1,2,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",0.0010235645479529485,0.13977542443390695
1,3,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",-0.00047900289684737785,0.14989263362728555
2,1,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",0.0009343202207490346,0.13007207753448422
2,2,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",0.00022005190012090197,0.1253451528808678
2,3,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",7.870743206171154e-05,0.1406407517706494
2,1,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",0.0009340639221343811,0.13007784059893174
2,2,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",0.00021997498873922537,0.1253332519905809
2,3,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",0.0001686682922629433,0.14064630621154492
3,1,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",-0.0001599336319869273,0.13219284126239841
3,2,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",0.00041886327455920155,0.1239199317722537
3,3,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",-5.597580348126643e-06,0.15632551017569604
3,1,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",-0.00015942817305915637,0.1322017516173468
3,2,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",0.00041886327455920155,0.12395122445952403
3,3,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",6.735581723387005e-05,0.15636735787391826
4,1,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",-0.0005583693944927536,0.1252658822725652
4,2,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",0.0006275681989247281,0.13641277653704556
4,3,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",-0.00020035781394219283,0.135528088729268
4,1,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",-0.0005582216232458575,0.12532536403710845
4,2,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",0.0006275681989247281,0.13642417533104256
4,3,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",-0.00020035781394219283,0.13548573135507447
5,1,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",-0.0003755663265653508,0.11465187746823162
5,2,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",-7.91755088074555e-05,0.11280527187935462
5,3,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",-0.001102837042376126,0.16492372921841406
5,1,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",-0.0003728178805300314,0.11461307444396038
5,2,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",-7.659786913780034e-05,0.11283866338037651
5,3,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",-0.001103444724081638,0.1649672182241356
