dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
mkg_w,mkgw_native_adamf,X6,set_encoder,direction,head,12828,0.18052809466388192,0.18299266870326894,-0.0024645740393869978,-0.0035603561088429635,-0.0013568043345416503,-0.05172795381370786,0.2173370751481135,0.18405051449953228,0.5095104458995946,0.08305111339598488,0.36686731061107575,0.34195120049890865,0.0249161101121671,0.49971865538503474,0.49214998440910507,0.00756867097592967,0.5408592897870065
mkg_w,mkgw_native_adamf,X6,set_encoder,direction,tail,12828,0.48387864817056747,0.4867179107759113,-0.0028392626053438483,-0.005299902769235462,-0.00033988006243991894,-0.05959214150886072,0.13883691923916433,0.13041783598378548,0.5354692859370128,0.0907661750588197,0.2923526109381114,0.2543264733395697,0.038026137598541676,0.3688834838336081,0.30914016214530715,0.05974332168830093,0.5605391845577343
mkg_w,mkgw_native_adamf,X6,set_encoder,seed,1,8552,0.3325388078226669,0.3345257176380267,-0.001986909815359735,-0.0041327337902308725,0.00023077022777205058,-0.041702451425032,0.18533676333021515,0.16195042095416276,0.5301683816651076,0.09645263964658614,0.3391953226877543,0.30886342376052384,0.030331898927230483,0.43041927314168155,0.39751520112254446,0.03290407201913709,0.5563761952426021
mkg_w,mkgw_native_adamf,X6,set_encoder,seed,2,8552,0.329946693145607,0.334091034062247,-0.004144340916640027,-0.00629698853116646,-0.0020081495633479463,-0.08698390557482961,0.17633302151543498,0.14850327408793265,0.5146164639850327,0.057821671784494,0.2980661865495756,0.2811973807296539,0.01686880581992173,0.4252320781739394,0.4100152011225444,0.015216877051394961,0.5299643300571544
mkg_w,mkgw_native_adamf,X6,set_encoder,seed,3,8552,0.3341246132834002,0.3359491175184967,-0.0018245042350965074,-0.004147911769711852,0.0005261283290237664,-0.03829378598399125,0.1725912067352666,0.1612488306828812,0.5226847521047708,0.09997242642124779,0.3327927633894815,0.30435570626753977,0.028437057121941722,0.42577981256037384,0.39440481758652945,0.03137499497384438,0.5552248609149858
mkg_w,mkgw_native_adamf,X6,set_encoder,seed_x_direction,1_head,4276,0.18026797370949985,0.18382173480450886,-0.003553761095008998,-0.005508518614223467,-0.0016809918427667066,-0.07458846309737979,0.23129092609915808,0.18755846585594013,0.5238540692235735,0.10244591316729137,0.38745699734669736,0.35365996258185217,0.03379703476484519,0.5036875073122559,0.484810570626754,0.01887693668550189,0.5537284371581419
mkg_w,mkgw_native_adamf,X6,set_encoder,seed_x_direction,1_tail,4276,0.48480964193583403,0.4852297004715445,-0.00042005853571047035,-0.004284848812541431,0.003439897766595785,-0.008816439752684185,0.13938260056127222,0.13634237605238542,0.5364826941066417,0.09592718560873108,0.3009719133906804,0.2640668849391955,0.03690502845148491,0.374773421320519,0.3102198316183349,0.06455358970218411,0.5642031483175212
mkg_w,mkgw_native_adamf,X6,set_encoder,seed_x_direction,2_head,4276,0.177851039938805,0.18054802933677727,-0.0026969893979722722,-0.004527506794927108,-0.00089058168642663,-0.056606026349717245,0.21819457436856876,0.18685687558465855,0.5156688493919551,0.057256688378859506,0.34086715709561577,0.3241463985032741,0.016720758592341678,0.5001954872690869,0.503987371375117,-0.0037918841060300412,0.5271353414389034
mkg_w,mkgw_native_adamf,X6,set_encoder,seed_x_direction,2_tail,4276,0.48204234635240883,0.48763403878771666,-0.005591692435307782,-0.009370091418382234,-0.001974151686395046,-0.11736178479994198,0.13447146866230122,0.11014967259120674,0.5135640785781104,0.06176600371898469,0.26466757114155054,0.2382483629560337,0.02641920818551685,0.36521803449210505,0.31604303086997193,0.04917500362213312,0.5385952590860104
mkg_w,mkgw_native_adamf,X6,set_encoder,seed_x_direction,3_head,4276,0.18346527034334098,0.1846082419685207,-0.001142971625179722,-0.003014923304959496,0.0007175419774678152,-0.023989371994026527,0.20252572497661367,0.17773620205799812,0.4890084190832554,0.08835383834893225,0.3707567463999325,0.3480472404115996,0.02270950598833288,0.4952080314450706,0.4876520112254443,0.007556020219626258,0.5402517446836977
mkg_w,mkgw_native_adamf,X6,set_encoder,seed_x_direction,3_tail,4276,0.4847839562234595,0.48728999306847276,-0.002506036845013293,-0.006628539319489873,0.001604528584337644,-0.052598199973955984,0.14265668849391955,0.14476145930776427,0.5563610851262862,0.11162661611857694,0.30933268529140295,0.26066417212347986,0.04866851316792309,0.3668111196145649,0.3011576239476146,0.06565349566695033,0.5756523308308708
