pair_id,level,group_key,fold_count,median_alpha,foldwise_mad,mean_support_original_triples
mkgw_mhyper_native,L0,"[""global""]",5,0.6,0.0,3420.8
mkgw_mhyper_native,L1,"[""head""]",5,0.25,0.0,3420.8
mkgw_mhyper_native,L1,"[""tail""]",5,0.6,0.04999999999999993,3420.8
mkgw_mhyper_native,L2,[0],5,0.2,0.04999999999999999,663.2
mkgw_mhyper_native,L2,[1],5,1.0,0.0,107.2
mkgw_mhyper_native,L2,[2],5,0.55,0.1499999999999999,108.8
mkgw_mhyper_native,L2,[3],5,1.0,0.0,113.6
mkgw_mhyper_native,L2,[4],5,0.6,0.30000000000000004,26.4
mkgw_mhyper_native,L2,[5],5,0.35,0.0,123.2
mkgw_mhyper_native,L2,[6],5,0.1,0.0,46.4
mkgw_mhyper_native,L2,[7],5,0.1,0.0,96.0
mkgw_mhyper_native,L2,[8],5,0.85,0.0,76.0
mkgw_mhyper_native,L2,[9],5,0.7,0.0,56.8
mkgw_mhyper_native,L2,[10],5,0.5,0.0,33.6
mkgw_mhyper_native,L2,[11],5,0.2,0.0,142.4
mkgw_mhyper_native,L2,[13],5,0.9,0.0,369.6
mkgw_mhyper_native,L2,[14],5,1.0,0.0,60.8
mkgw_mhyper_native,L2,[15],5,0.4,0.09999999999999998,32.8
mkgw_mhyper_native,L2,[16],5,0.75,0.050000000000000044,103.2
mkgw_mhyper_native,L2,[18],5,0.25,0.0,134.4
mkgw_mhyper_native,L2,[21],5,0.2,0.0,100.8
mkgw_mhyper_native,L2,[22],5,0.7,0.0,150.4
mkgw_mhyper_native,L2,[29],5,1.0,0.0,60.0
mkgw_mhyper_native,L2,[30],5,0.3,0.0,100.0
mkgw_mhyper_native,L2,[31],5,0.0,0.0,60.0
mkgw_mhyper_native,L2,[32],5,0.15,0.0,64.8
mkgw_mhyper_native,L2,[34],5,0.35,0.0,73.6
mkgw_mhyper_native,L2,[37],5,0.2,0.05000000000000002,32.8
mkgw_mhyper_native,L2,[48],5,0.5,0.0,25.6
mkgw_mhyper_native,L2,[50],5,0.45,0.0,31.2
mkgw_mhyper_native,L2,[56],5,0.3,0.10000000000000003,38.4
mkgw_mhyper_native,L2,[58],5,0.45,0.0,26.4
mkgw_mhyper_native,L3,"[0,""head""]",5,0.2,0.04999999999999999,663.2
mkgw_mhyper_native,L3,"[1,""head""]",5,1.0,0.0,107.2
mkgw_mhyper_native,L3,"[2,""head""]",5,0.5,0.0,108.8
mkgw_mhyper_native,L3,"[3,""head""]",5,0.75,0.09999999999999998,113.6
mkgw_mhyper_native,L3,"[4,""head""]",5,0.3,0.0,26.4
mkgw_mhyper_native,L3,"[5,""head""]",5,0.35,0.0,123.2
mkgw_mhyper_native,L3,"[6,""head""]",5,0.1,0.0,46.4
mkgw_mhyper_native,L3,"[7,""head""]",5,0.25,0.0,96.0
mkgw_mhyper_native,L3,"[8,""head""]",5,0.9,0.04999999999999993,76.0
mkgw_mhyper_native,L3,"[9,""head""]",5,0.45,0.0,56.8
mkgw_mhyper_native,L3,"[10,""head""]",5,0.7,0.0,33.6
mkgw_mhyper_native,L3,"[11,""head""]",5,0.4,0.0,142.4
mkgw_mhyper_native,L3,"[13,""head""]",5,0.25,0.0,369.6
mkgw_mhyper_native,L3,"[14,""head""]",5,1.0,0.0,60.8
mkgw_mhyper_native,L3,"[15,""head""]",5,0.0,0.0,32.8
mkgw_mhyper_native,L3,"[16,""head""]",5,0.6,0.0,103.2
mkgw_mhyper_native,L3,"[18,""head""]",5,0.05,0.0,134.4
mkgw_mhyper_native,L3,"[21,""head""]",5,0.1,0.04999999999999999,100.8
mkgw_mhyper_native,L3,"[22,""head""]",5,0.65,0.0,150.4
mkgw_mhyper_native,L3,"[29,""head""]",5,1.0,0.0,60.0
mkgw_mhyper_native,L3,"[30,""head""]",5,0.3,0.0,100.0
mkgw_mhyper_native,L3,"[31,""head""]",5,0.0,0.0,60.0
mkgw_mhyper_native,L3,"[32,""head""]",5,0.15,0.0,64.8
mkgw_mhyper_native,L3,"[34,""head""]",5,0.25,0.0,73.6
mkgw_mhyper_native,L3,"[37,""head""]",5,0.25,0.0,32.8
