dataset,pair_id,level,scope,value,count,delta_mrr,clustered_ci95_low,clustered_ci95_high
mkg_w,mkgw_mhyper_native,L0,seed,1,8552,0.0,0.0,0.0
mkg_w,mkgw_mhyper_native,L0,seed,2,8552,0.0,0.0,0.0
mkg_w,mkgw_mhyper_native,L0,seed,3,8552,0.0,0.0,0.0
mkg_w,mkgw_mhyper_native,L0,direction,head,12828,0.0,0.0,0.0
mkg_w,mkgw_mhyper_native,L0,direction,tail,12828,0.0,0.0,0.0
mkg_w,mkgw_mhyper_native,L1,seed,1,8552,0.0008251389490751095,-0.0010237562628013126,0.0026860075773712027
mkg_w,mkgw_mhyper_native,L1,seed,2,8552,0.000792763332506527,-0.001056363825088176,0.002707926759947233
mkg_w,mkgw_mhyper_native,L1,seed,3,8552,0.00021098559557781817,-0.0016387698974444401,0.0020867438237035995
mkg_w,mkgw_mhyper_native,L1,direction,head,12828,0.002036393145431006,-0.00043486455767262225,0.004457881901373835
mkg_w,mkgw_mhyper_native,L1,direction,tail,12828,-0.0008171345606580362,-0.0019294589481789585,0.00028807820599044447
mkg_w,mkgw_mhyper_native,L2,seed,1,8552,0.004882605492470069,0.002669562176810734,0.0070739422940545565
mkg_w,mkgw_mhyper_native,L2,seed,2,8552,0.004271798543976387,0.0018992248567993551,0.006619671535428015
mkg_w,mkgw_mhyper_native,L2,seed,3,8552,0.003962679782990717,0.001551529667151958,0.006362382110936156
mkg_w,mkgw_mhyper_native,L2,direction,head,12828,0.004736712669958605,0.002945194594331707,0.006563072204264698
mkg_w,mkgw_mhyper_native,L2,direction,tail,12828,0.004008009876332843,0.0015448844619092446,0.006419603786463986
mkg_w,mkgw_mhyper_native,L3,seed,1,8552,0.005125612719395815,0.002883454566888973,0.007321421582760727
mkg_w,mkgw_mhyper_native,L3,seed,2,8552,0.005209732672589514,0.0029699251222842084,0.007475544984664015
mkg_w,mkgw_mhyper_native,L3,seed,3,8552,0.003853098903550518,0.0014639214483754832,0.006290294704465266
mkg_w,mkgw_mhyper_native,L3,direction,head,12828,0.005439082702689947,0.0035206990259772242,0.007376965193262779
mkg_w,mkgw_mhyper_native,L3,direction,tail,12828,0.004019880161000618,0.0017011190945339537,0.006365569452334441
mkg_w,mkgw_mhyper_native,L4,seed,1,8552,0.004334150315092189,0.0022411590661548576,0.006464732045197608
mkg_w,mkgw_mhyper_native,L4,seed,2,8552,0.004582972604603729,0.002443585646516811,0.0066927957793261215
mkg_w,mkgw_mhyper_native,L4,seed,3,8552,0.004831774903612474,0.0026902807608036212,0.006975970043150325
mkg_w,mkgw_mhyper_native,L4,direction,head,12828,0.004802302476392319,0.0028712923723337204,0.006724276662723373
mkg_w,mkgw_mhyper_native,L4,direction,tail,12828,0.004363629405813275,0.00219531887227032,0.006557032620428984
mkg_w,mkgw_mhyper_native,L5,seed,1,8552,0.007128783158941503,0.004580928991681458,0.009705443870121596
mkg_w,mkgw_mhyper_native,L5,seed,2,8552,0.005842076632593112,0.003235159166143706,0.008399292762748492
mkg_w,mkgw_mhyper_native,L5,seed,3,8552,0.009046207000280805,0.006247709494978975,0.011945953126230657
mkg_w,mkgw_mhyper_native,L5,direction,head,12828,0.00555656851682195,0.003093798385152253,0.007966863426351155
mkg_w,mkgw_mhyper_native,L5,direction,tail,12828,0.009121476011054997,0.006471537132619193,0.011722947599807531
mkg_w,mkgw_mhyper_adamf,L0,seed,1,8552,0.0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,L0,seed,2,8552,0.0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,L0,seed,3,8552,0.0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,L0,direction,head,12828,0.0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,L0,direction,tail,12828,0.0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,L1,seed,1,8552,0.0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,L1,seed,2,8552,0.0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,L1,seed,3,8552,0.0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,L1,direction,head,12828,0.0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,L1,direction,tail,12828,0.0,0.0,0.0
mkg_w,mkgw_mhyper_adamf,L2,seed,1,8552,-0.0010305730055344335,-0.0021894804870485974,6.126873564292716e-05
mkg_w,mkgw_mhyper_adamf,L2,seed,2,8552,-0.0007725604359905997,-0.001893944716489623,0.00037324624184495995
mkg_w,mkgw_mhyper_adamf,L2,seed,3,8552,-0.0011478273101242168,-0.002289332197624395,-6.923745263814436e-05
