dataset,pair_id,source_seed,target_seed,cell_type,headroom,ci95_low,ci95_high
mkg_w,mkgw_mhyper_native,1,1,raw_oracle,0.045630789360363015,0.04274625122275512,0.048736504820433305
mkg_w,mkgw_mhyper_native,1,2,cross_seed_transfer,0.01080235620905667,0.009082009892793964,0.012588506342063656
mkg_w,mkgw_mhyper_native,1,3,cross_seed_transfer,0.011385206456337657,0.009599825506796575,0.01325151120438431
mkg_w,mkgw_mhyper_native,2,2,raw_oracle,0.045961335836757156,0.043090346778126676,0.04906505785458552
mkg_w,mkgw_mhyper_native,2,1,cross_seed_transfer,0.011301034405200135,0.009647706305823813,0.013031927595160012
mkg_w,mkgw_mhyper_native,2,3,cross_seed_transfer,0.010401531104199785,0.008663628062972504,0.012158761961209982
mkg_w,mkgw_mhyper_native,3,3,raw_oracle,0.0482836324433685,0.045264968810719536,0.051412425829073835
mkg_w,mkgw_mhyper_native,3,1,cross_seed_transfer,0.011329146876224593,0.009526458734668338,0.013228999577342885
mkg_w,mkgw_mhyper_native,3,2,cross_seed_transfer,0.009632064311997302,0.007837629397428016,0.011477113677771683
mkg_w,mkgw_mhyper_adamf,1,1,raw_oracle,0.04057439099320673,0.037636518555327,0.043678691786214294
mkg_w,mkgw_mhyper_adamf,1,2,cross_seed_transfer,0.00937709592494869,0.007402399391175249,0.011452111149014706
mkg_w,mkgw_mhyper_adamf,1,3,cross_seed_transfer,0.0102446464571752,0.00827621599675112,0.012261664952151424
mkg_w,mkgw_mhyper_adamf,2,2,raw_oracle,0.03940138368553997,0.03660419469056564,0.04241217400373751
mkg_w,mkgw_mhyper_adamf,2,1,cross_seed_transfer,0.009658368109322267,0.00756171630426991,0.011763535433995486
mkg_w,mkgw_mhyper_adamf,2,3,cross_seed_transfer,0.010197304926766595,0.008096697350124176,0.012265817206328978
mkg_w,mkgw_mhyper_adamf,3,3,raw_oracle,0.0425465694057602,0.03952134873279242,0.045649472360506954
mkg_w,mkgw_mhyper_adamf,3,1,cross_seed_transfer,0.009102985712057986,0.007163650225999753,0.011094876071343246
mkg_w,mkgw_mhyper_adamf,3,2,cross_seed_transfer,0.009919146628624243,0.007989354716550361,0.011945285509317779
mkg_w,mkgw_native_adamf,1,1,raw_oracle,0.047442331258666204,0.04440584577081337,0.050569767253657784
mkg_w,mkgw_native_adamf,1,2,cross_seed_transfer,0.0049026308614827895,0.0034877210593077185,0.0063622011562693035
mkg_w,mkgw_native_adamf,1,3,cross_seed_transfer,0.007024558500060786,0.005297471725248151,0.008780095851707678
mkg_w,mkgw_native_adamf,2,2,raw_oracle,0.04539174372371355,0.042492242372370155,0.04841198623585106
mkg_w,mkgw_native_adamf,2,1,cross_seed_transfer,0.0059901813511801585,0.004222820410840865,0.00782346445360154
mkg_w,mkgw_native_adamf,2,3,cross_seed_transfer,0.005433493610338013,0.0036352329385821044,0.007295745863144548
mkg_w,mkgw_native_adamf,3,3,raw_oracle,0.05010067447221137,0.0469432270469941,0.05342616383343144
mkg_w,mkgw_native_adamf,3,1,cross_seed_transfer,0.006373743826601238,0.0047287221732560895,0.008047471241879007
mkg_w,mkgw_native_adamf,3,2,cross_seed_transfer,0.004131801187454857,0.0025573852753731606,0.005774616221723827
db15k,db15k_mhyper_native,1,1,raw_oracle,0.04825811323363346,0.0458452047270967,0.05074381764905006
db15k,db15k_mhyper_native,1,2,cross_seed_transfer,0.009411843631739754,0.007843110178934173,0.01102199364956834
db15k,db15k_mhyper_native,1,3,cross_seed_transfer,0.009910009887858048,0.008151765553510118,0.011696085821231121
db15k,db15k_mhyper_native,2,2,raw_oracle,0.05169497615761438,0.049163871670635254,0.05427949767152619
db15k,db15k_mhyper_native,2,1,cross_seed_transfer,0.008749170008226781,0.007030613665077741,0.010545126422493965
db15k,db15k_mhyper_native,2,3,cross_seed_transfer,0.009208359121368961,0.007269860028372838,0.011224259010107337
db15k,db15k_mhyper_native,3,3,raw_oracle,0.04878446574102269,0.046198770617893264,0.05142458351867391
db15k,db15k_mhyper_native,3,1,cross_seed_transfer,0.009205562525516651,0.007556516639659411,0.01086863396478136
db15k,db15k_mhyper_native,3,2,cross_seed_transfer,0.009166933330520783,0.007587137621593785,0.010818190432078179
