dataset,pair_id,global_alpha,alpha,delta_alpha,mean_utility,positive_rate,zero_rate,negative_rate
mkg_y,mkg_y_mhyper_native,0.35,0.0,-0.35,-0.028213732698820104,0.3772357723577236,0.30112570356472795,0.32163852407754845
mkg_y,mkg_y_mhyper_native,0.35,0.05,-0.3,-0.009345450177253332,0.38874296435272043,0.3436522826766729,0.26760475297060665
mkg_y,mkg_y_mhyper_native,0.35,0.1,-0.24999999999999997,-0.006749204833808196,0.39931207004377733,0.3523452157598499,0.24834271419637274
mkg_y,mkg_y_mhyper_native,0.35,0.15,-0.19999999999999998,-0.003849959649907138,0.4113195747342089,0.358223889931207,0.23045653533458413
mkg_y,mkg_y_mhyper_native,0.35,0.2,-0.14999999999999997,-0.002672026938212305,0.41757348342714196,0.3726704190118824,0.2097560975609756
mkg_y,mkg_y_mhyper_native,0.35,0.25,-0.09999999999999998,-0.0011752475252094859,0.42082551594746714,0.38949343339587245,0.1896810506566604
mkg_y,mkg_y_mhyper_native,0.35,0.3,-0.04999999999999999,-0.001591693872271847,0.41388367729831144,0.4140712945590994,0.17204502814258912
mkg_y,mkg_y_mhyper_native,0.35,0.35,0.0,0.0,0.0,1.0,0.0
mkg_y,mkg_y_mhyper_native,0.35,0.4,0.050000000000000044,-0.0007931044368666775,0.14996873045653533,0.408880550343965,0.44115071919949966
mkg_y,mkg_y_mhyper_native,0.35,0.45,0.10000000000000003,-0.0016333783952932428,0.1515322076297686,0.38330206378986864,0.4651657285803627
mkg_y,mkg_y_mhyper_native,0.35,0.5,0.15000000000000002,-0.0022452330958397534,0.15096935584740462,0.3677298311444653,0.4813008130081301
mkg_y,mkg_y_mhyper_native,0.35,0.55,0.20000000000000007,-0.0019960062258623187,0.15071919949968732,0.35734834271419635,0.49193245778611633
mkg_y,mkg_y_mhyper_native,0.35,0.6,0.25,-0.0016539300368888401,0.15184490306441525,0.34984365228267666,0.49831144465290805
mkg_y,mkg_y_mhyper_native,0.35,0.65,0.30000000000000004,-0.0018427018651860122,0.15228267667292059,0.341776110068793,0.5059412132582864
mkg_y,mkg_y_mhyper_native,0.35,0.7,0.35,-0.0015011448657661858,0.15196998123827393,0.33564727954971857,0.5123827392120075
mkg_y,mkg_y_mhyper_native,0.35,0.75,0.4,-0.0013272724823795894,0.15240775484677924,0.3299562226391495,0.5176360225140713
mkg_y,mkg_y_mhyper_native,0.35,0.8,0.45000000000000007,-0.0014667407607762526,0.1545340838023765,0.3208880550343965,0.524577861163227
mkg_y,mkg_y_mhyper_native,0.35,0.85,0.5,-0.001944711502589926,0.15428392745465916,0.3163852407754847,0.5293308317698562
mkg_y,mkg_y_mhyper_native,0.35,0.9,0.55,-0.0019525675150642763,0.15422138836772983,0.3110068792995622,0.5347717323327079
mkg_y,mkg_y_mhyper_native,0.35,0.95,0.6,-0.0020634829069894035,0.1529080675422139,0.3076297686053784,0.5394621638524078
mkg_y,mkg_y_mhyper_native,0.35,1.0,0.65,-0.003443089070798811,0.14721701063164477,0.3031269543464665,0.5496560350218886
mkg_y,mkg_y_mhyper_adamf,0.35,0.0,-0.35,-0.029657980966657383,0.3850531582238899,0.2896810506566604,0.32526579111944964
mkg_y,mkg_y_mhyper_adamf,0.35,0.05,-0.3,-0.012239029831730652,0.39887429643527206,0.3273921200750469,0.2737335834896811
mkg_y,mkg_y_mhyper_adamf,0.35,0.1,-0.24999999999999997,-0.008606024380580867,0.4101313320825516,0.34083802376485306,0.24903064415259538
mkg_y,mkg_y_mhyper_adamf,0.35,0.15,-0.19999999999999998,-0.0054401524034187534,0.42263914946841774,0.349718574108818,0.22764227642276422
mkg_y,mkg_y_mhyper_adamf,0.35,0.2,-0.14999999999999997,-0.004246413947009496,0.4273295809881176,0.3624765478424015,0.21019387116948093
mkg_y,mkg_y_mhyper_adamf,0.35,0.25,-0.09999999999999998,-0.001342806602402195,0.4349593495934959,0.3754846779237023,0.18955597248280176
mkg_y,mkg_y_mhyper_adamf,0.35,0.3,-0.04999999999999999,-0.0020488090897094677,0.42426516572858036,0.408317698561601,0.16741713570981864
mkg_y,mkg_y_mhyper_adamf,0.35,0.35,0.0,0.0,0.0,1.0,0.0
mkg_y,mkg_y_mhyper_adamf,0.35,0.4,0.050000000000000044,-0.0007427836377885645,0.1523452157598499,0.4028142589118199,0.4448405253283302
