dataset,pair_id,scope,relation_id,direction,n_queries,n_original_triples,positive_opportunities,toward_a,toward_b,direction_consistency,signed_direction_preference,supported,support_min
mkg_y,mkg_y_mhyper_native,direction,,head,7995,2665,5122,1524,3598,0.7024599765716517,-0.4049199531433034,True,60
mkg_y,mkg_y_mhyper_native,direction,,tail,7995,2665,5092,1622,3470,0.6814611154752553,-0.3629222309505106,True,60
mkg_y,mkg_y_mhyper_native,relation,0,,438,73,342,136,206,0.6023391812865497,-0.2046783625730994,True,60
mkg_y,mkg_y_mhyper_native,relation,1,,1986,331,575,241,334,0.5808695652173913,-0.1617391304347826,True,60
mkg_y,mkg_y_mhyper_native,relation,2,,810,135,618,193,425,0.6877022653721683,-0.37540453074433655,True,60
mkg_y,mkg_y_mhyper_native,relation,3,,2490,415,1639,540,1099,0.6705308114704088,-0.3410616229408176,True,60
mkg_y,mkg_y_mhyper_native,relation,4,,2238,373,762,258,504,0.6614173228346457,-0.3228346456692913,True,60
mkg_y,mkg_y_mhyper_native,relation,5,,774,129,405,200,205,0.5061728395061729,-0.012345679012345678,True,60
mkg_y,mkg_y_mhyper_native,relation,6,,1110,185,822,249,573,0.6970802919708029,-0.39416058394160586,True,60
mkg_y,mkg_y_mhyper_native,relation,7,,84,14,55,21,34,0.6181818181818182,-0.23636363636363636,True,60
mkg_y,mkg_y_mhyper_native,relation,8,,270,45,36,22,14,0.6111111111111112,0.2222222222222222,True,60
mkg_y,mkg_y_mhyper_native,relation,9,,4674,779,4185,1016,3169,0.7572281959378734,-0.5144563918757468,True,60
mkg_y,mkg_y_mhyper_native,relation,10,,204,34,98,36,62,0.6326530612244898,-0.2653061224489796,True,60
mkg_y,mkg_y_mhyper_native,relation,11,,42,7,41,21,20,0.5121951219512195,0.024390243902439025,False,60
mkg_y,mkg_y_mhyper_native,relation,12,,474,79,366,97,269,0.7349726775956285,-0.46994535519125685,True,60
mkg_y,mkg_y_mhyper_native,relation,13,,54,9,19,7,12,0.631578947368421,-0.2631578947368421,False,60
mkg_y,mkg_y_mhyper_native,relation,14,,6,1,6,4,2,0.6666666666666666,0.3333333333333333,False,60
mkg_y,mkg_y_mhyper_native,relation,15,,60,10,43,19,24,0.5581395348837209,-0.11627906976744186,True,60
mkg_y,mkg_y_mhyper_native,relation,16,,12,2,4,2,2,0.5,0.0,False,60
mkg_y,mkg_y_mhyper_native,relation,17,,120,20,106,45,61,0.5754716981132075,-0.1509433962264151,True,60
mkg_y,mkg_y_mhyper_native,relation,18,,36,6,19,3,16,0.8421052631578947,-0.6842105263157895,False,60
mkg_y,mkg_y_mhyper_native,relation,19,,6,1,2,2,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation,20,,6,1,4,2,2,0.5,0.0,False,60
mkg_y,mkg_y_mhyper_native,relation,21,,18,3,7,6,1,0.8571428571428571,0.7142857142857143,False,60
mkg_y,mkg_y_mhyper_native,relation,22,,12,2,10,4,6,0.6,-0.2,False,60
mkg_y,mkg_y_mhyper_native,relation,23,,42,7,41,14,27,0.6585365853658537,-0.3170731707317073,False,60
mkg_y,mkg_y_mhyper_native,relation,24,,6,1,2,2,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation,25,,12,2,6,6,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation,26,,6,1,1,0,1,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,0,head,219,73,182,60,122,0.6703296703296703,-0.34065934065934067,True,60
