dataset,pair_id,metric,n,mean,std,min,q25,median,q75,q90,q95,max
mkg_y,mkg_y_mhyper_native,gain_amplitude,15990,0.036845721448909075,0.12027952278665853,0.0,0.0,0.00011266805856490012,0.003787580341708949,0.05714285714285722,0.38263888888887876,0.9968652037617555
mkg_y,mkg_y_mhyper_native,beneficial_basin_width,15990,0.22875011167694095,0.21436674835568917,0.0,0.0,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.6190476190476191,0.9523809523809523
mkg_y,mkg_y_mhyper_native,min_beneficial_distance_positive_only,10214,0.0723027217544547,0.074637699932951,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.050000000000000044,0.10000000000000003,0.20000000000000007,0.65
mkg_y,mkg_y_mhyper_native,plateau_ratio,15990,0.43989681050656665,0.44982782299947316,0.0,0.0,0.2,0.95,1.0,1.0,1.0
mkg_y,mkg_y_mhyper_native,best_plateau_ratio,15990,0.36418297150004464,0.40840224159151456,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.9523809523809523,1.0,1.0,1.0
mkg_y,mkg_y_mhyper_native,beneficial_components_positive_only,10214,1.1815155668690034,0.5989211668386956,1.0,1.0,1.0,1.0,2.0,2.0,7.0
mkg_y,mkg_y_mhyper_adamf,gain_amplitude,15990,0.04406971850797567,0.13137726929158866,0.0,0.0,0.0001655511629100998,0.0058046765227827,0.09576014536644478,0.5,0.9992354740061163
mkg_y,mkg_y_mhyper_adamf,beneficial_basin_width,15990,0.23549539891003304,0.2180353001501959,0.0,0.0,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.6190476190476191,0.9523809523809523
mkg_y,mkg_y_mhyper_adamf,min_beneficial_distance_positive_only,10428,0.07092443421557347,0.06972337651864147,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.050000000000000044,0.10000000000000003,0.19999999999999998,0.65
mkg_y,mkg_y_mhyper_adamf,plateau_ratio,15990,0.4380300187617261,0.44659320457668106,0.0,0.0,0.2,0.95,1.0,1.0,1.0
mkg_y,mkg_y_mhyper_adamf,best_plateau_ratio,15990,0.35606480240626587,0.4020468160843046,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.8571428571428571,1.0,1.0,1.0
mkg_y,mkg_y_mhyper_adamf,beneficial_components_positive_only,10428,1.214614499424626,0.6620088778251642,1.0,1.0,1.0,1.0,2.0,2.0,7.0
mkg_y,mkg_y_native_adamf,gain_amplitude,15990,0.03784422884744998,0.12090552603570662,0.0,0.0,9.867275042220001e-05,0.0032137077555725517,0.07142857142857141,0.5,0.9285714285714286
mkg_y,mkg_y_native_adamf,beneficial_basin_width,15990,0.2870603651091456,0.23103587028691716,0.0,0.0,0.42857142857142855,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9523809523809523
mkg_y,mkg_y_native_adamf,min_beneficial_distance_positive_only,10544,0.07417962822458268,0.07014023958582576,0.04999999999999993,0.04999999999999993,0.050000000000000044,0.050000000000000044,0.1499999999999999,0.20000000000000007,0.55
mkg_y,mkg_y_native_adamf,plateau_ratio,15990,0.48317698561601,0.43780403758840286,0.0,0.0,0.4,0.95,1.0,1.0,1.0
mkg_y,mkg_y_native_adamf,best_plateau_ratio,15990,0.3569105691056911,0.3956008628527088,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.8095238095238095,1.0,1.0,1.0
mkg_y,mkg_y_native_adamf,beneficial_components_positive_only,10544,1.310034142640364,0.8086074455017479,1.0,1.0,1.0,1.0,2.0,3.0,7.0
