dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,direction,head,7995,0.3310954415574056,0.32822406003833293,0.0028713815190727233,0.00017598938609807632,0.005586886418417572,0.06515543135482178,0.15121951219512195,0.12307692307692308,0.5028142589118199,0.25370128306781287,0.4320758984336003,0.29806128830519074,0.13401461012840954,0.5111634734244215,0.3705691056910569,0.1405943677333646,0.6565673768643484
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,direction,tail,7995,0.3438150570522884,0.3439160822074993,-0.00010102515521085524,-0.0028064168201162153,0.002610975591589396,-0.002292393930144392,0.23989993746091307,0.14008755472170106,0.5764853033145716,0.19608316677589055,0.43449645149360666,0.29986866791744843,0.13462778357615823,0.41955573848703914,0.36144465290806754,0.0581110855789716,0.6299793912769492
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,seed,1,5330,0.3369323473016599,0.33447420785144394,0.0024581394502159824,-0.00013709243574350745,0.00513019812848915,0.05577842412973698,0.20056285178236397,0.1350844277673546,0.549155722326454,0.2144185326661278,0.43331680278720497,0.30164165103189494,0.13167515175531003,0.45627837692051665,0.3651782363977486,0.09110014052276805,0.6367203741024501
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,seed,2,5330,0.33965204633831736,0.3403332852387027,-0.000681238900385404,-0.0035937173668735556,0.002249577502703106,-0.015458208571541374,0.19455909943714822,0.12682926829268293,0.5332082551594747,0.23918742470387075,0.4262436075196166,0.2937523452157598,0.13249126230385677,0.4720644316518241,0.36893058161350845,0.10313385003831566,0.6504847648906821
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,seed,3,5330,0.3357813542745638,0.3334027202786015,0.002378633995962225,-0.0002624875825459716,0.005015722482388553,0.053974340578820515,0.19155722326454033,0.13283302063789867,0.5365853658536586,0.22988293211543945,0.43704468832464716,0.30150093808630396,0.1355437502383432,0.46773022451879404,0.36391181988742966,0.10381840463136438,0.6446980836697567
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,seed_x_direction,1_head,2665,0.3287057102199926,0.3269639577529325,0.0017417524670600727,-0.0016068225726621488,0.0050530514014543206,0.03952265923243544,0.1545966228893058,0.12645403377110695,0.5080675422138837,0.23741573066463603,0.4296526950765245,0.2989493433395872,0.13070335173693726,0.5029172735814933,0.3719512195121951,0.13096605406929818,0.6466625080664551
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,seed_x_direction,1_tail,2665,0.3451589843833272,0.3419844579499553,0.003174526433371892,-0.00041749431654338815,0.006789557603643088,0.07203418902703852,0.24652908067542215,0.14371482176360226,0.5902439024390244,0.18521389897875665,0.44016805093638295,0.3043339587242026,0.13583409221218035,0.4084983219625819,0.3584052532833021,0.05009306867927982,0.6247192324473427
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,seed_x_direction,2_head,2665,0.33557791138844484,0.33425046617560505,0.001327445212839733,-0.002610415829201732,0.00536899462193178,0.030121481547459764,0.15384615384615385,0.11857410881801125,0.4979362101313321,0.2722728635304252,0.4325660374037003,0.2925515947467167,0.1400144426569836,0.5218928237038692,0.37348968105065666,0.14840314265321258,0.6677236187327057
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,seed_x_direction,2_tail,2665,0.34372618128818994,0.3464161043018004,-0.002689923013610541,-0.006417588116992269,0.0009780042888383647,-0.06103789869054251,0.23527204502814258,0.1350844277673546,0.5684803001876173,0.19917022809348575,0.41985270820578147,0.294953095684803,0.12489961252097848,0.4246376124086962,0.36437148217636023,0.06026613023233596,0.6310611711627797
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,seed_x_direction,3_head,2665,0.32900270306377943,0.3234577561864611,0.005544946877318366,0.0019294536052715252,0.009146898451655689,0.1258221532845702,0.1452157598499062,0.12420262664165103,0.5024390243902439,0.2522686724068343,0.43492228928742704,0.3026829268292683,0.13223936245815876,0.5103211257064555,0.36626641651031894,0.14405470919613655,0.6559216127023921
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,seed_x_direction,3_tail,2665,0.34256000548534815,0.34334768437074203,-0.0007876788853939159,-0.004381361591065267,0.0028261063356737133,-0.01787347212692916,0.2378986866791745,0.14146341463414633,0.5707317073170731,0.20389277367323533,0.44345702559183986,0.3003189493433396,0.14313807624850028,0.426630401235423,0.3615572232645403,0.06507317797088269,0.6341345047536202
