dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
mkg_y,mkg_y_mhyper_native,X4,mlp_high,direction,head,7995,0.33433162152562396,0.3335641516641348,0.0007674698614892421,-0.00202760619062806,0.003584599013121781,0.02082928034272394,0.25215759849906194,0.2637898686679174,0.7902439024390244,0.16537901867846974,0.26402772692468546,0.23762351469668544,0.026404212228000018,0.5074204619449169,0.41652908067542216,0.0908913812694947,0.6029166977792564
mkg_y,mkg_y_mhyper_native,X4,mlp_high,direction,tail,7995,0.3471604889630241,0.34508179541543604,0.002078693547588016,-0.0004050025892107342,0.004572242513727045,0.056416144557526804,0.29968730456535336,0.23339587242026266,0.8268918073796122,0.09800315605564702,0.2384648120798478,0.24275171982489055,-0.004286907745042756,0.4730096283442226,0.4065853658536585,0.0664242624905641,0.5474945836582572
mkg_y,mkg_y_mhyper_native,X4,mlp_high,seed,1,5330,0.34224018377881393,0.3410742194726514,0.0011659643061624923,-0.001716297839425556,0.004062929657084455,0.031644496574161025,0.28330206378986866,0.2572232645403377,0.8245778611632271,0.13953533919633884,0.2535608234391626,0.23873358348968104,0.014827239949481541,0.48629594688313027,0.41304878048780486,0.07324716639532541,0.5813571905545359
mkg_y,mkg_y_mhyper_native,X4,mlp_high,seed,2,5330,0.3417091289933741,0.3402508608734486,0.001458268119925496,-0.0014367271293236367,0.00430692207746838,0.03957767856296583,0.2722326454033771,0.2418386491557223,0.801313320825516,0.13997600228029383,0.24928962938660548,0.23846153846153847,0.010828090925067008,0.4941689115617031,0.4118761726078799,0.08229273895382322,0.5771224519495067
mkg_y,mkg_y_mhyper_native,X4,mlp_high,seed,3,5330,0.3382888529607841,0.33664384027325617,0.0016450126875278991,-0.0011949696031571327,0.004532693965839077,0.04464596221324927,0.2722326454033771,0.24671669793621012,0.799812382739212,0.12903601521178845,0.2497341709903467,0.24336772983114446,0.006366441159202235,0.492371178244435,0.4097467166979362,0.08262446154649877,0.5708332566711639
mkg_y,mkg_y_mhyper_native,X4,mlp_high,seed_x_direction,1_head,2665,0.33632975019127864,0.3366052262972359,-0.00027547610595724366,-0.004543343405825545,0.004053382857854779,-0.007476474747257269,0.26153846153846155,0.28142589118198874,0.8153846153846154,0.16995759355441536,0.2712924746135991,0.2373921200750469,0.033900354538552224,0.5014152123227276,0.4177861163227017,0.08362909600002588,0.6074261830949906
mkg_y,mkg_y_mhyper_native,X4,mlp_high,seed_x_direction,1_tail,2665,0.34815061736634917,0.3455432126480669,0.0026074047182822273,-0.001215695442354163,0.006502972776271578,0.0707654678955793,0.3050656660412758,0.23302063789868668,0.8337711069418386,0.10051882636955531,0.23771868929132403,0.2400750469043152,-0.002356357612991161,0.47045350437659184,0.4083114446529081,0.06214205972368375,0.5526734607264306
mkg_y,mkg_y_mhyper_native,X4,mlp_high,seed_x_direction,2_head,2665,0.3348102624566361,0.33474436399409446,6.589846254164198e-05,-0.004046760765288813,0.004169405936200943,0.001788497007258172,0.24465290806754222,0.25328330206378985,0.7793621013133208,0.16985565100311,0.2571624737374507,0.23296435272045027,0.024198121017000446,0.5156001517006036,0.41908067542213884,0.09651947627846474,0.60576518272492
mkg_y,mkg_y_mhyper_native,X4,mlp_high,seed_x_direction,2_tail,2665,0.34860799553011207,0.3457573577528027,0.0028506377773093497,-0.0008703550540701998,0.00666987958304278,0.07736686011867348,0.299812382739212,0.23039399624765478,0.823264540337711,0.09911553768536849,0.24216117860168893,0.24395872420262665,-0.0017975456009377277,0.4710307238147905,0.404671669793621,0.06635905402116948,0.5458185223838775
mkg_y,mkg_y_mhyper_native,X4,mlp_high,seed_x_direction,3_head,2665,0.33185485192895714,0.32934286470107377,0.0025119872278833283,-0.0017410696657516138,0.006777978098513125,0.06817581876817093,0.25028142589118196,0.25666041275797374,0.775984990619137,0.15651911082133596,0.26475632545244,0.2425140712945591,0.022242254157880892,0.5058768139326066,0.4127204502814259,0.09315636365118074,0.5958790234781025
mkg_y,mkg_y_mhyper_native,X4,mlp_high,seed_x_direction,3_tail,2665,0.34472285399261104,0.34394481584543857,0.0007780381471724703,-0.0029912903941527605,0.0044908271624445415,0.02111610565832761,0.29418386491557225,0.23677298311444653,0.8236397748592871,0.09441460478432528,0.2360070363287791,0.24422138836772983,-0.00821435203895074,0.4787665717895217,0.40677298311444654,0.07199358867507516,0.544036578039531
