dataset,pair_id,representation,learner,scope,value,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc
mkg_y,mkg_y_native_adamf,X4,linear_huber,direction,head,7995,0.3238055447524252,0.32281028970016556,0.0009952550522596445,-0.0004900519601073015,0.0024348097820374717,0.026298727245084526,0.19649781113195747,0.2511569731081926,0.6742964352720451,0.022970489092632603,0.351168225144802,0.30244527829893686,0.048722946845865145,0.29880771239909854,0.33849280800500314,-0.03968509560590461,0.5179408544657379
mkg_y,mkg_y_native_adamf,X4,linear_huber,direction,tail,7995,0.3314580978413633,0.33249798241834844,-0.0010398845769851066,-0.002229494395133112,0.00013885526364127457,-0.02747802263792669,0.21325828642901815,0.26629143214509066,0.6509068167604753,0.03000527342600432,0.3778504809172795,0.3074671669793621,0.07038331393791741,0.2894645063644579,0.34270794246404,-0.0532434360995821,0.5249221610410463
mkg_y,mkg_y_native_adamf,X4,linear_huber,seed,1,5330,0.32899255539780475,0.32898532003725955,7.235360545203028e-06,-0.0016404717389308238,0.0016767166004185035,0.00019118795033104698,0.1973733583489681,0.2592870544090056,0.6658536585365854,0.023501617979092886,0.3629960141721449,0.3046904315196998,0.058305582652445065,0.29472588578960085,0.34076923076923077,-0.04604334497962992,0.5201735832454817
mkg_y,mkg_y_native_adamf,X4,linear_huber,seed,2,5330,0.3275621027349476,0.327477687478469,8.441525647857252e-05,-0.0014800018485685463,0.0016364853419123272,0.0022305978758042724,0.2198874296435272,0.2589118198874296,0.6771106941838649,0.02277445062908932,0.3622449172205624,0.3017823639774859,0.06046255324307648,0.29212207363147147,0.3424484052532833,-0.050326331621811826,0.5199157221746528
mkg_y,mkg_y_native_adamf,X4,linear_huber,seed,3,5330,0.3263408057579304,0.3264994006620424,-0.00015859490411196882,-0.00182806732427399,0.001538624738557633,-0.0041907289153985654,0.1973733583489681,0.2579737335834897,0.6448405253283302,0.033656701963296426,0.3682579634568307,0.3083958724202627,0.05986209103656803,0.29554227937243716,0.3385834896810507,-0.04304121030861352,0.5249089598385414
mkg_y,mkg_y_native_adamf,X4,linear_huber,seed_x_direction,1_head,2665,0.3239714683999119,0.32307596222151597,0.0008955061783959796,-0.001479434387307932,0.0033562563589563934,0.02366295220351207,0.18761726078799248,0.249906191369606,0.6754221388367729,0.020744635436832647,0.3503621325188634,0.30326454033771105,0.04709759218115234,0.29924680574894347,0.3398311444652908,-0.04058433871634731,0.5162222139975755
mkg_y,mkg_y_native_adamf,X4,linear_huber,seed_x_direction,1_tail,2665,0.3340136423956976,0.3348946778530032,-0.0008810354573055737,-0.0030450975271893036,0.0012561323292798491,-0.023280576302849975,0.20712945590994372,0.26866791744840524,0.6562851782363978,0.0262838384566626,0.37622481960759635,0.30611632270168854,0.07010849690590781,0.29041330493592005,0.34170731707317076,-0.05129401213725071,0.5240031316383111
mkg_y,mkg_y_native_adamf,X4,linear_huber,seed_x_direction,2_head,2665,0.3236792870949078,0.32260786379897255,0.0010714232959351203,-0.0014065596901449194,0.003543390490000357,0.02831140516177587,0.21088180112570357,0.2559099437148218,0.6938086303939962,0.018807221176754076,0.3512328008868846,0.30041275797373357,0.05082004291315101,0.29629316239011855,0.33876172607879923,-0.04246856368868068,0.5163813729340788
mkg_y,mkg_y_native_adamf,X4,linear_huber,seed_x_direction,2_tail,2665,0.33144491837498746,0.33234751115796546,-0.0009025927829779752,-0.00268485223227428,0.000986478314342901,-0.02385020941016732,0.22889305816135083,0.2619136960600375,0.6604127579737336,0.026739264937098155,0.37365471257403476,0.3031519699812383,0.07050274259279649,0.28827687613724806,0.34613508442776736,-0.0578582082905193,0.5234340533150903
mkg_y,mkg_y_native_adamf,X4,linear_huber,seed_x_direction,3_head,2665,0.3237658787624558,0.322747043080008,0.0010188356824478335,-0.0014795502140782174,0.0035303247503622468,0.026921824369965642,0.19099437148217635,0.24765478424015008,0.6536585365853659,0.029899196479069003,0.3523461450214391,0.30365853658536585,0.04868760843607328,0.301255494489393,0.3368855534709193,-0.035630058981526325,0.5216336721356354
mkg_y,mkg_y_native_adamf,X4,linear_huber,seed_x_direction,3_tail,2665,0.32891573275340497,0.33025175824407677,-0.0013360254906717712,-0.003431789171139918,0.000738398240512804,-0.03530328220076277,0.20375234521575986,0.2682926829268293,0.6360225140712945,0.03752406351482235,0.3845395673669252,0.3131332082551595,0.07140635911176568,0.29003524868283537,0.340281425891182,-0.05024617720834662,0.5279584850713329
