pair_id,level,group_key,fold_count,median_alpha,foldwise_mad,mean_support_original_triples
mkg_y_mhyper_native,L0,"[""global""]",5,0.35,0.0,2132.0
mkg_y_mhyper_native,L1,"[""head""]",5,0.35,0.0,2132.0
mkg_y_mhyper_native,L1,"[""tail""]",5,0.8,0.1499999999999999,2132.0
mkg_y_mhyper_native,L2,[0],5,0.25,0.1,58.4
mkg_y_mhyper_native,L2,[1],5,0.95,0.0,264.8
mkg_y_mhyper_native,L2,[2],5,0.35,0.0,108.0
mkg_y_mhyper_native,L2,[3],5,0.4,0.10000000000000003,332.0
mkg_y_mhyper_native,L2,[4],5,0.95,0.050000000000000044,298.4
mkg_y_mhyper_native,L2,[5],5,0.45,0.0,103.2
mkg_y_mhyper_native,L2,[6],5,0.2,0.0,148.0
mkg_y_mhyper_native,L2,[8],5,0.85,0.0,36.0
mkg_y_mhyper_native,L2,[9],5,0.15,0.0,623.2
mkg_y_mhyper_native,L2,[10],5,0.35,0.0,27.2
mkg_y_mhyper_native,L2,[12],5,0.15,0.0,63.2
mkg_y_mhyper_native,L3,"[0,""head""]",5,0.25,0.0,58.4
mkg_y_mhyper_native,L3,"[1,""head""]",5,1.0,0.0,264.8
mkg_y_mhyper_native,L3,"[2,""head""]",5,0.35,0.0,108.0
mkg_y_mhyper_native,L3,"[3,""head""]",5,0.4,0.0,332.0
mkg_y_mhyper_native,L3,"[4,""head""]",5,0.6,0.3,298.4
mkg_y_mhyper_native,L3,"[5,""head""]",5,0.45,0.04999999999999999,103.2
mkg_y_mhyper_native,L3,"[6,""head""]",5,0.35,0.14999999999999997,148.0
mkg_y_mhyper_native,L3,"[8,""head""]",5,0.75,0.0,36.0
mkg_y_mhyper_native,L3,"[9,""head""]",5,0.15,0.0,623.2
mkg_y_mhyper_native,L3,"[10,""head""]",5,0.5,0.0,27.2
mkg_y_mhyper_native,L3,"[12,""head""]",5,0.15,0.0,63.2
mkg_y_mhyper_native,L3,"[0,""tail""]",5,0.4,0.04999999999999999,58.4
mkg_y_mhyper_native,L3,"[1,""tail""]",5,0.95,0.0,264.8
mkg_y_mhyper_native,L3,"[2,""tail""]",5,0.8,0.0,108.0
mkg_y_mhyper_native,L3,"[3,""tail""]",5,0.9,0.04999999999999993,332.0
mkg_y_mhyper_native,L3,"[4,""tail""]",5,0.95,0.0,298.4
mkg_y_mhyper_native,L3,"[5,""tail""]",5,0.45,0.0,103.2
mkg_y_mhyper_native,L3,"[6,""tail""]",5,0.2,0.0,148.0
mkg_y_mhyper_native,L3,"[8,""tail""]",5,0.85,0.0,36.0
mkg_y_mhyper_native,L3,"[9,""tail""]",5,0.6,0.20000000000000007,623.2
mkg_y_mhyper_native,L3,"[10,""tail""]",5,0.2,0.05000000000000002,27.2
mkg_y_mhyper_native,L3,"[12,""tail""]",5,0.2,0.0,63.2
mkg_y_mhyper_native,L4,"[0,""head"",1,""text_and_image""]",2,0.0,0.0,21.5
mkg_y_mhyper_native,L4,"[0,""head"",3,""text_and_image""]",2,0.65,0.0,15.0
mkg_y_mhyper_native,L4,"[1,""head"",3,""text_and_image""]",5,1.0,0.0,134.4
mkg_y_mhyper_native,L4,"[1,""head"",1,""text_and_image""]",2,0.25,0.2,23.0
mkg_y_mhyper_native,L4,"[1,""head"",2,""text_and_image""]",2,0.775,0.025000000000000022,39.5
mkg_y_mhyper_native,L4,"[1,""head"",3,""image_only""]",5,0.65,0.050000000000000044,54.4
mkg_y_mhyper_native,L4,"[2,""head"",3,""text_and_image""]",2,0.125,0.125,11.0
mkg_y_mhyper_native,L4,"[2,""head"",0,""text_and_image""]",2,0.35,0.05000000000000002,13.5
mkg_y_mhyper_native,L4,"[2,""head"",1,""text_and_image""]",5,0.35,0.0,55.2
mkg_y_mhyper_native,L4,"[2,""head"",2,""text_and_image""]",2,1.0,0.0,13.0
mkg_y_mhyper_native,L4,"[3,""head"",1,""text_and_image""]",5,0.4,0.0,184.8
mkg_y_mhyper_native,L4,"[3,""head"",0,""image_only""]",2,0.975,0.025000000000000022,14.5
mkg_y_mhyper_native,L4,"[3,""head"",2,""text_and_image""]",2,0.75,0.15000000000000002,38.5
mkg_y_mhyper_native,L4,"[3,""head"",1,""image_only""]",2,0.85,0.0,26.0
mkg_y_mhyper_native,L4,"[3,""head"",0,""text_and_image""]",2,0.225,0.024999999999999994,45.0
mkg_y_mhyper_native,L4,"[4,""head"",1,""text_and_image""]",2,0.9,0.0,30.0
mkg_y_mhyper_native,L4,"[4,""head"",3,""text_and_image""]",5,0.3,0.0,148.0
