pair_id,outer_fold,inner_fold,minimum_support,inner_global_alpha,inner_delta_mrr,inner_support_coverage,selected_for_outer_fold,pooled_inner_delta_mrr
mkg_y_mhyper_native,1,1,10,0.7,0.0010143465889777203,0.8208744710860366,True,0.0021982376825535927
mkg_y_mhyper_native,1,1,25,0.7,0.00011501111583056598,0.6734837799717912,False,0.0012859857626585844
mkg_y_mhyper_native,1,1,50,0.7,-0.0004429123610233829,0.4605077574047955,False,0.0009105470598329168
mkg_y_mhyper_native,1,1,100,0.7,0.00025008033442298737,0.20380818053596614,False,0.0002717082758674427
mkg_y_mhyper_native,1,2,10,0.8,0.0008084427681402111,0.8070422535211268,True,0.0021982376825535927
mkg_y_mhyper_native,1,2,25,0.8,-0.0006917382727280903,0.6387323943661972,False,0.0012859857626585844
mkg_y_mhyper_native,1,2,50,0.8,-0.001091999952139036,0.49859154929577465,False,0.0009105470598329168
mkg_y_mhyper_native,1,2,100,0.8,2.2771702334211123e-05,0.16267605633802817,False,0.0002717082758674427
mkg_y_mhyper_native,1,3,10,0.35,0.004755847170759187,0.8221288515406162,True,0.0021982376825535927
mkg_y_mhyper_native,1,3,25,0.35,0.004415404655831699,0.6414565826330533,False,0.0012859857626585844
mkg_y_mhyper_native,1,3,50,0.35,0.0042458567347449655,0.46078431372549017,False,0.0009105470598329168
mkg_y_mhyper_native,1,3,100,0.35,0.0005407267320197022,0.19047619047619047,False,0.0002717082758674427
mkg_y_mhyper_native,2,1,10,0.35,0.0036290049189989927,0.8071528751753155,False,0.0019273073203337938
mkg_y_mhyper_native,2,1,25,0.35,0.00373793673783067,0.6332398316970547,False,0.0015587216919580114
mkg_y_mhyper_native,2,1,50,0.35,0.0026252011293581225,0.4908835904628331,True,0.0023047357434862236
mkg_y_mhyper_native,2,1,100,0.35,0.0003009967299113814,0.16129032258064516,False,0.0006446524394876972
mkg_y_mhyper_native,2,2,10,0.35,0.00022259911120366469,0.8229901269393513,False,0.0019273073203337938
mkg_y_mhyper_native,2,2,25,0.35,-0.000516446858926071,0.6297602256699577,False,0.0015587216919580114
mkg_y_mhyper_native,2,2,50,0.35,0.0022548229877588414,0.4936530324400564,True,0.0023047357434862236
mkg_y_mhyper_native,2,2,100,0.35,0.0004247672285992036,0.2016925246826516,False,0.0006446524394876972
mkg_y_mhyper_native,2,3,10,0.35,0.0019207080723464697,0.7916666666666666,False,0.0019273073203337938
mkg_y_mhyper_native,2,3,25,0.35,0.0014422162892314704,0.6362994350282486,False,0.0015587216919580114
mkg_y_mhyper_native,2,3,50,0.35,0.0020319904379552207,0.451271186440678,True,0.0023047357434862236
mkg_y_mhyper_native,2,3,100,0.35,0.0012109308793857975,0.22245762711864406,False,0.0006446524394876972
mkg_y_mhyper_native,3,1,10,0.8,0.0018535050745002288,0.8232394366197183,True,0.002817719557407781
mkg_y_mhyper_native,3,1,25,0.8,7.683875837255406e-05,0.6464788732394366,False,0.002416086955284356
mkg_y_mhyper_native,3,1,50,0.8,-0.0003023789152345744,0.4704225352112676,False,0.0013925665186611572
mkg_y_mhyper_native,3,1,100,0.8,0.00012710932760785345,0.21267605633802816,False,-0.00011711548726679676
mkg_y_mhyper_native,3,2,10,0.35,0.003868704078694264,0.8026685393258427,True,0.002817719557407781
mkg_y_mhyper_native,3,2,25,0.35,0.002635105693541224,0.6088483146067416,False,0.002416086955284356
mkg_y_mhyper_native,3,2,50,0.35,0.002881502931727304,0.4691011235955056,False,0.0013925665186611572
mkg_y_mhyper_native,3,2,100,0.35,0.0004746429890499323,0.19662921348314608,False,-0.00011711548726679676
mkg_y_mhyper_native,3,3,10,0.35,0.0027278624399301875,0.8272214386459803,True,0.002817719557407781
mkg_y_mhyper_native,3,3,25,0.35,0.004538689040148234,0.6488011283497884,False,0.002416086955284356
mkg_y_mhyper_native,3,3,50,0.35,0.0015946659995678897,0.4689703808180536,False,0.0013925665186611572
mkg_y_mhyper_native,3,3,100,0.35,-0.0009559471567992547,0.20874471086036672,False,-0.00011711548726679676
mkg_y_mhyper_native,4,1,10,0.35,0.002443194122671561,0.8283898305084746,False,0.0004547259344574576
mkg_y_mhyper_native,4,1,25,0.35,0.001959179240487073,0.5988700564971752,False,0.00034651249250193614
mkg_y_mhyper_native,4,1,50,0.35,0.0021745258893362085,0.4781073446327684,True,0.0013256620654380187
mkg_y_mhyper_native,4,1,100,0.35,-0.00014703380787872773,0.1977401129943503,False,-0.0005028090118196606
mkg_y_mhyper_native,4,2,10,0.35,-0.002356590370729785,0.7997198879551821,False,0.0004547259344574576
mkg_y_mhyper_native,4,2,25,0.35,-0.001662109011843238,0.6246498599439776,False,0.00034651249250193614
mkg_y_mhyper_native,4,2,50,0.35,-0.0004728101985479105,0.5063025210084033,True,0.0013256620654380187
mkg_y_mhyper_native,4,2,100,0.35,-0.001081613729480839,0.16806722689075632,False,-0.0005028090118196606
mkg_y_mhyper_native,4,3,10,0.35,0.0013013987658813365,0.8163841807909604,False,0.0004547259344574576
mkg_y_mhyper_native,4,3,25,0.35,0.0007594894650004918,0.672316384180791,False,0.00034651249250193614
mkg_y_mhyper_native,4,3,50,0.35,0.00229051179589852,0.4781073446327684,True,0.0013256620654380187
mkg_y_mhyper_native,4,3,100,0.35,-0.0002748743733734729,0.1574858757062147,False,-0.0005028090118196606
mkg_y_mhyper_native,5,1,10,0.35,0.0005951724999338267,0.8085553997194951,False,0.0003973269570578346
mkg_y_mhyper_native,5,1,25,0.35,0.0007182433789177968,0.6318373071528752,False,0.00020891765004164587
mkg_y_mhyper_native,5,1,50,0.35,0.0011073514768841163,0.45582047685834504,True,0.0008534722524227081
mkg_y_mhyper_native,5,1,100,0.35,-4.575698325062004e-05,0.15568022440392706,False,-2.3938355704687493e-05
mkg_y_mhyper_native,5,2,10,0.35,-0.0010163586670117787,0.8158263305322129,False,0.0003973269570578346
mkg_y_mhyper_native,5,2,25,0.35,-0.0006591472629199891,0.626750700280112,False,0.00020891765004164587
mkg_y_mhyper_native,5,2,50,0.35,0.00010115510286174396,0.4803921568627451,True,0.0008534722524227081
mkg_y_mhyper_native,5,2,100,0.35,8.05951762212359e-06,0.17647058823529413,False,-2.3938355704687493e-05
mkg_y_mhyper_native,5,3,10,0.35,0.00162202041758692,0.808885754583921,False,0.0003973269570578346
mkg_y_mhyper_native,5,3,25,0.35,0.0005709051016155693,0.6086036671368125,False,0.00020891765004164587
mkg_y_mhyper_native,5,3,50,0.35,0.0013557833352796113,0.47390691114245415,True,0.0008534722524227081
mkg_y_mhyper_native,5,3,100,0.35,-3.422016122668072e-05,0.1755994358251058,False,-2.3938355704687493e-05
mkg_y_mhyper_adamf,1,1,10,0.95,0.00086222904126998,0.8208744710860366,True,0.0027291389823012767
mkg_y_mhyper_adamf,1,1,25,0.95,-0.00010996730512758921,0.6734837799717912,False,0.002263357852675842
mkg_y_mhyper_adamf,1,1,50,0.95,0.0005032513889263017,0.4605077574047955,False,0.0017215748161388956
mkg_y_mhyper_adamf,1,1,100,0.95,6.533054333431223e-05,0.20380818053596614,False,9.835998723611332e-05
mkg_y_mhyper_adamf,1,2,10,0.95,0.0011714445822723503,0.8070422535211268,True,0.0027291389823012767
mkg_y_mhyper_adamf,1,2,25,0.95,0.0010340655462599327,0.6387323943661972,False,0.002263357852675842
mkg_y_mhyper_adamf,1,2,50,0.95,-2.0830207184121613e-05,0.49859154929577465,False,0.0017215748161388956
mkg_y_mhyper_adamf,1,2,100,0.95,0.0007302709381850855,0.16267605633802817,False,9.835998723611332e-05
mkg_y_mhyper_adamf,1,3,10,0.35,0.0061319431450627985,0.8221288515406162,True,0.0027291389823012767
mkg_y_mhyper_adamf,1,3,25,0.35,0.0058424686011883465,0.6414565826330533,False,0.002263357852675842
mkg_y_mhyper_adamf,1,3,50,0.35,0.004664010217333674,0.46078431372549017,False,0.0017215748161388956
mkg_y_mhyper_adamf,1,3,100,0.35,-0.000497212701065558,0.19047619047619047,False,9.835998723611332e-05
mkg_y_mhyper_adamf,2,1,10,0.85,0.0058423287779862014,0.8071528751753155,True,0.0040644943958232675
mkg_y_mhyper_adamf,2,1,25,0.85,0.0029698921638547956,0.6332398316970547,False,0.002648246841815393
mkg_y_mhyper_adamf,2,1,50,0.85,0.002264083880621889,0.4908835904628331,False,0.0014791827856328712
mkg_y_mhyper_adamf,2,1,100,0.85,0.0004911353011334737,0.16129032258064516,False,-2.2690725338755443e-05
mkg_y_mhyper_adamf,2,2,10,0.9,0.0030595520736262597,0.8229901269393513,True,0.0040644943958232675
mkg_y_mhyper_adamf,2,2,25,0.9,0.001629009778660789,0.6297602256699577,False,0.002648246841815393
mkg_y_mhyper_adamf,2,2,50,0.9,-0.00022398061358626275,0.4936530324400564,False,0.0014791827856328712
mkg_y_mhyper_adamf,2,2,100,0.9,-0.0010539725782307652,0.2016925246826516,False,-2.2690725338755443e-05
