dataset,pair_id,level,level_name,count,fold_specific_global_mrr,oof_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,training_adaptive_gain,train_oof_generalization_gap,negative_transfer_ratio,positive_transfer_ratio,changed_rate,support_coverage,available_headroom_recovery,group_alpha_foldwise_mad,median_group_alpha_foldwise_mad,fold_action_median_mad,positive_seed_count,head_delta_mrr,tail_delta_mrr,head_tail_not_both_negative,robust_positive
mkg_y,mkg_y_mhyper_native,L0,Global,15990,0.33932297353978536,0.33932297353978536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,False
mkg_y,mkg_y_mhyper_native,L1,Direction,15990,0.33932297353978536,0.33812445016519704,-0.0011985233745883351,-0.002793840873603205,0.00036663014446106914,0.0003822973367937596,0.0015808207113820946,0.22726704190118824,0.1026266416510319,0.501125703564728,1.0,-0.03252815598278436,0.07499999999999996,0.07499999999999996,0.09999999999999987,0,-0.0006539334541752746,-0.0017431132950013954,False,False
mkg_y,mkg_y_mhyper_native,L2,Relation,15990,0.33932297353978536,0.34014458598337083,0.0008216124435854492,-0.001357153976673185,0.0031285469344006353,0.0038270553541387984,0.0030054429105533494,0.27936210131332084,0.28055034396497813,0.8705440900562852,0.9673545966228893,0.022298720483047485,0.02616369278510474,0.0,0.050000000000000044,2,-0.0002540697269049145,0.001897294614075813,True,False
mkg_y,mkg_y_mhyper_native,L3,Relation×Direction,15990,0.33932297353978536,0.33972245924069455,0.00039948570090918555,-0.0017878863117196588,0.0025422904987432377,0.005157064665216711,0.0047575789643075255,0.3494684177611007,0.2541588492808005,0.9356472795497186,0.9673545966228893,0.0108421191172256,0.06361520558572539,0.0,0.04999999999999999,2,-0.0008722520160977001,0.0016712234179160714,True,False
mkg_y,mkg_y_mhyper_native,L4,Context,15990,0.33932297353978536,0.3399136811452474,0.0005907076054619846,-0.001167558894641649,0.0023484945531407225,0.0066149716366109045,0.00602426403114892,0.2712320200125078,0.15616010006253908,0.6465290806754221,0.6649155722326454,0.01603191855752021,0.03829810615773471,0.024999999999999994,0.0,3,-0.0009700176736602238,0.002151432884584193,True,False
mkg_y,mkg_y_mhyper_native,L5,Query,15990,0.33932297353978536,0.343027651193319,0.0037046776535336052,0.0022678684490032375,0.005209890963058769,0.0145959122161993,0.010891234562665695,0.17661038148843028,0.13595997498436524,0.5613508442776736,1.0,0.10054566738964751,,,0.0,3,0.0021955209512727306,0.0052138343557944795,True,True
mkg_y,mkg_y_mhyper_adamf,L0,Global,15990,0.33607007112291604,0.33607007112291604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,False
mkg_y,mkg_y_mhyper_adamf,L1,Direction,15990,0.33607007112291604,0.33534783854804034,-0.0007222325748757488,-0.002317111914538529,0.0008590781104928926,0.0006278396742563416,0.0013500722491320903,0.2874296435272045,0.1600375234521576,0.7011257035647279,1.0,-0.0163884090783344,0.05000000000000002,0.05000000000000002,0.050000000000000044,0,-0.0012314569754216886,-0.00021300817432980883,False,False
mkg_y,mkg_y_mhyper_adamf,L2,Relation,15990,0.33607007112291604,0.3409897016743118,0.004919630551395734,0.0026820900210642344,0.007142360085590934,0.006331707605354439,0.001412077053958705,0.24640400250156347,0.33495934959349594,0.8889305816135085,0.9673545966228893,0.11163290163755855,0.0,0.0,0.0,3,0.00563845343408217,0.004200807668709299,True,True
mkg_y,mkg_y_mhyper_adamf,L3,Relation×Direction,15990,0.33607007112291604,0.33990722830253234,0.0038371571796162805,0.0015457337091033534,0.006170322628679906,0.007453978709281958,0.0036168215296656773,0.2686053783614759,0.31713570981863665,0.8936210131332083,0.9673545966228893,0.08707015405423667,0.006380915438324284,0.0,0.050000000000000044,3,0.0051152206702589735,0.0025590936889735884,True,True
mkg_y,mkg_y_mhyper_adamf,L4,Context,15990,0.33607007112291604,0.3394263144951178,0.003356243372201726,0.001284694548035285,0.00542448502669828,0.009898434811706944,0.006542191439505218,0.2391494684177611,0.25672295184490307,0.7457786116322702,0.7932457786116323,0.07615758588506354,0.0232714869647119,0.0,0.0,3,0.003127553925946545,0.0035849328184569063,True,True
mkg_y,mkg_y_mhyper_adamf,L5,Query,15990,0.33607007112291604,0.34284326116939334,0.006773190046477292,0.004902603813530789,0.008726035255757282,0.0158439728428509,0.009070782796373609,0.1438398999374609,0.15966228893058163,0.5316447779862414,1.0,0.15369260970549428,,,0.0,3,0.00769093772273402,0.005855442370220566,True,True
mkg_y,mkg_y_native_adamf,L0,Global,15990,0.32765413605925703,0.32765413605925703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,False
mkg_y,mkg_y_native_adamf,L1,Direction,15990,0.32765413605925703,0.32692770511439545,-0.0007264309448615495,-0.0018688657788922577,0.00044075886406264806,0.00024451550767944194,0.0009709464525409914,0.19593495934959348,0.1641025641025641,0.600375234521576,1.0,-0.019195289928876418,0.04999999999999993,0.04999999999999993,0.025000000000000133,0,-0.00045678309678321837,-0.0009960787929398805,False,False
mkg_y,mkg_y_native_adamf,L2,Relation,15990,0.32765413605925703,0.3284418563420038,0.0007877202827468203,-0.0007371895915113365,0.002319440702630527,0.0028541667499818596,0.0020664464672350393,0.2425891181988743,0.2212632895559725,0.7594746716697937,0.9673545966228893,0.02081480602820898,0.007854926299456944,0.0,0.0,2,0.0016350400460706572,-5.95994805770161e-05,True,False
mkg_y,mkg_y_native_adamf,L3,Relation×Direction,15990,0.32765413605925703,0.32727159526833816,-0.0003825407909188128,-0.0019722460541584685,0.0012037232438826145,0.0038839502919133643,0.004266491082832177,0.27029393370856786,0.26397748592870546,0.8583489681050657,0.9673545966228893,-0.010108299272283626,0.03438712179984484,0.0,0.0,1,0.0011630364128809327,-0.0019281179947185588,True,False
mkg_y,mkg_y_native_adamf,L4,Context,15990,0.32765413605925703,0.32712546127588643,-0.0005286747833705187,-0.0016520966798781384,0.0005485646812624285,0.0026957342028518425,0.0032244089862223614,0.15528455284552845,0.13564727954971859,0.4392120075046904,0.4831144465290807,-0.013969759708979852,0.03427096336983272,0.0,0.0,0,-7.907614811526059e-05,-0.0009782734186257766,False,False
mkg_y,mkg_y_native_adamf,L5,Query,15990,0.32765413605925703,0.3272130248715016,-0.0004411111877554295,-0.0015007263204443132,0.0006070067448680191,0.0044643763635705,0.004905487551325929,0.1868042526579112,0.2140087554721701,0.5726704190118824,1.0,-0.011655969778999825,,,0.04999999999999993,0,9.824776937744477e-05,-0.0009804701448883038,True,False
