dataset,pair_id,level,scope,value,count,delta_mrr,clustered_ci95_low,clustered_ci95_high
mkg_y,mkg_y_mhyper_native,L0,seed,1,5330,0.0,0.0,0.0
mkg_y,mkg_y_mhyper_native,L0,seed,2,5330,0.0,0.0,0.0
mkg_y,mkg_y_mhyper_native,L0,seed,3,5330,0.0,0.0,0.0
mkg_y,mkg_y_mhyper_native,L0,direction,head,7995,0.0,0.0,0.0
mkg_y,mkg_y_mhyper_native,L0,direction,tail,7995,0.0,0.0,0.0
mkg_y,mkg_y_mhyper_native,L1,seed,1,5330,-0.0010021696954721244,-0.003180616767997061,0.0012488996346498263
mkg_y,mkg_y_mhyper_native,L1,seed,2,5330,-0.0017410783978707416,-0.00395778015170617,0.00048279674413600164
mkg_y,mkg_y_mhyper_native,L1,seed,3,5330,-0.000852322030422139,-0.002993364041655416,0.0013079621580374208
mkg_y,mkg_y_mhyper_native,L1,direction,head,7995,-0.0006539334541752746,-0.0013551356961079841,1.926787617099967e-05
mkg_y,mkg_y_mhyper_native,L1,direction,tail,7995,-0.0017431132950013954,-0.004867972605364427,0.0013698971064018447
mkg_y,mkg_y_mhyper_native,L2,seed,1,5330,0.0019233726514024485,-0.0008964113118034241,0.004773863705489751
mkg_y,mkg_y_mhyper_native,L2,seed,2,5330,-0.00011561479908419349,-0.0031735236688392185,0.002923309595990528
mkg_y,mkg_y_mhyper_native,L2,seed,3,5330,0.0006570794784380929,-0.0023649345752588345,0.003774075991697551
mkg_y,mkg_y_mhyper_native,L2,direction,head,7995,-0.0002540697269049145,-0.0038505462610197837,0.00336643144072692
mkg_y,mkg_y_mhyper_native,L2,direction,tail,7995,0.001897294614075813,-0.0007641277392268513,0.004521931689604228
mkg_y,mkg_y_mhyper_native,L3,seed,1,5330,0.0015965246107546899,-0.001140941725007612,0.004432908864665408
mkg_y,mkg_y_mhyper_native,L3,seed,2,5330,0.0005843762515934321,-0.002306046584366886,0.0035460726869595634
mkg_y,mkg_y_mhyper_native,L3,seed,3,5330,-0.000982443759620565,-0.004049472610623879,0.002037374484348026
mkg_y,mkg_y_mhyper_native,L3,direction,head,7995,-0.0008722520160977001,-0.004003979285105578,0.0023101201742366244
mkg_y,mkg_y_mhyper_native,L3,direction,tail,7995,0.0016712234179160714,-0.0011830976610021332,0.004455785028463063
mkg_y,mkg_y_mhyper_native,L4,seed,1,5330,0.0006999910902589578,-0.0015232625915132256,0.003011535946111501
mkg_y,mkg_y_mhyper_native,L4,seed,2,5330,0.0008951038369124539,-0.0014282249912070067,0.00316598107772932
mkg_y,mkg_y_mhyper_native,L4,seed,3,5330,0.00017702788921454213,-0.002251497282422899,0.0026602052456100637
mkg_y,mkg_y_mhyper_native,L4,direction,head,7995,-0.0009700176736602238,-0.0038209569903412863,0.0019491657678796983
mkg_y,mkg_y_mhyper_native,L4,direction,tail,7995,0.002151432884584193,0.00011175093792276579,0.004185957428963309
mkg_y,mkg_y_mhyper_native,L5,seed,1,5330,0.004580147256476913,0.0024099501962509006,0.006788373147325078
mkg_y,mkg_y_mhyper_native,L5,seed,2,5330,0.0035163716646936785,0.001423822642365442,0.005655028472126753
mkg_y,mkg_y_mhyper_native,L5,seed,3,5330,0.003017514039430224,0.0005862020831591857,0.005487662245048672
mkg_y,mkg_y_mhyper_native,L5,direction,head,7995,0.0021955209512727306,9.380293113713658e-06,0.004437190521625859
