dataset,pair_id,representation,k,metric,estimate,ci95_low,ci95_high,bootstrap_samples,bootstrap_unit
mkg_y,mkg_y_mhyper_adamf,X4,5,exact_action_agreement,0.32974358974358936,0.3198123827392121,0.339750469043152,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,direction_agreement,0.5376485303314578,0.5298308317698561,0.5452782989368355,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,neighbor_internal_purity,0.7253283302063797,0.7210506566604128,0.7295309568480298,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,normalized_action_entropy,0.504359119612296,0.49730205891778423,0.5113836236897689,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,beneficial_set_jaccard,0.32154863123775884,0.3130681887235326,0.3299047204204327,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,both_empty_rate,0.21490931832395244,0.2033392745465916,0.22656691682301433,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,neighbor_consensus_utility,-0.0016737019549494662,-0.00360997070692099,0.0002573459169544568,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,matched_exact_action_agreement,0.27235409588523996,0.26503448255430284,0.27981069310346746,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,matched_direction_agreement,0.4618907763936088,0.4559206594049829,0.4678016534391534,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,matched_neighbor_internal_purity,0.6595180571284747,0.6571433123138807,0.6618538620413648,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,matched_normalized_action_entropy,0.6186237581334014,0.6150354646033445,0.6222606314527128,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,matched_beneficial_set_jaccard,0.26713531712669814,0.25987889112088786,0.27445376049986153,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,matched_both_empty_rate,0.1752633698250915,0.1664295684909414,0.18439363450033655,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,matched_consensus_utility,-0.005574777011193282,-0.0068988323747825285,-0.004256441319376886,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,exact_action_agreement_lift,0.057543978859947095,0.05246202138776205,0.06273774905603846,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,direction_agreement_lift,0.07622423556058903,0.07039930334748905,0.0820938695726133,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,purity_lift,0.06620234050585135,0.06206747474765497,0.07030325085015719,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,jaccard_lift,0.05441331411106071,0.04932256051034648,0.05958343959403191,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,consensus_utility_lift,0.003932236795679212,0.002359566337335796,0.005535097939930401,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,5,matched_baseline_supported,0.9939962476547842,0.9906191369606003,0.9966228893058161,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,exact_action_agreement,0.32513445903689797,0.31564665415884924,0.33464040025015634,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,direction_agreement,0.5311944965603494,0.5239271419637274,0.5383989993746092,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,neighbor_internal_purity,0.6895121951219512,0.6852532833020637,0.6937526579111946,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,normalized_action_entropy,0.6143725580104977,0.6076142480876664,0.6212341010533055,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,beneficial_set_jaccard,0.3163438338896521,0.3083124577056049,0.32431561110293494,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,both_empty_rate,0.21267041901188194,0.20137570356472792,0.22405878674171356,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,neighbor_consensus_utility,0.0003783331821239805,-0.0015860700355455767,0.002344413923964209,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,matched_exact_action_agreement,0.2740617662072486,0.26658311292286685,0.2815479950157984,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,matched_direction_agreement,0.46313329504849293,0.4571775441728303,0.4691406611097725,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,matched_neighbor_internal_purity,0.6280865875446614,0.6251644523867994,0.6309572393380116,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,matched_normalized_action_entropy,0.7262592762972917,0.7224240310916229,0.7301622502278533,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,matched_beneficial_set_jaccard,0.26745135903077366,0.26015361029204886,0.27487148217907587,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,matched_both_empty_rate,0.17670093159775352,0.16774429540264432,0.18599027094556556,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,matched_consensus_utility,-0.003400835766556656,-0.004721679851548109,-0.002092003568883154,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,exact_action_agreement_lift,0.052999234303215924,0.048583568421964096,0.05747795006361324,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,direction_agreement_lift,0.06965766972945396,0.06460166929950115,0.07476324234490792,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,purity_lift,0.06265486217457879,0.058650454981179864,0.06660717739562978,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,jaccard_lift,0.04889247485887843,0.04451091076788715,0.053291482178564005,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,consensus_utility_lift,0.0037734312468031654,0.002143925453519516,0.005403596934736789,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,10,matched_baseline_supported,0.9801125703564728,0.974859287054409,0.9853658536585366,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,exact_action_agreement,0.32022514071294644,0.3109067385866166,0.32943089430894307,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,direction_agreement,0.5258880550343958,0.5190368198874298,0.5326517354596624,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,neighbor_internal_purity,0.6678017510944332,0.6635677767354595,0.6719793621013131,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,normalized_action_entropy,0.6815164996245954,0.6753014117259653,0.6877651558856828,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,beneficial_set_jaccard,0.31199097760007993,0.3042772009915145,0.31968560077340724,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,both_empty_rate,0.21012820512820524,0.1990396341463415,0.22133872732958101,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,neighbor_consensus_utility,0.002452665145456468,0.00043262088016474213,0.004499291260271049,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,matched_exact_action_agreement,0.2750574088440663,0.2674943594047545,0.2826659662256845,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,matched_direction_agreement,0.46381584561675565,0.4577378658657409,0.46984015528904777,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,matched_neighbor_internal_purity,0.6134992242048103,0.6100136423673727,0.6169268886141904,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,matched_normalized_action_entropy,0.7796522705962734,0.7757620886084733,0.783582115088281,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,matched_beneficial_set_jaccard,0.26713991716517144,0.2598027636594895,0.2746400076044333,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,matched_both_empty_rate,0.17803604215153868,0.1689054218535037,0.18747350042788116,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,matched_consensus_utility,-0.0014672514897601883,-0.002894201600162448,-2.6161177312185587e-05,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,exact_action_agreement_lift,0.04854939229376776,0.04469016170647222,0.05235458675330598,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,direction_agreement_lift,0.06460411817946723,0.060187177593920255,0.06899187156353291,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,purity_lift,0.05749573312645451,0.053725223748339976,0.06123853434234966,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,jaccard_lift,0.044851060434908496,0.041176088296192764,0.04863264147596103,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,consensus_utility_lift,0.003827299302697505,0.0022143873367008785,0.005493994847295782,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,20,matched_baseline_supported,0.9673545966228893,0.9606003752345216,0.974108818011257,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,exact_action_agreement,0.3141450906816762,0.30508442776735456,0.32327629768605387,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,direction_agreement,0.5191719824890569,0.512533708567855,0.5256973108192619,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,neighbor_internal_purity,0.6546979362101311,0.6504927454659163,0.6587920575359598,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,normalized_action_entropy,0.7279984747880849,0.722438494371352,0.733662822154044,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,beneficial_set_jaccard,0.3057435866050657,0.2982943477278277,0.3131584056680127,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,both_empty_rate,0.20722076297685998,0.19634143214509076,0.21823655409631018,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,neighbor_consensus_utility,0.0055232898410087555,0.0033129622946295933,0.007741752605696373,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,matched_exact_action_agreement,0.2666956515939704,0.2593169396203223,0.27406180629685145,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,matched_direction_agreement,0.45948804855275266,0.4534352757671032,0.46549072155568194,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,matched_neighbor_internal_purity,0.6007697078831522,0.5969801761127446,0.604530585622956,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,matched_normalized_action_entropy,0.8148043450423285,0.8110270964156602,0.8186595909043395,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,matched_beneficial_set_jaccard,0.2691200102152762,0.261609698852441,0.2767299784405452,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,matched_both_empty_rate,0.16766884086968137,0.15867534875713832,0.17691505378260944,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,matched_consensus_utility,-0.00024541983931804153,-0.0019522101166888634,0.0014846179152544776,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,exact_action_agreement_lift,0.04380321461918105,0.040435029111778154,0.04713206519931633,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,direction_agreement_lift,0.05928212618380677,0.05553945123928691,0.06300631350319465,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,purity_lift,0.055206015739629126,0.05169934035392634,0.05867838589573744,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,jaccard_lift,0.03662357638978947,0.033577228374057265,0.03966551710760038,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,consensus_utility_lift,0.005288162992404876,0.003507202334166016,0.007056509258644804,10000,center original_triple_id
mkg_y,mkg_y_mhyper_adamf,X4,50,matched_baseline_supported,0.9377110694183864,0.9283302063789869,0.9467166979362102,10000,center original_triple_id
