dataset,pair_id,representation,distance_decile,neighbor_pairs,distance_low,distance_high,mean_distance,direction_agreement,exact_action_agreement,beneficial_set_jaccard,both_empty_rate,matched_direction_agreement_reference,matched_exact_action_agreement_reference,matched_beneficial_set_jaccard_reference
mkg_y,mkg_y_mhyper_adamf,X4,1,79950,0.0,1.3400044202804566,1.06653490558368,0.5601751094434021,0.3053658536585366,0.38690682050424063,0.15176985616010005,0.45948804855275444,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,2,79950,1.3400044202804566,1.5692325830459595,1.4615488536735115,0.5761225766103815,0.33691056910569106,0.38131682413286394,0.19280800500312695,0.45948804855275444,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,3,79950,1.5692325830459595,1.7583437323570252,1.665195343549584,0.5698811757348343,0.34352720450281427,0.35623303426595826,0.21736085053158224,0.45948804855275444,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,4,79950,1.7583437323570252,1.9406758785247804,1.8494298854047169,0.5446278924327704,0.33691056910569106,0.32527627281227645,0.22427767354596623,0.45948804855275444,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,5,79950,1.9406758785247804,2.1396127939224243,2.037599689252232,0.5294183864915573,0.32714196372732957,0.3073224958139038,0.22388993120700437,0.45948804855275444,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,6,79950,2.1396127939224243,2.362356805801392,2.248442946643364,0.5135084427767355,0.31609756097560976,0.294103583590307,0.21367104440275173,0.45948804855275444,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,7,79950,2.362356805801392,2.616156554222107,2.484661926969727,0.49560975609756097,0.30442776735459665,0.2761993205548272,0.2074296435272045,0.45948804855275444,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,8,79950,2.616156554222107,2.9486158370971682,2.7713845715990955,0.48087554721701065,0.30821763602251406,0.2479011947347605,0.22388993120700437,0.45948804855275444,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,9,79950,2.9486158370971682,3.6268513441085815,3.2361439687718145,0.485978736710444,0.3274296435272045,0.22798387721741717,0.2576485303314572,0.45948804855275444,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,10,79950,3.6268513441085815,21.07901954650879,4.823808099154459,0.4355222013758599,0.235422138836773,0.24559911709111723,0.15946216385240775,0.45948804855275444,0.2666956515939709,0.2691200102152761
