split,dataset,pair,beta,beta_role,is_dev_locked_beta,seed,direction,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
dev,MKG-W,M-Hyper + NativE,0.05,formal_dev_candidate,False,pooled,head,12828,0.1935467875473708,0.19332775521909837,0.00021903232827244446,0.047630183972560025,0.019781485690110966,0.08294356096039912,0.23612410352354224,0.0,0.011806205176177111,0.050000000000000044,0.0,611,1064,11153
dev,MKG-W,M-Hyper + NativE,0.05,formal_dev_candidate,False,pooled,tail,12828,0.5202052419150253,0.519384359724286,0.0008208821907392885,0.04077019020891799,0.1291604118596265,0.03921110071718117,0.48362956033676335,0.0,0.024181478016838186,0.050000000000000044,0.0,523,503,11802
dev,MKG-W,M-Hyper + NativE,0.1,formal_dev_candidate,False,pooled,head,12828,0.19456427557220765,0.19332775521909837,0.0012365203531092689,0.1429685063922669,0.011803834724520752,0.3383224197068912,0.6856875584658559,0.0,0.038150919862800094,0.09999999999999998,0.0,1834,4340,6654
dev,MKG-W,M-Hyper + NativE,0.1,formal_dev_candidate,False,pooled,tail,12828,0.5213998983329082,0.519384359724286,0.0020155386086221235,0.08348924228250701,0.07929587715511653,0.11116308076083567,0.6953539133146243,0.0,0.0521593389460555,0.09999999999999998,0.0,1071,1426,10331
dev,MKG-W,M-Hyper + NativE,0.15,formal_dev_candidate,False,pooled,head,12828,0.19453384782815322,0.19332775521909837,0.0012060926090548389,0.17500779544745867,0.012571246704192292,0.40138758964764576,0.8122856251948862,0.0,0.05556205176177109,0.15000000000000002,0.0,2245,5149,5434
dev,MKG-W,M-Hyper + NativE,0.15,formal_dev_candidate,False,pooled,tail,12828,0.5232073627512731,0.519384359724286,0.003823003026987141,0.10282195198004365,0.06064965654576808,0.14663236669784846,0.7908481446835048,0.0,0.0789561895852822,0.15000000000000002,0.0,1319,1881,9628
dev,MKG-W,M-Hyper + NativE,0.2,formal_dev_candidate,False,pooled,head,12828,0.19526915979357806,0.19332775521909837,0.0019414045744796673,0.19161209853445588,0.01168387486172483,0.42726847521047706,0.864904895541004,0.0,0.07433348924228249,0.20000000000000007,0.0,2458,5481,4889
dev,MKG-W,M-Hyper + NativE,0.2,formal_dev_candidate,False,pooled,tail,12828,0.5247735118495556,0.519384359724286,0.005389152125269501,0.11318989710009354,0.04887275324546973,0.16471780480199563,0.8434674150296227,0.0,0.1047708138447147,0.20000000000000007,0.0,1452,2113,9263
dev,MKG-W,M-Hyper + NativE,0.25,formal_dev_candidate,False,pooled,head,12828,0.1954253045871274,0.19332775521909837,0.00209754936802903,0.20229186155285314,0.01312611668074951,0.444496414094169,0.8947614593077643,0.0,0.09351808543810412,0.25,0.0,2595,5702,4531
dev,MKG-W,M-Hyper + NativE,0.25,formal_dev_candidate,False,pooled,tail,12828,0.525725996056627,0.519384359724286,0.006341636332340979,0.12527284066105396,0.04422402585446883,0.1767227938883692,0.8765980667290303,0.0,0.13138836919239164,0.25,0.0,1607,2267,8954
dev,MKG-W,M-Hyper + NativE,0.3,formal_dev_candidate,False,pooled,head,12828,0.19567719574649958,0.19332775521909837,0.0023494405274012424,0.2137511693171188,0.014092374351825344,0.45455254131587153,0.9139382600561272,0.0,0.11204396632366696,0.25,0.0,2742,5831,4255
dev,MKG-W,M-Hyper + NativE,0.3,formal_dev_candidate,False,pooled,tail,12828,0.5262552222990572,0.519384359724286,0.006870862574771183,0.1327564702213907,0.04759501430034493,0.18755846585594013,0.8960866853757405,0.0,0.1573589024009978,0.30000000000000004,0.0,1703,2406,8719
dev,MKG-W,M-Hyper + NativE,0.35,formal_dev_candidate,False,pooled,head,12828,0.19603930749704096,0.19332775521909837,0.0027115522779426063,0.22029934518241348,0.014315052854475449,0.4629716245712504,0.9257873401933271,0.0,0.1308738696601185,0.30000000000000004,0.0,2826,5939,4063
dev,MKG-W,M-Hyper + NativE,0.35,formal_dev_candidate,False,pooled,tail,12828,0.5268564826422626,0.519384359724286,0.0074721229179767175,0.1387589647645775,0.047135624125120526,0.19465232304334268,0.9095728094792641,0.0,0.18343467415029618,0.35,0.0,1780,2497,8551
dev,MKG-W,M-Hyper + NativE,0.4,formal_dev_candidate,False,pooled,head,12828,0.19616149663085586,0.19332775521909837,0.0028337414117575086,0.22700342999688183,0.015741047308324017,0.46725912067352665,0.9345182413470533,0.0,0.14976613657623947,0.35,0.0,2912,5994,3922
dev,MKG-W,M-Hyper + NativE,0.4,formal_dev_candidate,False,pooled,tail,12828,0.5276246034146345,0.519384359724286,0.008240243690348514,0.14437168693483005,0.04486085028636995,0.19964140941690053,0.9187714374805114,0.0,0.20952993451824134,0.4,0.0,1852,2561,8415
dev,MKG-W,M-Hyper + NativE,0.45,formal_dev_candidate,False,pooled,head,12828,0.19628464607429236,0.19332775521909837,0.00295689085519396,0.23479887745556596,0.016086825504395896,0.4703772996570003,0.9427034611786717,0.0,0.16595338322419703,0.4,0.05425631431244153,3012,6034,3782
dev,MKG-W,M-Hyper + NativE,0.45,formal_dev_candidate,False,pooled,tail,12828,0.5280422656284106,0.519384359724286,0.00865790590412451,0.15029622700343,0.04435264878576306,0.2026036794512005,0.9275023386342376,0.0,0.22530012472715932,0.4,0.2648893046460867,1928,2599,8301
dev,MKG-W,M-Hyper + NativE,0.5,formal_dev_candidate,True,pooled,head,12828,0.19698363619552628,0.19332775521909837,0.0036558809764279158,0.24002182725288432,0.01585922125323024,0.4714686623012161,0.9475366386030558,0.0,0.18168459619582164,0.4,0.06821016526348612,3079,6048,3701
dev,MKG-W,M-Hyper + NativE,0.5,formal_dev_candidate,True,pooled,tail,12828,0.5280544254839146,0.519384359724286,0.00867006575962865,0.15551917680074837,0.045317932751785625,0.2056439039600873,0.9339725600249454,0.0,0.23698160274399752,0.4,0.3232772061116308,1995,2638,8195
dev,MKG-W,M-Hyper + NativE,1.0,no_local_bound_diagnostic,False,pooled,head,12828,0.19886284531589749,0.19332775521909837,0.005535090096799074,0.286326785157468,0.02400182384583916,0.4762238852510134,0.9751325226067976,0.0,0.3218389460555035,0.5499999999999999,0.15902712815715622,3673,6109,3046
