split,dataset,pair,beta,beta_role,is_dev_locked_beta,seed,direction,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
dev,MKG-W,M-Hyper + NativE,0.05,formal_dev_candidate,False,1,pooled,8552,0.3571619229124905,0.356701020927837,0.000460901984653481,0.041043030869971936,0.07834176982567101,0.05986903648269411,0.355355472404116,0.0,0.017767773620205804,0.050000000000000044,0.0,351,512,7689
dev,MKG-W,M-Hyper + NativE,0.05,formal_dev_candidate,False,2,pooled,8552,0.3559375398056165,0.35598535652575225,-4.781672013576823e-05,0.04455098222637979,0.07502967965488674,0.05519176800748363,0.3555893358278765,0.0,0.017779466791393833,0.050000000000000044,0.0,381,472,7699
dev,MKG-W,M-Hyper + NativE,0.05,formal_dev_candidate,False,3,pooled,8552,0.35752858147548716,0.35638179496148725,0.0011467865139998866,0.0470065481758653,0.0585898358256719,0.06817118802619271,0.36868568755846587,0.0,0.0184342843779233,0.050000000000000044,0.0,402,583,7567
dev,MKG-W,M-Hyper + NativE,0.1,formal_dev_candidate,False,1,pooled,8552,0.3576496463390014,0.356701020927837,0.0009486254111644116,0.1127221702525725,0.03942849264184487,0.22345650140318055,0.6890785781103835,0.0,0.04518241347053319,0.09999999999999998,0.0,964,1911,5677
dev,MKG-W,M-Hyper + NativE,0.1,formal_dev_candidate,False,2,pooled,8552,0.3566204668224393,0.35598535652575225,0.0006351102966870211,0.11295603367633301,0.038898591354779806,0.21480355472404117,0.6758652946679139,0.0,0.04439312441534143,0.09999999999999998,0.0,966,1837,5749
dev,MKG-W,M-Hyper + NativE,0.1,formal_dev_candidate,False,3,pooled,8552,0.3596761476962329,0.35638179496148725,0.0032943527347456553,0.11400841908325537,0.03178360119225141,0.23596819457436857,0.7066183348924229,0.0,0.04588985032740877,0.09999999999999998,0.0,975,2018,5559
dev,MKG-W,M-Hyper + NativE,0.15,formal_dev_candidate,False,1,pooled,8552,0.35942803083182234,0.356701020927837,0.0027270099039853344,0.13926566884939195,0.026163414098798982,0.2751403180542563,0.8041393826005613,0.0,0.0672415809167446,0.15000000000000002,0.0,1191,2353,5008
dev,MKG-W,M-Hyper + NativE,0.15,formal_dev_candidate,False,2,pooled,8552,0.3573561982324773,0.35598535652575225,0.0013708417067250882,0.1416043030869972,0.03367269343695342,0.269176800748363,0.7944340505144996,0.0,0.06665107577174927,0.15000000000000002,0.0,1211,2302,5039
dev,MKG-W,M-Hyper + NativE,0.15,formal_dev_candidate,False,3,pooled,8552,0.35982758680483984,0.35638179496148725,0.0034457918433525463,0.13587464920486436,0.031222967203923934,0.27771281571562206,0.8061272217025257,0.0,0.06788470533208604,0.15000000000000002,0.0,1162,2375,5015
dev,MKG-W,M-Hyper + NativE,0.2,formal_dev_candidate,False,1,pooled,8552,0.36042630580710855,0.356701020927837,0.0037252848792714926,0.15680542563143124,0.02481215913309405,0.2980589335827877,0.8569925163704397,0.0,0.09026543498596819,0.20000000000000007,0.0,1341,2549,4662
dev,MKG-W,M-Hyper + NativE,0.2,formal_dev_candidate,False,2,pooled,8552,0.3583581366393216,0.35598535652575225,0.002372780113569309,0.1550514499532273,0.027927543762127662,0.291978484565014,0.849976613657624,0.0,0.08804957904583723,0.20000000000000007,0.0,1326,2497,4729
dev,MKG-W,M-Hyper + NativE,0.2,formal_dev_candidate,False,3,pooled,8552,0.36127956501827024,0.35638179496148725,0.00489777005678295,0.1453461178671656,0.023634089860403287,0.2979420018709074,0.8555893358278766,0.0,0.09034144059869037,0.20000000000000007,0.0,1243,2548,4761
dev,MKG-W,M-Hyper + NativE,0.25,formal_dev_candidate,False,1,pooled,8552,0.360999861219792,0.356701020927837,0.004298840291955007,0.1673292797006548,0.02535201003598984,0.3101028999064546,0.8864593077642656,0.0,0.11231290926099156,0.25,0.0,1431,2652,4469
dev,MKG-W,M-Hyper + NativE,0.25,formal_dev_candidate,False,2,pooled,8552,0.3585966197766755,0.35598535652575225,0.002611263250923226,0.1658091674462114,0.026888260955825763,0.308465855940131,0.8859915809167446,0.0,0.11133068288119735,0.25,0.0,1418,2638,4496
dev,MKG-W,M-Hyper + NativE,0.25,formal_dev_candidate,False,3,pooled,8552,0.36213046996916404,0.35638179496148725,0.0057486750076767784,0.15820860617399438,0.022708057603705832,0.3132600561272217,0.8845884003741815,0.0,0.11371608980355473,0.25,0.0,1353,2679,4520
dev,MKG-W,M-Hyper + NativE,0.3,formal_dev_candidate,False,1,pooled,8552,0.3612910163251917,0.356701020927837,0.004589995397354724,0.17492984097287184,0.02578357730779836,0.318755846585594,0.9057530402245089,0.0,0.1350912067352666,0.30000000000000004,0.0,1496,2726,4330
dev,MKG-W,M-Hyper + NativE,0.3,formal_dev_candidate,False,2,pooled,8552,0.35920012592924905,0.35598535652575225,0.003214769403496777,0.17773620205799812,0.028522680091113722,0.3192235734331151,0.906688493919551,0.0,0.1328578110383536,0.30000000000000004,0.0,1520,2730,4302
dev,MKG-W,M-Hyper + NativE,0.3,formal_dev_candidate,False,3,pooled,8552,0.3624074848138944,0.35638179496148725,0.006025689852407135,0.16709541627689428,0.026430297015558643,0.3251870907390084,0.9025958840037418,0.0,0.136155285313377,0.30000000000000004,0.0,1429,2781,4342
dev,MKG-W,M-Hyper + NativE,0.35,formal_dev_candidate,False,1,pooled,8552,0.3614673549536403,0.356701020927837,0.004766334025803322,0.1808933582787652,0.02653715059778728,0.32507015902712816,0.9169784845650141,0.0,0.15725561272217023,0.35,0.0,1547,2780,4225
dev,MKG-W,M-Hyper + NativE,0.35,formal_dev_candidate,False,2,pooled,8552,0.3600661954852914,0.35598535652575225,0.004080838959539187,0.18229653882132835,0.027896129987026345,0.3289289055191768,0.9195509822263798,0.0,0.15530285313376987,0.35,0.0,1559,2813,4180
