split,dataset,pair,beta,beta_role,is_dev_locked_beta,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
dev,MKG-W,M-Hyper + NativE,0.05,formal_dev_candidate,False,25656,0.35687601473119807,0.35635605747169213,0.0005199572595058665,0.04420018709073901,0.07022696927622793,0.06107733083879015,0.3598768319301528,0.0,0.01799384159650765,0.050000000000000044,0.0,1134,1567,22955
dev,MKG-W,M-Hyper + NativE,0.1,formal_dev_candidate,False,25656,0.35798208695255795,0.35635605747169213,0.001626029480865696,0.11322887433738697,0.03668644313869222,0.22474275023386342,0.6905207358902401,0.0,0.0451551294044278,0.09999999999999998,0.0,2905,5766,16985
dev,MKG-W,M-Hyper + NativE,0.15,formal_dev_candidate,False,25656,0.3588706052897132,0.35635605747169213,0.0025145478180209897,0.13891487371375116,0.030364575150050446,0.27400997817274714,0.8015668849391955,0.0,0.06725912067352664,0.15000000000000002,0.0,3564,7030,15062
dev,MKG-W,M-Hyper + NativE,0.2,formal_dev_candidate,False,25656,0.3600213358215667,0.35635605747169213,0.003665278349874584,0.1524009978172747,0.025494169340803504,0.29599314000623633,0.8541861552853134,0.0,0.0895521515434986,0.20000000000000007,0.0,3910,7594,14152
dev,MKG-W,M-Hyper + NativE,0.25,formal_dev_candidate,False,25656,0.3605756503218772,0.35635605747169213,0.004219592850185004,0.16378235110695355,0.025019105743616467,0.3106096039912691,0.8856797630183972,0.0,0.11245322731524787,0.25,0.0,4202,7969,13485
dev,MKG-W,M-Hyper + NativE,0.3,formal_dev_candidate,False,25656,0.3609662090227784,0.35635605747169213,0.004610151551086212,0.17325381976925475,0.02692814394290045,0.32105550358590584,0.9050124727159339,0.0,0.1347014343623324,0.30000000000000004,0.0,4445,8237,12974
dev,MKG-W,M-Hyper + NativE,0.35,formal_dev_candidate,False,25656,0.3614478950696519,0.35635605747169213,0.005091837597959662,0.17952915497349548,0.026998643141437725,0.32881197380729654,0.9176800748362957,0.0,0.15715427190520737,0.35,0.0,4606,8436,12614
dev,MKG-W,M-Hyper + NativE,0.4,formal_dev_candidate,False,25656,0.3618930500227452,0.35635605747169213,0.005536992551053011,0.18568755846585594,0.027061340153693686,0.3334502650452136,0.9266448394137824,0.0,0.17964803554724038,0.4,0.0,4764,8555,12337
dev,MKG-W,M-Hyper + NativE,0.45,formal_dev_candidate,False,25656,0.3621634558513514,0.35635605747169213,0.0058073983796592355,0.192547552229498,0.027118507141334337,0.3364904895541004,0.9351028999064547,0.0,0.1956267539756782,0.4,0.1595728094792641,4940,8633,12083
dev,MKG-W,M-Hyper + NativE,0.5,formal_dev_candidate,True,25656,0.3625190308397205,0.35635605747169213,0.006162973368028282,0.19777050202681634,0.027441824611452153,0.3385562831306517,0.9407545993140006,0.0,0.20933309946990955,0.4,0.19574368568755846,5074,8686,11896
