method,n_observations,mrr,delta_vs_global,harm_rate,benefit_rate,mean_harm,fallback_rate,changed_alpha_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,delta_ci95_low,delta_ci95_high,harm_rate_ci95_low,harm_rate_ci95_high,mean_harm_ci95_low,mean_harm_ci95_high,dataset,pair,split,scope,seed,direction,selected_primary,reliable_primary_regime,n_original_triples
Strongest standalone,12822,0.17763190643560015,-0.004623842874673854,0.36406176883481517,0.3397285914833879,0.024573117330842303,,1.0,0.050000000000000044,0.050000000000000044,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,head,NativE,reliable-primary,4274
Query-zscore 0.5,12822,0.16440493265311187,-0.0178508166571621,0.49703634378412104,0.35673061924816724,0.06512193078827219,,1.0,0.4500000000000001,0.44999999999999996,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,head,NativE,reliable-primary,4274
Global alpha,12822,0.18225574931027397,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,head,NativE,reliable-primary,4274
Query-soft,12822,0.16551241941158223,-0.016743329898691775,0.48892528466697865,0.35782249259085946,0.06249911739173352,0.0,1.0,0.4277062860708158,0.49999999999999994,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,head,NativE,reliable-primary,4274
DynaSemble,12822,0.14497936364508446,-0.037276385665189524,0.5775230073311496,0.317891124629543,0.09544196083041177,0.0,1.0,0.875165676798805,0.95,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,head,NativE,reliable-primary,4274
Anchored Dynamic,12822,0.18235103075235254,9.528144207854289e-05,0.0020277647792856027,0.002729683356730619,0.02903705779385155,0.9939167056621432,0.006083294337856809,0.0010801746997348308,0.0,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,head,NativE,reliable-primary,4274
Strongest standalone,12822,0.49844144523894357,-0.008033198804297906,0.2166588675713617,0.13812197785056934,0.07854238684096618,,1.0,0.050000000000000044,0.050000000000000044,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,tail,NativE,reliable-primary,4274
Query-zscore 0.5,12822,0.48980801932889967,-0.016666624714341743,0.3065044454843238,0.2609577289034472,0.1721908871820862,,1.0,0.4500000000000001,0.44999999999999996,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,tail,NativE,reliable-primary,4274
Global alpha,12822,0.5064746440432414,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,tail,NativE,reliable-primary,4274
Query-soft,12822,0.489067352817704,-0.0174072912255374,0.3119638121977851,0.26048978318515054,0.17506339708791022,0.0,1.0,0.48235844642021525,0.6,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,tail,NativE,reliable-primary,4274
DynaSemble,12822,0.46682860276480637,-0.03964604127843506,0.39198253002651695,0.2483231945094369,0.2205925513864054,0.0,1.0,0.8741565370558598,0.95,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,tail,NativE,reliable-primary,4274
Anchored Dynamic,12822,0.5065338428487749,5.919880553338164e-05,0.005771330525659024,0.009514896272032444,0.168937077538884,0.9759007955077211,0.024099204492278897,0.007257058181250974,0.0,,,,,,,MKG-W,NativE + AdaMF-MAT,test,direction,,tail,NativE,reliable-primary,4274
Strongest standalone,29706,0.20760031627965378,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,direction,,head,NativE,reliable-primary,9902
Query-zscore 0.5,29706,0.19423792832667466,-0.013362387952979128,0.37083417491415877,0.46657240961421936,0.0915105574701358,,1.0,0.5,0.5,,,,,,,DB15K,NativE + AdaMF-MAT,test,direction,,head,NativE,reliable-primary,9902
