method,n_observations,mrr,delta_vs_global,harm_rate,benefit_rate,mean_harm,fallback_rate,changed_alpha_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,delta_ci95_low,delta_ci95_high,harm_rate_ci95_low,harm_rate_ci95_high,mean_harm_ci95_low,mean_harm_ci95_high,dataset,pair,split,scope,seed,direction,selected_primary,reliable_primary_regime,n_original_triples
Strongest standalone,8548,0.33697535566170544,-0.005931792004483567,0.3070893776321947,0.22648572765559194,0.04311118782476007,,1.0,0.050000000000000044,0.050000000000000044,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,4274
Query-zscore 0.5,8548,0.32485760785391987,-0.018049539812269148,0.38968179691155824,0.32674309780065514,0.1137776513129016,,1.0,0.4500000000000001,0.44999999999999996,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,4274
Global alpha,8548,0.34290714766618907,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,4274
Query-soft,8548,0.32423006971250656,-0.018677077953682474,0.38933083762283577,0.32533926064576507,0.11377244344209059,0.0,1.0,0.45746373420683195,0.5499999999999999,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,4274
DynaSemble,8548,0.2878929084783724,-0.05501423918781665,0.507604117922321,0.2870846981750117,0.1722519473292577,0.0,1.0,0.9499999999999997,0.95,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,4274
Anchored Dynamic,8548,0.3428397409369179,-6.740672927112054e-05,0.0069021993448759944,0.008890968647636874,0.13504098703592332,0.9756668226485727,0.024333177351427236,0.00698993916705662,0.0,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,4274
Strongest standalone,8548,0.33742528182634496,-0.006696453304115415,0.2671970051474029,0.2544454843238184,0.04609748634900908,,1.0,0.050000000000000044,0.050000000000000044,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,4274
Query-zscore 0.5,8548,0.32783027977716306,-0.016291455353297294,0.41506785212915304,0.292115114646701,0.0984234644834641,,1.0,0.4500000000000001,0.44999999999999996,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,4274
Global alpha,8548,0.3441217351304604,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,4274
Query-soft,8548,0.3278812193579919,-0.01624051577246848,0.41565278427702385,0.292817033224146,0.09969386248036632,0.0,1.0,0.4555744033692092,0.5499999999999999,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,4274
DynaSemble,8548,0.3309573060689217,-0.01316442906153878,0.4420917173607862,0.2929340196537202,0.10704084941600132,0.0,1.0,0.7239833207819975,0.7534132032020219,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,4274
Anchored Dynamic,8548,0.3442363547232104,0.00011461959275002588,0.000584932147870847,0.0019887693027608798,0.10478299604704096,0.9957884885353299,0.004211511464670099,0.0011289190453907345,0.0,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,4274
Strongest standalone,8548,0.33970939002376505,-0.006357317209858655,0.2967945718296678,0.2358446420215255,0.045110183477904596,,1.0,0.050000000000000044,0.050000000000000044,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,4274
Query-zscore 0.5,8548,0.32863154034193437,-0.017435166891689318,0.400561534861956,0.3076743097800655,0.10617185836117161,,1.0,0.4500000000000001,0.44999999999999996,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,4274
Global alpha,8548,0.34606670723362365,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,4274
Query-soft,8548,0.3297583692734309,-0.01630833796019281,0.3963500233972859,0.3093121197941039,0.10602525682184155,0.0,1.0,0.45205896116050537,0.5499999999999999,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,4274
DynaSemble,8548,0.29886173506754227,-0.04720497216608146,0.5045624707533926,0.2693027608797379,0.15384588773766622,0.0,1.0,0.9499999999999997,0.95,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,4274
Anchored Dynamic,8548,0.3462512147415627,0.00018450750793898144,0.004211511464670099,0.007487131492746842,0.13236038958785773,0.9832709405708938,0.016729059429106224,0.004386991109031352,0.0,,,,,,,MKG-W,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,4274
Strongest standalone,19804,0.3144991991264361,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,9902
Query-zscore 0.5,19804,0.30052559346086033,-0.013973605665575796,0.319278933548778,0.424055746313876,0.14171004478224597,,1.0,0.5,0.5,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,9902
Global alpha,19804,0.3144991991264361,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,9902
Query-soft,19804,0.3023365499787336,-0.012162649147702506,0.314784891941022,0.4188547768127651,0.13572031595594602,0.0,1.0,0.49202181377499493,0.6,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,9902
DynaSemble,19804,0.2846745105573004,-0.02982468856913571,0.4213795192890325,0.39128458897192486,0.17546106460656619,0.0,1.0,1.0,1.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,9902
Anchored Dynamic,19804,0.31515315032040797,0.0006539511939717811,0.003787113714401131,0.016764290042415673,0.0710357746677347,0.8817915572611593,0.02287416683498283,0.005622601494647546,0.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,1,,NativE,reliable-primary,9902
Strongest standalone,19804,0.31392474336641274,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,9902
Query-zscore 0.5,19804,0.29715477163026577,-0.016769971736146968,0.34351646132094527,0.4225409008281155,0.15536958363868428,,1.0,0.5,0.5,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,9902
Global alpha,19804,0.31392474336641274,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,9902
Query-soft,19804,0.30077169284153865,-0.013153050524874074,0.3363461926883458,0.41850131286608766,0.14593405432493578,0.0,1.0,0.48836851141183596,0.55,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,9902
DynaSemble,19804,0.2735762708880366,-0.04034847247837615,0.44208240759442535,0.3895172692385377,0.19348198963432378,0.0,1.0,1.0,1.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,9902
Anchored Dynamic,19804,0.3143044359035296,0.00037969253711681966,0.002423752777216724,0.010401939002221774,0.06856645259911225,0.8839628357907493,0.013936578468996163,0.0034563724500100983,0.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,2,,NativE,reliable-primary,9902
Strongest standalone,19804,0.30986051184786645,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,9902
Query-zscore 0.5,19804,0.3030521037609773,-0.006808408086889075,0.2981720864471824,0.43269036558271057,0.12722251093609108,,1.0,0.5,0.5,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,9902
Global alpha,19804,0.30986051184786645,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,9902
Query-soft,19804,0.304005771636091,-0.005854740211775427,0.29731367400525144,0.4263280145425167,0.122251721555284,0.0,1.0,0.5001211876388608,0.6,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,9902
DynaSemble,19804,0.28951453699382246,-0.02034597485404394,0.40471621894566756,0.40158553827509597,0.1618064110194136,0.0,1.0,1.0,1.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,9902
Anchored Dynamic,19804,0.3104035945833588,0.0005430827354923852,0.005756412845889719,0.02034942435871541,0.08568132224484319,0.8768935568572006,0.03054938396283579,0.007672692385376691,0.0,,,,,,,DB15K,NativE + AdaMF-MAT,test,seed,3,,NativE,reliable-primary,9902
