method,n_observations,mrr,delta_vs_global,harm_rate,benefit_rate,mean_harm,fallback_rate,changed_alpha_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,delta_ci95_low,delta_ci95_high,harm_rate_ci95_low,harm_rate_ci95_high,mean_harm_ci95_low,mean_harm_ci95_high,dataset,pair,split,scope,seed,direction,selected_primary,reliable_primary_regime,n_original_triples
Strongest standalone,25644,0.3380366758372718,-0.006328520839485879,0.29036031820308844,0.23892528466697863,0.04470830813115444,,1.0,0.050000000000000044,0.050000000000000044,-0.007643457959419535,-0.005041384517947384,0.2820932771798471,0.29882233660895335,0.04094145147835065,0.04880287011809559,MKG-W,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,4274
Query-zscore 0.5,25644,0.3271064759910058,-0.017258720685751922,0.4017703946342224,0.3088441740758072,0.10596255959810322,,1.0,0.4500000000000001,0.44999999999999996,-0.019973258012230658,-0.014590580494168523,0.3929184214631103,0.41077834971143345,0.10067352444706903,0.11128191468674567,MKG-W,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,4274
Global alpha,25644,0.34436519667675775,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,MKG-W,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,4274
Query-soft,25644,0.3272898861146431,-0.017075310562114587,0.40044454843238186,0.309156137888005,0.10634536520405281,0.0,1.0,0.4550323662455155,0.5499999999999999,-0.019755547949724568,-0.01439372031197705,0.391553579784745,0.4093355170800187,0.10107657037777736,0.11162812451793712,MKG-W,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,4274
DynaSemble,25644,0.3059039832049454,-0.03846121347181229,0.48475276867883327,0.28310715956948995,0.14604182151212874,0.0,1.0,0.8746611069273322,0.95,-0.042293415115432324,-0.03469159202280091,0.47562782717204805,0.4937607237560443,0.13970671341261268,0.1525057005728853,MKG-W,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,4274
Anchored Dynamic,25644,0.34444243680056363,7.724012380596225e-05,0.0038995476524723133,0.006122289814381531,0.1325630724051756,0.9849087505849321,0.015091249415067853,0.004168616440492902,0.0,-0.000248847369685244,0.00042029972345787917,0.003002651692403681,0.0048354390890656684,0.08996365511080542,0.17840534629169327,MKG-W,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,4274
Strongest standalone,59412,0.31276148478023846,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,DB15K,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,9902
Query-zscore 0.5,59412,0.3002441562840345,-0.012517328496203944,0.3203224937723019,0.4264290042415674,0.14209767315063465,,1.0,0.5,0.5,-0.014386963341050222,-0.010673572931674574,0.3151888507372248,0.3254224735743621,0.1380079439119013,0.14628296906600288,DB15K,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,9902
Global alpha,59412,0.31276148478023846,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,DB15K,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,9902
Query-soft,59412,0.3023713381521211,-0.010390146628117334,0.3161482528782064,0.42122803474045645,0.13512033871294665,0.0,1.0,0.493503837608564,0.6,-0.012137902913036838,-0.008646919103697283,0.31101460984312934,0.3212482326802666,0.131230984037882,0.13911155137777942,DB15K,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,9902
DynaSemble,59412,0.2825884394797198,-0.030173045300518595,0.42272604860970847,0.3941291321618528,0.17738545839979689,0.0,1.0,1.0,1.0,-0.03266906294336084,-0.02768659012616466,0.41710428869588634,0.428213155591463,0.17311583976236708,0.18171892628317424,DB15K,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,9902
Anchored Dynamic,59412,0.3132870602690987,0.0005255754888603285,0.003989093112502525,0.015838551134450953,0.07758035257700259,0.8808826499697031,0.022453376422271593,0.005583888776678111,0.0,0.0003256984211842642,0.0007291113468719062,0.0033663233016898945,0.004645526156332054,0.05491229341620677,0.10339276696274391,DB15K,NativE + AdaMF-MAT,test,pooled,,,NativE,reliable-primary,9902
