seed,dataset,pair,method,measurement_scope,n_seed_repetitions,n_queries_per_repetition,n_test_queries_available,entity_count,primary_query_batch_size,secondary_query_batch_size,outer_query_batch_size,base_params,combiner_params,scoring_time_mean_s,scoring_time_std_s,feature_time_mean_s,feature_time_std_s,combiner_inference_time_mean_s,combiner_inference_time_std_s,score_combination_time_mean_s,score_combination_time_std_s,combiner_only_overhead_mean_s,combiner_only_overhead_std_s,total_time_mean_s,total_time_std_s,queries_per_second_mean,queries_per_second_std,peak_gpu_memory_mean_mb,peak_gpu_memory_std_mb,peak_cpu_memory_mean_mb,peak_cpu_memory_std_mb,relative_overhead_vs_primary,combiner_only_overhead_vs_global_s,combiner_only_overhead_vs_global_relative
1,DB15K,M-Hyper + AdaMF-MAT,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,,32,18375473,0,0.42661055999988096,0.026717681196064113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43095365999997737,0.026999060844459723,1191.61341246059,70.90615134106278,1748.44970703125,0.0,1145.5109375,0.02795084971874737,0.0,-0.20317266000020026,-1.0
1,DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25251223,0,2.3259097200002543,0.08917172717887385,0.12942591999972136,0.013970180474487457,0.0003924000001461536,8.105340806741211e-05,0.07335434000033274,0.004020998971051207,0.20317266000020026,0.014434814403328314,2.5367000399999595,0.10308928029719268,202.10858697889452,8.357747049352792,3024.87060546875,0.0,1239.94296875,0.043899715928394686,4.886247816064708,0.0,0.0
1,DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25251223,369,2.507163699999637,0.11359233812747381,0.20352570000022752,0.024325483269052137,0.01631119999956354,0.0024470177982212613,0.0773092600000382,0.009368676600683825,0.29714615999982924,0.033813980214016846,2.8139137400001344,0.13938006080289503,182.29419362130548,8.615760225592915,3024.87890625,0.0,1272.71953125,0.08479352219509459,5.5295042163008485,0.09397349999962898,0.4625302439783796
1,DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25251223,14,2.5320356200004426,0.17863969974071983,0.3691463399994973,0.02344878127586943,0.06291884000011123,0.0030954375867721902,0.07051677999988896,0.004092202327088905,0.5025819599994975,0.02895861505138008,3.0422745199999555,0.18707493984436363,168.8207622036236,10.692796801555257,3024.87060546875,0.0,1245.43125,0.5721929614703855,6.059400586132893,0.2994092999992972,1.47366924269733
2,DB15K,M-Hyper + AdaMF-MAT,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,,32,18375473,0,0.4617483799999718,0.022494352781657286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46700950000004016,0.02250496977241568,1098.3980885637932,53.47775409290101,1748.44970703125,0.0,1114.05859375,0.0,0.0,-0.1920370600007118,-1.0
2,DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25251223,0,2.2865314399993624,0.08111825285345274,0.1217355600006158,0.00863149695883819,0.00034490000016376145,1.60148366197602e-05,0.06995659999993223,0.0038351054621912,0.1920370600007118,0.011877868789983915,2.485888580000028,0.0911117030783378,206.1844801975841,7.571698413145783,3024.87060546875,0.0,1236.30078125,0.09631896879639025,4.322993600772178,0.0,0.0
2,DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25251223,369,2.413410600000316,0.050770839835738456,0.19699069999996938,0.00728291976293002,0.01589414000063698,0.0004917428319662817,0.08309535999960645,0.013597631458161882,0.2959802000002128,0.020165947248617946,2.7184195399999225,0.053884106869689974,188.40464191737988,3.778420831945831,3024.87890625,0.0,1261.04375,0.08960566279363989,4.820908439763407,0.103943139999501,0.541266045205627
2,DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25251223,14,2.4506737599997903,0.11879734959764034,0.36300114000014216,0.0254700851141717,0.06270113999999012,0.005054826910261928,0.07353118000028189,0.004631807761688869,0.4992334600004142,0.029863575349190697,2.9574277799997617,0.10484248958633637,173.29702850116323,6.123768279877456,3024.87060546875,0.0,1245.3,0.555088983224199,5.332692975195381,0.3071963999997024,1.599672479877393
3,DB15K,M-Hyper + AdaMF-MAT,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,,32,18375473,0,0.5071728200002326,0.06333039076632713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5123288999998294,0.06372000819084614,1011.2701222927195,120.33631512146067,1748.44970703125,0.0,1146.82578125,0.013975424859373685,0.0,-0.19612766000027476,-1.0
3,DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,5,512,19804,12842,32,32,32,25251223,0,2.352467400000296,0.09791059262251246,0.12076538000001165,0.00711733205122681,0.0005374800000026881,0.0004395382778093439,0.07482480000026044,0.006747944294728603,0.19612766000027476,0.01124150236069386,2.556285420000131,0.0928260014995264,200.50065710582982,7.230924650429812,3024.87060546875,0.0,1236.71015625,0.027814036123309217,3.9895397663512284,0.0,0.0
