dataset,pair,method,seed,repetition,measurement_scope,n_queries,n_test_queries_available,entity_count,primary_query_batch_size,secondary_query_batch_size,outer_query_batch_size,primary_params,secondary_params,base_params,combiner_params,feature_computation_s,combiner_inference_s,score_combination_s,combiner_only_overhead_s,scoring_s,total_s,queries_per_second,peak_gpu_memory_mb,peak_cpu_memory_mb,result_checksum
MKG-W,M-Hyper + NativE,Primary only,1,1,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,,32,20686933,0,20686933,0,0.0,0.0,0.0,0.0,0.5107783999994808,0.5162223000002086,991.8207717872573,1778.1123046875,1072.52734375,337236.0
MKG-W,M-Hyper + NativE,Primary only,1,2,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,,32,20686933,0,20686933,0,0.0,0.0,0.0,0.0,0.44631149999941044,0.45103740000013204,1135.1608536228928,1778.1123046875,1072.58984375,337236.0
MKG-W,M-Hyper + NativE,Primary only,1,3,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,,32,20686933,0,20686933,0,0.0,0.0,0.0,0.0,0.45469170000001213,0.45951739999986785,1114.2124324348702,1778.1123046875,1072.63671875,337236.0
MKG-W,M-Hyper + NativE,Primary only,1,4,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,,32,20686933,0,20686933,0,0.0,0.0,0.0,0.0,0.5048229999999876,0.5100519999998596,1003.8192184329067,1778.1123046875,1072.59375,337236.0
MKG-W,M-Hyper + NativE,Primary only,1,5,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,,32,20686933,0,20686933,0,0.0,0.0,0.0,0.0,0.5069500999993579,0.5124572999998236,999.1076329680078,1778.1123046875,1072.59375,337236.0
MKG-W,M-Hyper + NativE,Primary + Secondary + Global alpha,1,1,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,0,0.14392259999999624,0.0003800999995746679,0.10008670000001985,0.24438939999959075,3.58248399999934,3.8350701000001663,133.50473046111406,3942.5458984375,1253.890625,297019.0
MKG-W,M-Hyper + NativE,Primary + Secondary + Global alpha,1,2,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,0,0.1311335999998846,0.0003700000002027082,0.08483530000012252,0.21633890000020983,3.5849106000000575,3.809186800000134,134.4118907479103,3942.5458984375,1253.90625,297019.0
MKG-W,M-Hyper + NativE,Primary + Secondary + Global alpha,1,3,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,0,0.13336950000007164,0.00041909999981726287,0.09696450000046752,0.23075310000035643,3.7770638999995754,4.016836400000102,127.4634934098852,3942.5458984375,1254.703125,297019.0
MKG-W,M-Hyper + NativE,Primary + Secondary + Global alpha,1,4,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,0,0.16535979999980555,0.0003429000007599825,0.09693360000005669,0.2626363000006222,4.124587200000406,4.3959001999999145,116.47216194762792,3942.5458984375,1254.6328125,297019.0
MKG-W,M-Hyper + NativE,Primary + Secondary + Global alpha,1,5,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,0,0.21929390000013882,0.0005048999998962245,0.11268839999979718,0.33248719999983223,3.990206800000351,4.333337000000029,118.1537461775986,3942.5458984375,1254.68359375,297019.0
MKG-W,M-Hyper + NativE,Primary + Secondary + DynaSemble,1,1,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,369,0.27909389999945233,0.02513979999912408,0.10497560000044359,0.40920929999902,4.149462200000016,4.5699838000000454,112.03540809050459,3942.55419921875,1241.25,339631.0
MKG-W,M-Hyper + NativE,Primary + Secondary + DynaSemble,1,2,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,369,0.2709182000000965,0.020523500000081185,0.0973928999992495,0.38883459999942716,5.091965399999708,5.491359800000055,93.23737992910151,3942.55419921875,1241.31640625,339631.0
MKG-W,M-Hyper + NativE,Primary + Secondary + DynaSemble,1,3,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,369,0.24679349999996703,0.01697829999966416,0.09902869999950781,0.362800499999139,4.394937000000027,4.768553099999963,107.37009513430898,3942.55419921875,1242.30078125,339631.0
MKG-W,M-Hyper + NativE,Primary + Secondary + DynaSemble,1,4,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,369,0.22001990000057958,0.01688479999916126,0.10311360000059722,0.34001830000033806,4.344545400000015,4.693049099999826,109.09751615426718,3942.55419921875,1242.29296875,339631.0
MKG-W,M-Hyper + NativE,Primary + Secondary + DynaSemble,1,5,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,369,0.21852910000029624,0.014577499999631982,0.09248609999986002,0.32559269999978824,4.623791700000083,4.957619000000022,103.27538279968624,3942.55419921875,1242.2421875,339631.0
MKG-W,M-Hyper + NativE,Primary + Secondary + Anchored Dynamic,1,1,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,14,0.4816034999992098,0.07047099999977036,0.09397939999939808,0.6460538999983783,5.294641399999364,5.9489750000000186,86.06524653406653,3942.5458984375,1262.11328125,299390.0
MKG-W,M-Hyper + NativE,Primary + Secondary + Anchored Dynamic,1,2,direct exact-filtered full-entity ranking on deterministic TEST query sample,512,8548,15000,32,32,32,20686933,8428419,29115352,14,0.49529950000010103,0.08727840000051401,0.11822269999993296,0.700800600000548,4.833015199999636,5.545455400000037,92.32785462488735,3942.5458984375,1263.06640625,299390.0
