dataset,pair,method,measurement_scope,n_seed_repetitions,n_queries_per_repetition,n_test_queries_available,entity_count,primary_query_batch_size,secondary_query_batch_size,outer_query_batch_size,base_params,combiner_params,scoring_time_mean_s,scoring_time_std_s,feature_time_mean_s,feature_time_std_s,combiner_inference_time_mean_s,combiner_inference_time_std_s,score_combination_time_mean_s,score_combination_time_std_s,combiner_only_overhead_mean_s,combiner_only_overhead_std_s,total_time_mean_s,total_time_std_s,queries_per_second_mean,queries_per_second_std,peak_gpu_memory_mean_mb,peak_gpu_memory_std_mb,peak_cpu_memory_mean_mb,peak_cpu_memory_std_mb,relative_overhead_vs_primary,combiner_only_overhead_vs_global_s,combiner_only_overhead_vs_global_relative
DB15K,M-Hyper + AdaMF-MAT,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,15,512,19804,12842,32,,32,18375473,0,0.4651772533333618,0.05157252057203204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47009735333328234,0.051967699499831925,1100.4272077723676,110.45802712164583,1748.44970703125,0.0,1135.4651041666666,15.677818960713536,0.0,-0.19711246000039562,-1.0
DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,15,512,19804,12842,32,32,32,25251223,0,2.3216361866666375,0.08761884104858896,0.12397562000011628,0.010373203079490998,0.0004249266667708677,0.0002536494532112863,0.07271191333350847,0.005126880446787841,0.19711246000039562,0.012594085170308212,2.526291346666706,0.09387814261411546,202.93124142743613,7.57682373384153,3024.87060546875,0.0,1237.6513020833333,1.6872399938858744,4.373974834688455,0.0,0.0
DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,15,512,19804,12842,32,32,32,25251223,369,2.48078014666659,0.12595120396102727,0.20801054666690105,0.028238112333959325,0.016433026666709337,0.0017984539486363305,0.08425073333319233,0.014445154960055925,0.30869430666680275,0.04148725368152264,2.7994624933333396,0.14573281544682956,183.3435059757892,9.299136203204387,3024.87890625,0.0,1266.628125,4.952903673161776,4.955069675426613,0.11158184666640714,0.5660821576991286
DB15K,M-Hyper + AdaMF-MAT,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,15,512,19804,12842,32,32,32,25251223,14,2.4814089200000127,0.15484902816313476,0.38131912666652473,0.040468646128702636,0.06821627999997873,0.012813132288097382,0.07511665333346779,0.009553116931160593,0.5246520599999712,0.05934194847778945,3.013961833333239,0.16258407148471027,170.33374874784565,9.100192507001726,3024.87060546875,0.0,1244.34375,1.5901234288047281,5.4113567369873,0.3275395999995756,1.6616889667904213
DB15K,M-Hyper + NativE,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,15,512,19804,12842,32,,32,18375473,0,0.5027441600001717,0.04975717528476001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5080373533333538,0.05000834945672894,1015.542738615412,84.84545011183776,1748.44970703125,0.0,1119.35078125,4.989421050840723,0.0,-0.261616153333307,-1.0
DB15K,M-Hyper + NativE,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,15,512,19804,12842,32,32,32,25752502,0,3.752269099999982,0.2895352067968742,0.17259512666645,0.029034026459815163,0.00044016666682485567,9.680465362710378e-05,0.08858086000003217,0.010760105798291736,0.261616153333307,0.03812829041752966,4.02371216666661,0.28962820192841787,127.84642999989472,8.96551756854727,3902.4482421875,0.0,1273.9580729166667,14.57969790199092,6.920110874261663,0.0,0.0
DB15K,M-Hyper + NativE,Primary + Secondary + DynaSemble,direct exact-filtered full-entity ranking on deterministic TEST query sample,15,512,19804,12842,32,32,32,25752502,369,3.8134739400002218,0.29686149480031054,0.22909728666657733,0.033803429667204635,0.016488100000212096,0.0028694388781805914,0.08372740000007374,0.009690869660320138,0.32931278666686314,0.04508016768905728,4.152383479999996,0.3124176660720526,123.93955627968558,9.105188392034828,3902.45654296875,0.0,1280.2135416666667,14.832245502617788,7.173382238048484,0.06769663333355613,0.25876320124357366
DB15K,M-Hyper + NativE,Primary + Secondary + Anchored Dynamic,direct exact-filtered full-entity ranking on deterministic TEST query sample,15,512,19804,12842,32,32,32,25752502,14,4.1347714600000165,0.43156288642518625,0.4928689466664764,0.15836094527497285,0.07845507999994274,0.016355139959862035,0.09302872666676194,0.023667024461702827,0.6643527533331811,0.19507102501216686,4.809369293333263,0.5253978789825955,107.56418126366194,10.895829167606987,3902.4482421875,0.0,1269.62421875,1.6299211038657695,8.46656631009088,0.4027365999998741,1.5394179406298942
MKG-W,M-Hyper + AdaMF-MAT,Primary only,direct exact-filtered full-entity ranking on deterministic TEST query sample,15,512,8548,15000,32,,32,20686933,0,0.5177395866667515,0.22415672955595395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522869359999974,0.2257500264554205,1056.036710203885,193.89279789059597,1778.1123046875,0.0,1072.0330729166667,0.9745882573876375,0.0,-0.2359469733333147,-1.0
MKG-W,M-Hyper + AdaMF-MAT,Primary + Secondary + Global alpha,direct exact-filtered full-entity ranking on deterministic TEST query sample,15,512,8548,15000,32,32,32,27028733,0,2.477756673333533,0.11838708532169648,0.14182185999998181,0.020536326791154066,0.00041357333314711773,8.036132225571238e-05,0.09371154000018578,0.009037694213336828,0.2359469733333147,0.02899251225472624,2.7246156866667053,0.13277893608324257,188.33481306653866,9.214219003219906,2508.58544921875,0.0,1222.69765625,13.590774750734239,4.210891850053789,0.0,0.0
