pair,label,role,method,n_observations,base_seeds,selector_repetitions,mrr,best_displayed_mrr
mkgw_mhyper_native,W-N,primary,Primary,25644,3,1,0.3597209394760818,False
mkgw_mhyper_native,W-N,primary,Secondary,25644,3,1,0.33803667583727187,False
mkgw_mhyper_native,W-N,primary,Equal-z,25644,3,1,0.3649679379474283,False
mkgw_mhyper_native,W-N,primary,RRF,25644,3,1,0.3455464247470944,False
mkgw_mhyper_native,W-N,primary,Global,25644,3,1,0.36466512265731504,False
mkgw_mhyper_native,W-N,primary,Relation,25644,3,1,0.36892126595360974,False
mkgw_mhyper_native,W-N,primary,Query-soft,25644,3,1,0.36654291914622517,False
mkgw_mhyper_native,W-N,primary,Shrink,25644,3,1,0.36616141543594577,False
mkgw_mhyper_native,W-N,primary,Shrink-gate,25644,3,1,0.36616141543594577,False
mkgw_mhyper_native,W-N,primary,Linear-p,25644,3,1,0.3665186433719505,False
mkgw_mhyper_native,W-N,primary,Clip-g,25644,3,1,0.3672230537816318,False
mkgw_mhyper_native,W-N,primary,Linear-g,25644,3,1,0.3672230537816318,False
mkgw_mhyper_native,W-N,primary,R0,25644,3,1,0.3479573141877265,False
mkgw_mhyper_native,W-N,primary,R3,25644,3,3,0.3695300874821208,True
mkgw_mhyper_native,W-N,primary,ADC,25644,3,1,0.3671117713259244,False
mkgw_mhyper_adamf,W-A,primary,Primary,25644,3,1,0.3597209394760818,False
mkgw_mhyper_adamf,W-A,primary,Secondary,25644,3,1,0.2963189096948776,False
mkgw_mhyper_adamf,W-A,primary,Equal-z,25644,3,1,0.33664454128382654,False
mkgw_mhyper_adamf,W-A,primary,RRF,25644,3,1,0.3224709170162916,False
mkgw_mhyper_adamf,W-A,primary,Global,25644,3,1,0.3597209394760818,False
mkgw_mhyper_adamf,W-A,primary,Relation,25644,3,1,0.3586724782253811,False
mkgw_mhyper_adamf,W-A,primary,Query-soft,25644,3,1,0.34061790965658406,False
mkgw_mhyper_adamf,W-A,primary,Shrink,25644,3,1,0.3597209394760818,False
mkgw_mhyper_adamf,W-A,primary,Shrink-gate,25644,3,1,0.3597209394760818,False
mkgw_mhyper_adamf,W-A,primary,Linear-p,25644,3,1,0.3606260183204186,False
mkgw_mhyper_adamf,W-A,primary,Clip-g,25644,3,1,0.36098328928582285,True
mkgw_mhyper_adamf,W-A,primary,Linear-g,25644,3,1,0.360982795336369,False
mkgw_mhyper_adamf,W-A,primary,R0,25644,3,1,0.3103202750115513,False
mkgw_mhyper_adamf,W-A,primary,R3,25644,3,3,0.359074640427866,False
mkgw_mhyper_adamf,W-A,primary,ADC,25644,3,1,0.36073485108823533,False
db15k_mhyper_native,D-N,primary,Primary,59412,3,1,0.3745666587877784,False
db15k_mhyper_native,D-N,primary,Secondary,59412,3,1,0.31276148478023846,False
db15k_mhyper_native,D-N,primary,Equal-z,59412,3,1,0.36074416807261356,False
db15k_mhyper_native,D-N,primary,RRF,59412,3,1,0.3542964075196441,False
db15k_mhyper_native,D-N,primary,Global,59412,3,1,0.3745666587877784,False
db15k_mhyper_native,D-N,primary,Relation,59412,3,1,0.37449136832184715,False
db15k_mhyper_native,D-N,primary,Query-soft,59412,3,1,0.3609900858955428,False
db15k_mhyper_native,D-N,primary,Shrink,59412,3,1,0.3745666587877784,False
db15k_mhyper_native,D-N,primary,Shrink-gate,59412,3,1,0.3745225593547757,False
db15k_mhyper_native,D-N,primary,Linear-p,59412,3,1,0.37449626062293634,False
db15k_mhyper_native,D-N,primary,Clip-g,59412,3,1,0.37449844191802073,False
db15k_mhyper_native,D-N,primary,Linear-g,59412,3,1,0.3744986954348573,False
db15k_mhyper_native,D-N,primary,R0,59412,3,1,0.3332217653213164,False
db15k_mhyper_native,D-N,primary,R3,59412,3,3,0.3749840725812273,True
db15k_mhyper_native,D-N,primary,ADC,59412,3,1,0.3744854355331475,False
db15k_mhyper_adamf,D-A,primary,Primary,59412,3,1,0.3745666587877784,False
db15k_mhyper_adamf,D-A,primary,Secondary,59412,3,1,0.2825884394797199,False
db15k_mhyper_adamf,D-A,primary,Equal-z,59412,3,1,0.3381083603629499,False
db15k_mhyper_adamf,D-A,primary,RRF,59412,3,1,0.32678419210282034,False
db15k_mhyper_adamf,D-A,primary,Global,59412,3,1,0.3745666587877784,False
db15k_mhyper_adamf,D-A,primary,Relation,59412,3,1,0.3731788090863422,False
db15k_mhyper_adamf,D-A,primary,Query-soft,59412,3,1,0.33876015395849934,False
db15k_mhyper_adamf,D-A,primary,Shrink,59412,3,1,0.3745666587877784,False
db15k_mhyper_adamf,D-A,primary,Shrink-gate,59412,3,1,0.37483364924189577,True
db15k_mhyper_adamf,D-A,primary,Linear-p,59412,3,1,0.3746342014994177,False
db15k_mhyper_adamf,D-A,primary,Clip-g,59412,3,1,0.3748063301064458,False
db15k_mhyper_adamf,D-A,primary,Linear-g,59412,3,1,0.3748070281365964,False
db15k_mhyper_adamf,D-A,primary,R0,59412,3,1,0.30461586725273637,False
db15k_mhyper_adamf,D-A,primary,R3,59412,3,3,0.3723526986520954,False
db15k_mhyper_adamf,D-A,primary,ADC,59412,3,1,0.37477821237709275,False
mkgw_native_adamf,W-NA,additional,Primary,25644,3,1,0.33803667583727187,False
mkgw_native_adamf,W-NA,additional,Secondary,25644,3,1,0.2963189096948776,False
mkgw_native_adamf,W-NA,additional,Equal-z,25644,3,1,0.3272677976070048,False
mkgw_native_adamf,W-NA,additional,RRF,25644,3,1,0.2964576402931182,False
mkgw_native_adamf,W-NA,additional,Global,25644,3,1,0.34412700905997506,False
mkgw_native_adamf,W-NA,additional,Relation,25644,3,1,0.3439642842296396,False
mkgw_native_adamf,W-NA,additional,Query-soft,25644,3,1,0.32732807802360403,False
mkgw_native_adamf,W-NA,additional,ADC,25644,3,1,0.34426592864601163,True
db15k_native_adamf,D-NA,additional,Primary,59412,3,1,0.31276148478023846,True
db15k_native_adamf,D-NA,additional,Secondary,59412,3,1,0.2825884394797199,False
db15k_native_adamf,D-NA,additional,Equal-z,59412,3,1,0.3004049893422086,False
db15k_native_adamf,D-NA,additional,RRF,59412,3,1,0.2849884703011413,False
db15k_native_adamf,D-NA,additional,Global,59412,3,1,0.31276148478023846,True
db15k_native_adamf,D-NA,additional,Relation,59412,3,1,0.31272582067998766,False
db15k_native_adamf,D-NA,additional,Query-soft,59412,3,1,0.3005053546928012,False
db15k_native_adamf,D-NA,additional,ADC,59412,3,1,0.31274661319503366,False
