pair,label,comparator,delta_adc_minus_comparator,ci_low,ci_high,interval_status
mkgw_mhyper_native,W-N,Primary,0.007390831849842603,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,Secondary,0.02907509548865253,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,Equal-z,0.002143833378496047,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,RRF,0.021565346578830004,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,Global,0.0024466486686093203,0.0014807172804721213,0.00342506575742872,retained original-triple bootstrap; 10000 resamples
mkgw_mhyper_native,W-N,Relation,-0.0018094946276853545,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,Query-soft,0.0005688521796992171,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,Shrink,0.0009503558899786311,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,Shrink-gate,0.0009503558899786311,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,Linear-p,0.0005931279539738822,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,Clip-g,-0.00011128245570744762,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,Linear-g,-0.00011128245570744762,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,R0,0.019154457138197873,,,not computed; descriptive point estimate
mkgw_mhyper_native,W-N,R3,-0.0024183161561963985,-0.003585283668305939,-0.0012202711790867732,retained original-triple bootstrap; selector repetitions averaged; 10000 resamples
mkgw_mhyper_adamf,W-A,Primary,0.001013911612153524,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,Secondary,0.06441594139335773,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,Equal-z,0.02409030980440876,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,RRF,0.03826393407194375,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,Global,0.001013911612153524,0.0005032863943047457,0.0015491810933521597,retained original-triple bootstrap; 10000 resamples
mkgw_mhyper_adamf,W-A,Relation,0.00206237286285418,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,Query-soft,0.020116941431651283,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,Shrink,0.001013911612153524,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,Shrink-gate,0.001013911612153524,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,Linear-p,0.00010883276781673916,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,Clip-g,-0.00024843819758750015,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,Linear-g,-0.00024794424813376456,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,R0,0.050414576076683995,,,not computed; descriptive point estimate
mkgw_mhyper_adamf,W-A,R3,0.0016602106603692424,0.0010167048326688267,0.002338072439030091,retained original-triple bootstrap; selector repetitions averaged; 10000 resamples
db15k_mhyper_native,D-N,Primary,-8.12232546308676e-05,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,Secondary,0.06172395075290909,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,Equal-z,0.013741267460533993,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,RRF,0.020189028013503408,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,Global,-8.12232546308676e-05,-0.0002540773129084094,9.106007636528283e-05,retained original-triple bootstrap; 10000 resamples
db15k_mhyper_native,D-N,Relation,-5.932788699588024e-06,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,Query-soft,0.013495349637604782,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,Shrink,-8.12232546308676e-05,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,Shrink-gate,-3.712382162813792e-05,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,Linear-p,-1.082508978877502e-05,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,Clip-g,-1.3006384873206986e-05,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,Linear-g,-1.3259901709779447e-05,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,R0,0.04126367021183111,,,not computed; descriptive point estimate
db15k_mhyper_native,D-N,R3,-0.0004986370480797266,-0.0009377833231489289,-7.072309350710017e-05,retained original-triple bootstrap; selector repetitions averaged; 10000 resamples
db15k_mhyper_adamf,D-A,Primary,0.00021155358931433232,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,Secondary,0.09218977289737289,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,Equal-z,0.036669852014142836,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,RRF,0.04799402027427235,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,Global,0.00021155358931433232,6.997517892385674e-05,0.0003775525826632393,retained original-triple bootstrap; 10000 resamples
db15k_mhyper_adamf,D-A,Relation,0.0015994032907505344,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,Query-soft,0.03601805841859338,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,Shrink,0.00021155358931433232,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,Shrink-gate,-5.543686480301415e-05,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,Linear-p,0.00014401087767503914,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,Clip-g,-2.8117729353113812e-05,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,Linear-g,-2.8815759503666103e-05,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,R0,0.07016234512435635,,,not computed; descriptive point estimate
db15k_mhyper_adamf,D-A,R3,0.0024255137249973428,0.0019889814670581434,0.0028780640142474245,retained original-triple bootstrap; selector repetitions averaged; 10000 resamples
mkgw_native_adamf,W-NA,Primary,0.006229252808739765,,,not computed; descriptive point estimate
mkgw_native_adamf,W-NA,Secondary,0.047947018951134034,,,not computed; descriptive point estimate
mkgw_native_adamf,W-NA,Equal-z,0.016998131039006843,,,not computed; descriptive point estimate
mkgw_native_adamf,W-NA,RRF,0.047808288352893386,,,not computed; descriptive point estimate
mkgw_native_adamf,W-NA,Global,0.00013891958603661343,-0.0002486347921282147,0.0005471264919978267,retained original-triple bootstrap; 10000 resamples
mkgw_native_adamf,W-NA,Relation,0.0003016444163720493,,,not computed; descriptive point estimate
mkgw_native_adamf,W-NA,Query-soft,0.016937850622407533,,,not computed; descriptive point estimate
db15k_native_adamf,D-NA,Primary,-1.487158520481653e-05,,,not computed; descriptive point estimate
db15k_native_adamf,D-NA,Secondary,0.030158173715313784,,,not computed; descriptive point estimate
db15k_native_adamf,D-NA,Equal-z,0.012341623852825011,,,not computed; descriptive point estimate
db15k_native_adamf,D-NA,RRF,0.027758142893892314,,,not computed; descriptive point estimate
db15k_native_adamf,D-NA,Global,-1.487158520481653e-05,-0.0001627476214804371,0.00012946261042519116,retained original-triple bootstrap; 10000 resamples
db15k_native_adamf,D-NA,Relation,2.0792515046004215e-05,,,not computed; descriptive point estimate
db15k_native_adamf,D-NA,Query-soft,0.012241258502232438,,,not computed; descriptive point estimate
