pair,comparator,scope,seed,n,delta_adc_minus_comparator,direction
mkgw_mhyper_native,Primary,seed,1.0,8548,0.008222438774722134,
mkgw_mhyper_native,Primary,seed,2.0,8548,0.00729010447048455,
mkgw_mhyper_native,Primary,seed,3.0,8548,0.006659952304321125,
mkgw_mhyper_native,Primary,direction,,12822,0.009762344817361825,head
mkgw_mhyper_native,Primary,direction,,12822,0.005019318882323384,tail
mkgw_mhyper_native,Primary,seed_direction,1.0,4274,0.010712889129866177,head
mkgw_mhyper_native,Primary,seed_direction,1.0,4274,0.005731988419578093,tail
mkgw_mhyper_native,Primary,seed_direction,2.0,4274,0.009561433430814847,head
mkgw_mhyper_native,Primary,seed_direction,2.0,4274,0.0050187755101542535,tail
mkgw_mhyper_native,Primary,seed_direction,3.0,4274,0.009012711891404448,head
mkgw_mhyper_native,Primary,seed_direction,3.0,4274,0.004307192717237802,tail
mkgw_mhyper_native,Secondary,seed,1.0,8548,0.03185732454633141,
mkgw_mhyper_native,Secondary,seed,2.0,8548,0.02871894447771001,
mkgw_mhyper_native,Secondary,seed,3.0,8548,0.026649017441916178,
mkgw_mhyper_native,Secondary,direction,,12822,0.016291095766890702,head
mkgw_mhyper_native,Secondary,direction,,12822,0.041859095210414365,tail
mkgw_mhyper_native,Secondary,seed_direction,1.0,4274,0.017810832144737845,head
mkgw_mhyper_native,Secondary,seed_direction,1.0,4274,0.045903816947924975,tail
mkgw_mhyper_native,Secondary,seed_direction,2.0,4274,0.0190686379843144,head
mkgw_mhyper_native,Secondary,seed_direction,2.0,4274,0.03836925097110562,tail
mkgw_mhyper_native,Secondary,seed_direction,3.0,4274,0.01199381717161986,head
mkgw_mhyper_native,Secondary,seed_direction,3.0,4274,0.041304217712212495,tail
mkgw_mhyper_native,Equal-z,seed,1.0,8548,0.0024853350159525075,
mkgw_mhyper_native,Equal-z,seed,2.0,8548,0.001842564474417763,
mkgw_mhyper_native,Equal-z,seed,3.0,8548,0.0021036006451178695,
mkgw_mhyper_native,Equal-z,direction,,12822,0.000513397495198802,head
mkgw_mhyper_native,Equal-z,direction,,12822,0.0037742692617932917,tail
mkgw_mhyper_native,Equal-z,seed_direction,1.0,4274,0.001318477842306609,head
mkgw_mhyper_native,Equal-z,seed_direction,1.0,4274,0.003652192189598406,tail
mkgw_mhyper_native,Equal-z,seed_direction,2.0,4274,0.0009731674224773433,head
mkgw_mhyper_native,Equal-z,seed_direction,2.0,4274,0.002711961526358182,tail
mkgw_mhyper_native,Equal-z,seed_direction,3.0,4274,-0.0007514527791875463,head
mkgw_mhyper_native,Equal-z,seed_direction,3.0,4274,0.0049586540694232855,tail
mkgw_mhyper_native,RRF,seed,1.0,8548,0.022702806109058976,
mkgw_mhyper_native,RRF,seed,2.0,8548,0.02022391441965492,
mkgw_mhyper_native,RRF,seed,3.0,8548,0.021769319207776118,
mkgw_mhyper_native,RRF,direction,,12822,0.013486419872451375,head
mkgw_mhyper_native,RRF,direction,,12822,0.029644273285208637,tail
mkgw_mhyper_native,RRF,seed_direction,1.0,4274,0.014692066119379737,head
mkgw_mhyper_native,RRF,seed_direction,1.0,4274,0.030713546098738213,tail
mkgw_mhyper_native,RRF,seed_direction,2.0,4274,0.014443058315466337,head
mkgw_mhyper_native,RRF,seed_direction,2.0,4274,0.02600477052384351,tail
mkgw_mhyper_native,RRF,seed_direction,3.0,4274,0.011324135182508053,head
mkgw_mhyper_native,RRF,seed_direction,3.0,4274,0.03221450323304418,tail
mkgw_mhyper_native,Global,seed,1.0,8548,0.0018368793104666897,
mkgw_mhyper_native,Global,seed,2.0,8548,0.002707421970065645,
mkgw_mhyper_native,Global,seed,3.0,8548,0.002795644725295627,
mkgw_mhyper_native,Global,direction,,12822,0.001116595507441934,head
mkgw_mhyper_native,Global,direction,,12822,0.0037767018297767065,tail
mkgw_mhyper_native,Global,seed_direction,1.0,4274,0.0014061190949742257,head
mkgw_mhyper_native,Global,seed_direction,1.0,4274,0.0022676395259591535,tail
mkgw_mhyper_native,Global,seed_direction,2.0,4274,0.002027719559926242,head
mkgw_mhyper_native,Global,seed_direction,2.0,4274,0.0033871243802050476,tail
mkgw_mhyper_native,Global,seed_direction,3.0,4274,-8.40521325746657e-05,head
mkgw_mhyper_native,Global,seed_direction,3.0,4274,0.005675341583165919,tail
mkgw_mhyper_native,Relation,seed,1.0,8548,-0.0032941926781183124,
mkgw_mhyper_native,Relation,seed,2.0,8548,-0.0014291831471459572,
mkgw_mhyper_native,Relation,seed,3.0,8548,-0.0007051080577917937,
mkgw_mhyper_native,Relation,direction,,12822,-0.0016868026395383475,head
mkgw_mhyper_native,Relation,direction,,12822,-0.0019321866158323613,tail
mkgw_mhyper_native,Relation,seed_direction,1.0,4274,-0.0048746917434217074,head
mkgw_mhyper_native,Relation,seed_direction,1.0,4274,-0.0017136936128149178,tail
mkgw_mhyper_native,Relation,seed_direction,2.0,4274,0.0013421521686149398,head
mkgw_mhyper_native,Relation,seed_direction,2.0,4274,-0.004200518462906854,tail
mkgw_mhyper_native,Relation,seed_direction,3.0,4274,-0.001527868343808275,head
