pair,label,split,n_observations,n_triples,n_directional_queries,mass,primary_mrr,secondary_mrr,primary_advantage,a_win_rate,b_win_rate,tie_rate,oracle_mrr,best_single_mrr,oracle_gap,oracle_minus_primary,rank_disagree_rate,mean_abs_log2_rank_ratio,gold_hit10_disagree_rate,global_mrr,adc_mrr,delta_mrr,delta_contribution,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
mkgw_mhyper_native,W-N,dev_oof,25656,4276,8552,1.0,0.35282196536677,0.32844298367336183,0.024378981693408186,0.32015902712815714,0.44250857499220453,0.23733239787963828,0.3912186319155276,0.35282196536677,0.03839666654875756,0.03839666654875756,0.7626676021203617,1.1765978825353758,0.08087776738384783,0.35575016839902474,0.358820604171267,0.0030704357722422314,0.0030704357722422314,0.007770964784249634,0.004700529012007403,0.149555659494855,0.20100561272217024,0.6329123791705644,0.36708762082943563
mkgw_mhyper_native,W-N,test,25644,4274,8548,1.0,0.3597209394760817,0.3380366758372718,0.021684263638809875,0.32627515208235847,0.4324988301357043,0.2412260177819373,0.4019022943060452,0.3597209394760817,0.04218135482996349,0.04218135482996349,0.7587739822180627,1.1718105443832747,0.08313835595070972,0.36466512265731504,0.3671117713259244,0.0024466486686093203,0.0024466486686093203,0.007909788727171874,0.005463140058562554,0.15149742629854937,0.1941974730931212,0.6332865387615036,0.36671346123849635
mkgw_mhyper_adamf,W-A,dev_oof,25656,4276,8552,1.0,0.35282196536677,0.2897472977555586,0.06307466761121144,0.4397801683816651,0.36174773932023696,0.19847209229809792,0.3824175522031702,0.35282196536677,0.02959558683640018,0.02959558683640018,0.8015279077019021,1.400050224127074,0.1015746803866542,0.35282196536677,0.3540258622685735,0.001203896901803523,0.001203896901803523,0.0026798814380780385,0.0014759845362745157,0.03745712503897724,0.1312363579669473,0.19480823199251637,0.48203149360773306
mkgw_mhyper_adamf,W-A,test,25644,4274,8548,1.0,0.3597209394760817,0.29631890969487756,0.06340202978120413,0.4445874278583684,0.3519341756356263,0.2034783965060053,0.3907318595671952,0.3597209394760817,0.031010920091113503,0.031010920091113503,0.7965216034939947,1.3972712038864195,0.10481984089845578,0.3597209394760817,0.3607348510882352,0.0010139116121535242,0.0010139116121535242,0.0024389639090168372,0.0014250522968633134,0.03618780221494307,0.1380439868975199,0.20293245983465918,0.47796755576353145
db15k_mhyper_native,D-N,dev_oof,47532,7922,15844,1.0,0.38258701302410913,0.3210219182791353,0.06156509474497385,0.4981906925860473,0.28033745687116046,0.22147185054279223,0.41882065058295564,0.38258701302410913,0.03623363755884651,0.03623363755884651,0.7785281494572078,1.2605291980141962,0.09738702347891946,0.38258701302410913,0.3825781938112698,-8.819212839298032e-06,-8.819212839298032e-06,0.0005028443579434697,0.0005116635707827677,0.01647311285029033,0.04058318606412522,0.10113186905663553,0.7673567280989649
db15k_mhyper_native,D-N,test,59412,9902,19804,1.0,0.3745666587877784,0.3127614847802384,0.06180517400753999,0.5006059381943042,0.2834107587692722,0.21598330303642363,0.40928572848207917,0.3745666587877784,0.034719069694300775,0.034719069694300775,0.7840166969635763,1.2538762900238696,0.10053524540496869,0.3745666587877784,0.3744854355331475,-8.12232546308676e-05,-8.12232546308676e-05,0.000536240548628884,0.0006174638032597516,0.014239547566148253,0.033983033730559484,0.07873830202652662,0.8122264862317377
db15k_mhyper_adamf,D-A,dev_oof,47532,7922,15844,1.0,0.38258701302410913,0.2920178720590989,0.09056914096501023,0.5278338803332492,0.29108810906336785,0.181078010603383,0.41446712577232264,0.38258701302410913,0.03188011274821351,0.03188011274821351,0.818921989396617,1.2772870538042234,0.10277286880417404,0.38258701302410913,0.38262345634737344,3.644332326432075e-05,3.644332326432075e-05,0.00016101386370798347,0.00012457054044366276,0.0009256921652781284,0.0020828073718757887,0.003639653286207187,0.9570184296894724
db15k_mhyper_adamf,D-A,test,59412,9902,19804,1.0,0.3745666587877784,0.2825884394797199,0.0919782193080585,0.5344374873762876,0.29046320608631254,0.17509930653739986,0.4050007518261569,0.3745666587877784,0.030434093038378518,0.030434093038378518,0.8249006934626002,1.2747244967176523,0.10218474382279674,0.3745666587877784,0.37477821237709275,0.00021155358931433234,0.00021155358931433234,0.00025988523102486873,4.833164171053642e-05,0.0009425705244731704,0.002928701272470208,0.0044940416077560085,0.9635763818757154
mkgw_native_adamf,W-NA,dev_oof,25656,4276,8552,1.0,0.32844298367336183,0.2897472977555586,0.03869568591780326,0.504638291237917,0.29525257249766135,0.2001091362644216,0.3671144342118713,0.32844298367336183,0.038671450538509455,0.038671450538509455,0.7998908637355784,1.1895957841886087,0.09490957280947926,0.3351917203389468,0.33533867997277395,0.00014695963382712317,0.00014695963382712317,0.0010198956115298147,0.0008729359777026915,0.009900218272528844,0.01633146242594325,0.04010757717492984,0.9598924228250701
mkgw_native_adamf,W-NA,test,25644,4274,8548,1.0,0.3380366758372718,0.29631890969487756,0.04171776614239425,0.5066682264857276,0.29024333177351425,0.20308844174075807,0.37734839117055335,0.3380366758372718,0.03931171533328154,0.03931171533328154,0.796911558259242,1.1918937149841318,0.10068632038683513,0.3441270090599749,0.3442659286460116,0.00013891958603661354,0.00013891958603661354,0.000989281517868527,0.0008503619318319136,0.009163936983309936,0.0156761815629387,0.03610981126189362,0.9638901887381064
