pair,label,split,comparator,stratum,repetitions,left_units,right_units,retained_units,retained_observations
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,0,1,910,837,837,837
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,1,2,22,22,22,44
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,2,3,4,4,4,12
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,3,4,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,4,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,5,7,1,1,1,7
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,6,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,7,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,8,86,1,1,1,86
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,9,1,845,762,762,762
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,10,2,25,25,25,50
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,11,3,1,1,1,3
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,12,4,1,1,1,4
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,13,5,1,1,1,5
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,14,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,15,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,16,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,17,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,18,11,1,1,1,11
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,19,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,20,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,21,1,861,861,861,861
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,22,2,34,34,34,68
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,23,3,1,1,1,3
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,24,4,4,4,4,16
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,25,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,26,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,27,9,1,1,1,9
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,28,10,1,1,1,10
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,29,12,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,30,15,1,1,1,15
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,31,89,1,1,1,89
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,32,1,885,885,885,885
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,33,2,36,36,36,72
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,34,3,5,5,5,15
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,35,4,3,3,3,12
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,36,6,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,37,7,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,38,8,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,39,13,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,40,16,1,1,1,16
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,41,85,1,1,1,85
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,42,1,873,873,873,873
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,43,2,36,36,36,72
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,44,3,5,5,5,15
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,45,4,1,1,1,4
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,46,6,1,1,1,6
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,47,9,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,48,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,49,91,1,1,1,91
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,50,1,923,847,847,847
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,51,2,16,16,16,32
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,52,3,3,3,3,9
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,53,4,1,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,54,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,55,7,1,1,1,7
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,56,8,1,1,1,8
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,57,13,1,1,1,13
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,58,86,1,1,1,86
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,59,1,894,817,817,817
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,60,2,25,23,23,46
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,61,3,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,62,4,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,63,5,0,0,0,0
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,64,6,0,0,0,0
