pair,label,split,fold,anchor,beta,tau
mkgw_mhyper_native,W-N,dev_oof,1,0.6,0.5,0.1
mkgw_mhyper_native,W-N,dev_oof,2,0.6,0.5,0.1
mkgw_mhyper_native,W-N,dev_oof,3,0.55,0.5,0.1
mkgw_mhyper_native,W-N,dev_oof,4,0.55,0.5,0.1
mkgw_mhyper_native,W-N,dev_oof,5,0.55,0.45,0.1
mkgw_mhyper_native,W-N,test,0,0.55,0.45,0.1
mkgw_mhyper_adamf,W-A,dev_oof,1,1.0,0.5,0.1
mkgw_mhyper_adamf,W-A,dev_oof,2,1.0,0.5,0.1
mkgw_mhyper_adamf,W-A,dev_oof,3,1.0,0.5,0.1
mkgw_mhyper_adamf,W-A,dev_oof,4,1.0,0.5,0.1
mkgw_mhyper_adamf,W-A,dev_oof,5,1.0,0.5,0.1
mkgw_mhyper_adamf,W-A,test,0,1.0,0.5,0.1
db15k_mhyper_native,D-N,dev_oof,1,1.0,0.2,0.1
db15k_mhyper_native,D-N,dev_oof,2,1.0,0.2,0.2
db15k_mhyper_native,D-N,dev_oof,3,1.0,0.25,0.3
db15k_mhyper_native,D-N,dev_oof,4,1.0,0.2,0.2
db15k_mhyper_native,D-N,dev_oof,5,1.0,0.2,0.2
db15k_mhyper_native,D-N,test,0,1.0,0.2,0.2
db15k_mhyper_adamf,D-A,dev_oof,1,1.0,0.2,0.3
db15k_mhyper_adamf,D-A,dev_oof,2,1.0,0.5,0.3
db15k_mhyper_adamf,D-A,dev_oof,3,1.0,0.5,0.3
db15k_mhyper_adamf,D-A,dev_oof,4,1.0,0.3,0.3
db15k_mhyper_adamf,D-A,dev_oof,5,1.0,0.5,0.3
db15k_mhyper_adamf,D-A,test,0,1.0,0.5,0.3
mkgw_native_adamf,W-NA,dev_oof,1,0.95,0.5,0.2
mkgw_native_adamf,W-NA,dev_oof,2,0.95,0.4,0.2
mkgw_native_adamf,W-NA,dev_oof,3,0.95,0.45,0.2
mkgw_native_adamf,W-NA,dev_oof,4,0.95,0.45,0.2
mkgw_native_adamf,W-NA,dev_oof,5,0.95,0.45,0.2
mkgw_native_adamf,W-NA,test,0,0.95,0.5,0.2
db15k_native_adamf,D-NA,dev_oof,1,1.0,0.3,0.1
db15k_native_adamf,D-NA,dev_oof,2,1.0,0.4,0.1
db15k_native_adamf,D-NA,dev_oof,3,1.0,0.5,0.1
db15k_native_adamf,D-NA,dev_oof,4,1.0,0.45,0.1
db15k_native_adamf,D-NA,dev_oof,5,1.0,0.45,0.1
db15k_native_adamf,D-NA,test,0,1.0,0.45,0.1
